"Inception";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year1";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year2";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year3";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year4";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year5";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin"
"2019-01-04";"ASIANPAINT.BO";"1385.300048828120";"0.000849253264";"Core";"2020-01-01";"ASIANPAINT.BO";"1793.750000000000";"0.006072808355";"Growth";"2021-01-01";"ASIANPAINT.BO";"2775.000000000000";"0.005537563209";"Growth";"2022-01-03";"ASIANPAINT.BO";"3421.850097656250";"0.000638300901";"Core";"2023-01-02";"ASIANPAINT.BO";"3046.350097656250";"0.000615801880";"Core";"2024-01-01";"ASIANPAINT.BO";"3394.550048828120";"0.000675300700";"Core"
"2019-01-04";"ADANIPORTS.BO";"381.500000000000";"0.003083802328";"Core";NA;"ADANIPORTS.BO";"377.649993896484";"0.003959039838";"Core";NA;"ADANIPORTS.BO";"503.500000000000";"0.003391092994";"Core";NA;"ADANIPORTS.BO";"736.400024414062";"0.002966010224";"Core";NA;"ADANIPORTS.BO";"822.400024414062";"0.002281065249";"Core";NA;"ADANIPORTS.BO";"1048.050048828120";"0.002187244803";"Core"
"2019-01-04";"AXISBANK.BO";"619.849975585938";"0.001897992473";"Core";NA;"AXISBANK.BO";"748.900024414062";"0.001996436536";"Core";NA;"AXISBANK.BO";"623.000000000000";"0.002740634547";"Core";NA;"AXISBANK.BO";"696.299987792969";"0.003136823265";"Core";NA;"AXISBANK.BO";"941.450012207031";"0.001992615744";"Core";NA;"AXISBANK.BO";"1098.050048828120";"0.002087648032";"Core"
"2019-01-04";"BAJFINANCE.BO";"2579.250000000000";"0.003323225190";"Growth";NA;"BAJFINANCE.BO";"4230.450195312500";"0.002574926895";"Growth";NA;"BAJFINANCE.BO";"5280.250000000000";"0.002910229232";"Growth";NA;"BAJFINANCE.BO";"7222.299804687500";"0.002721782610";"Growth";NA;"BAJFINANCE.BO";"6556.750000000000";"0.000286109447";"Core";NA;"BAJFINANCE.BO";"7298.450195312500";"0.000314086136";"Core"
"2019-01-04";"BAJAJFINSV.BO";"641.359985351562";"0.013364457976";"Growth";NA;"BAJAJFINSV.BO";"937.919982910156";"0.011614103745";"Growth";NA;"BAJAJFINSV.BO";"887.450012207031";"0.001923956616";"Core";NA;"BAJAJFINSV.BO";"1697.380004882810";"0.011581101435";"Growth";NA;"BAJAJFINSV.BO";"1552.400024414060";"0.018126269841";"Growth";NA;"BAJAJFINSV.BO";"1674.250000000000";"0.001369175465";"Core"
"2019-01-04";"BHARTIARTL.BO";"322.600006103516";"0.010332713175";"Value";NA;"BHARTIARTL.BO";"453.299987792969";"0.010332713175";"Value";NA;"BHARTIARTL.BO";"515.099975585938";"0.010332713175";"Value";NA;"BHARTIARTL.BO";"691.200012207031";"0.010332713175";"Value";NA;"BHARTIARTL.BO";"813.599975585938";"0.010332713175";"Value";NA;"BHARTIARTL.BO";"1013.049987792970";"0.010332713175";"Value"
"2019-01-04";"HCLTECH.BO";"466.649993896484";"0.002521098476";"Core";NA;"HCLTECH.BO";"571.849975585938";"0.002614551778";"Core";NA;"HCLTECH.BO";"950.400024414062";"0.016168705292";"Growth";NA;"HCLTECH.BO";"1326.250000000000";"0.014821888791";"Growth";NA;"HCLTECH.BO";"1039.199951171880";"0.001805184954";"Core";NA;"HCLTECH.BO";"1483.150024414060";"0.001545590119";"Core"
"2019-01-04";"HDFCBANK.BO";"1058.875000000000";"0.001111057101";"Core";NA;"HDFCBANK.BO";"1279.050048828120";"0.001168938911";"Core";NA;"HDFCBANK.BO";"1424.849975585940";"0.001198312350";"Core";NA;"HDFCBANK.BO";"1519.699951171880";"0.001437237660";"Core";NA;"HDFCBANK.BO";"1629.150024414060";"0.001151488867";"Core";NA;"HDFCBANK.BO";"1700.650024414060";"0.001347921083";"Core"
"2019-01-04";"HINDUNILVR.BO";"1780.250000000000";"0.004814733083";"Growth";NA;"HINDUNILVR.BO";"1936.750000000000";"0.000771979538";"Core";NA;"HINDUNILVR.BO";"2387.399902343750";"0.000715177763";"Core";NA;"HINDUNILVR.BO";"2362.550048828120";"0.000924496817";"Core";NA;"HINDUNILVR.BO";"2558.500000000000";"0.000733221855";"Core";NA;"HINDUNILVR.BO";"2655.699951171880";"0.000863178094";"Core"
"2019-01-04";"ICICIBANK.BO";"365.549987792969";"0.003218357619";"Core";NA;"ICICIBANK.BO";"536.799987792969";"0.020292660644";"Growth";NA;"ICICIBANK.BO";"527.549987792969";"0.003236499597";"Core";NA;"ICICIBANK.BO";"764.750000000000";"0.002856057537";"Core";NA;"ICICIBANK.BO";"903.000000000000";"0.002077461923";"Core";NA;"ICICIBANK.BO";"1001.250000000000";"0.002289480173";"Core"
