"","1 Years","2 Years","3 Years","2021-01-2024-11"
"Annualized Returns",,,,
"2021-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","34.71","24.928","16.015","20.467"
"2021-01-04_to_2024-11-04_^BSESN","24.412","14.41","9.92","14.065"
"Volatility",,,,
"2021-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","15.24","14.05","17.12","16.2"
"2021-01-04_to_2024-11-04_^BSESN","12.84","11.27","12.38","12.7"
"Tracking Error",,,,
"2021-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","7.05","6.16","7.92","7.1"
"2021-01-04_to_2024-11-04_^BSESN","-","-","-","-"
"Information Ratio",,,,
"2021-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","1.46","1.71","0.77","0.9"
"2021-01-04_to_2024-11-04_^BSESN","-","-","-","-"
"Alpha Stat",,,,
"2021-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","0.35","0.72","0.23","0.3"
"2021-01-04_to_2024-11-04_^BSESN","-","-","-","-"
"Beta Stat",,,,
"2021-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","1.05","1.13","1.25","1.16"
"2021-01-04_to_2024-11-04_^BSESN","-","-","-","-"
"R-Squared",,,,
"2021-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","76.45","80.97","81.35","81.88"
"2021-01-04_to_2024-11-04_^BSESN","-","-","-","-"
"Max Drawdown",,,,
"2021-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-10.9285","-10.9285","-23.3199","-23.3199"
"2021-01-04_to_2024-11-04_^BSESN","-7.5109","-9.0972","-16.2268","-16.8462"
