"","2022-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","2022-01-03_to_2024-11-04_^BSESN"
"2022-01-03",0,0
"2022-01-04",0,0
"2022-01-05",0,0
"2022-01-06",0,0
"2022-01-07",0,0
"2022-01-10",0,0
"2022-01-11",0,0
"2022-01-12",0,0
"2022-01-13",0,0
"2022-01-14",0,0
"2022-01-17",0,0
"2022-01-18",-1.85462177660208,-0.9037016572079
"2022-01-19",-2.4037273740759,-1.97375832486982
"2022-01-20",-3.1908382565619,-3.00818472829535
"2022-01-21",-5.12479783820652,-3.70538337478935
"2022-01-24",-8.80429792218895,-6.22649244809261
"2022-01-25",-7.926057769562,-5.62848127519084
"2022-01-27",-8.94982230771694,-6.57648184396222
"2022-01-28",-8.93673199811152,-6.70159803327892
"2022-01-31",-7.428669803012,-5.37399179915074
"2022-02-01",-5.75780849889613,-3.99018415662798
"2022-02-02",-4.53900609320002,-2.85534431278334
"2022-02-03",-5.6125486420282,-4.11178655125975
"2022-02-04",-5.6943401023131,-4.34534771170396
"2022-02-07",-6.924549307602,-6.01497938396808
"2022-02-08",-6.27779291290557,-5.70933716607246
"2022-02-09",-5.30659754790283,-4.63706989680932
"2022-02-10",-4.45865238044603,-3.8866720126543
"2022-02-11",-5.62239493770523,-5.14768025356469
"2022-02-15",-6.00017599362418,-5.16541333278503
"2022-02-16",-6.41566212245555,-5.40252690104256
"2022-02-17",-6.61277977717684,-5.57324519500644
"2022-02-18",-6.98227662847892,-5.66954633725035
"2022-02-21",-7.50615727670191,-5.91320483077266
"2022-02-22",-8.3575239876023,-6.53776252945337
"2022-02-23",-8.38628084961844,-6.6496826821374
"2022-02-24",-13.5776151809791,-11.0571203043178
"2022-02-25",-10.1665410909719,-8.89004535208464
"2022-02-28",-8.8980015033681,-8.2559405574056
"2022-03-02",-9.09454567057744,-9.52554987266839
"2022-03-03",-9.31498500165248,-10.1228853158231
"2022-03-04",-10.9523296728339,-11.3769721534667
"2022-03-07",-12.9056738613261,-13.8090200461021
"2022-03-08",-12.4446835104933,-12.8608071051245
"2022-03-09",-10.9275114096463,-10.8655991874253
"2022-03-10",-9.09005783503753,-9.53290567362969
"2022-03-11",-8.77628199958959,-9.39277863064526
"2022-03-14",-8.39673340012526,-7.86653681071585
"2022-03-15",-9.69923474650223,-9.02325099180233
"2022-03-16",-7.83256404616146,-7.3272562061192
"2022-03-17",-6.06919670031941,-5.61905001857774
"2022-03-21",-7.2039225825348,-6.55112267188176
"2022-03-22",-5.98704845632869,-5.41456454382306
"2022-03-23",-5.99515325148818,-5.91119694809557
"2022-03-24",-5.634670665363,-6.05658502982527
"2022-03-25",-6.09862946818359,-6.43741666200897
"2022-03-28",-5.74163598846402,-6.0601663974849
"2022-03-29",-5.22225163399628,-5.48902030867142
"2022-03-30",-5.09919638906036,-4.28146229075667
"2022-03-31",-4.88831475672802,-4.46981713111987
"2022-04-01",-3.86478146970246,-3.3147150481443
"2022-04-04",-2.69015998803871,-1.1371469782669
"2022-04-05",-2.54510501899347,-1.84704934400639
"2022-04-06",-2.67776692492647,-2.77039543029071
"2022-04-07",-3.37753028001109,-3.70902266214159
"2022-04-08",-2.41157712647956,-3.03663295064828
"2022-04-11",-2.81564406205281,-3.82380983960976
"2022-04-12",-4.01639389158002,-4.45699757248915
"2022-04-13",-4.1227236358495,-4.8442872503987
"2022-04-18",-4.55461632599731,-6.75622595669094
"2022-04-19",-6.19295051552654,-7.90384674603788
"2022-04-20",-5.91864353599976,-6.96702467793997
"2022-04-21",-5.09417671381702,-5.54116733858337
"2022-04-22",-6.16473406311697,-6.70662739325377
"2022-04-25",-7.83114032249802,-7.71342610330499
"2022-04-26",-6.44882818795622,-6.44652936031271
"2022-04-27",-7.70963343264907,-7.32278673650624
"2022-04-28",-6.68289035448961,-6.17830326384226
"2022-04-29",-7.36521864683463,-6.92890386692141
"2022-05-04",-9.55310256670586,-9.19911448512628
"2022-05-05",-9.29780738519667,-9.14496922581933
"2022-05-06",-10.733439262021,-10.5585475903429
"2022-05-09",-11.3453750231236,-11.153740004871
"2022-05-10",-12.8915528312885,-11.3263406888447
"2022-05-11",-13.5813361655263,-11.777274455649
"2022-05-12",-15.8769145709803,-13.6661997374114
"2022-05-13",-16.0597948887887,-13.8891519408262
"2022-05-16",-15.7461521959098,-13.5951998475554
"2022-05-17",-12.8462775221404,-11.4019934606736
"2022-05-18",-13.5268041786214,-11.5813128289899
"2022-05-19",-16.2231280568692,-13.89142046212
"2022-05-20",-13.8567047311678,-11.3890773692219
"2022-05-23",-15.7252200470095,-11.4507039221575
"2022-05-24",-16.635755429355,-11.8356381992343
"2022-05-25",-17.2478684326,-12.3304171733433
"2022-05-26",-16.1826894636091,-11.5095503298478
"2022-05-27",-15.2396346949296,-10.4784929218757
"2022-05-30",-14.0689308372371,-8.78040337397655
"2022-05-31",-13.7490147215657,-9.36650239676515
"2022-06-01",-14.1729759636533,-9.66864047325795
"2022-06-02",-13.522352840357,-8.95595796227324
"2022-06-03",-14.3435147261836,-9.03568441914899
"2022-06-06",-14.2565487992105,-9.18885304625245
"2022-06-07",-15.0416910358882,-10.1152785295271
"2022-06-08",-14.9640906772002,-10.4657216296555
"2022-06-09",-15.2374360312097,-9.76795343951751
"2022-06-10",-16.3106367296726,-11.4265031439292
"2022-06-13",-19.0276365270845,-13.8025813069405
"2022-06-14",-19.0531519691179,-14.0523406747509
"2022-06-15",-19.0244494664794,-14.3005651707072
"2022-06-16",-21.5155525693175,-16.0060298261318
