"Inception";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year1";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year2";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin"
"2022-01-03";"ASIANPAINT.BO";"3421.850097656250";"0.000343811258";"Core";"2023-01-02";"ASIANPAINT.BO";"3046.350097656250";"0.000324262523";"Core";"2024-01-01";"ASIANPAINT.BO";"3394.550048828120";"0.000362115179";"Core"
"2022-01-03";"ADANIPORTS.BO";"736.400024414062";"0.001597597161";"Core";NA;"ADANIPORTS.BO";"822.400024414062";"0.001201139517";"Core";NA;"ADANIPORTS.BO";"1048.050048828120";"0.001172862021";"Core"
"2022-01-03";"AXISBANK.BO";"696.299987792969";"0.001689603057";"Core";NA;"AXISBANK.BO";"941.450012207031";"0.001049250789";"Core";NA;"AXISBANK.BO";"1098.050048828120";"0.001119455438";"Core"
"2022-01-03";"BAJFINANCE.BO";"7222.299804687500";"0.001186800438";"Growth";NA;"BAJFINANCE.BO";"6556.750000000000";"0.000150656525";"Core";NA;"BAJFINANCE.BO";"7298.450195312500";"0.000168421797";"Core"
"2022-01-03";"BAJAJFINSV.BO";"1697.380004882810";"0.005049799424";"Growth";NA;"BAJAJFINSV.BO";"1552.400024414060";"0.007254003828";"Growth";NA;"BAJAJFINSV.BO";"1674.250000000000";"0.000734190293";"Core"
"2022-01-03";"BHARTIARTL.BO";"691.200012207031";"0.004822530779";"Value";NA;"BHARTIARTL.BO";"813.599975585938";"0.004822530779";"Value";NA;"BHARTIARTL.BO";"1013.049987792970";"0.004822530779";"Value"
"2022-01-03";"HCLTECH.BO";"1326.250000000000";"0.006462905615";"Growth";NA;"HCLTECH.BO";"1039.199951171880";"0.000950555441";"Core";NA;"HCLTECH.BO";"1483.150024414060";"0.000828788779";"Core"
"2022-01-03";"HDFCBANK.BO";"1519.699951171880";"0.000774146625";"Core";NA;"HDFCBANK.BO";"1629.150024414060";"0.000606338983";"Core";NA;"HDFCBANK.BO";"1700.650024414060";"0.000722793097";"Core"
"2022-01-03";"HINDUNILVR.BO";"2362.550048828120";"0.001410904855";"Value";NA;"HINDUNILVR.BO";"2558.500000000000";"0.001410904855";"Value";NA;"HINDUNILVR.BO";"2655.699951171880";"0.001410904855";"Value"
"2022-01-03";"ICICIBANK.BO";"764.750000000000";"0.001538372786";"Core";NA;"ICICIBANK.BO";"903.000000000000";"0.001093928204";"Core";NA;"ICICIBANK.BO";"1001.250000000000";"0.001227683494";"Core"
"2022-01-03";"INDUSINDBK.BO";"912.400024414062";"0.001289424109";"Core";NA;"INDUSINDBK.BO";"1226.699951171880";"0.000805263885";"Core";NA;"INDUSINDBK.BO";"1600.300048828120";"0.008756536831";"Growth"
"2022-01-03";"INFY.BO";"1897.150024414060";"0.000620125226";"Core";NA;"INFY.BO";"1524.300048828120";"0.000648046406";"Core";NA;"INFY.BO";"1551.250000000000";"0.000792404898";"Core"
"2022-01-03";"ITC.BO";"219.149993896484";"0.015210282574";"Value";NA;"ITC.BO";"332.750000000000";"0.015210282574";"Value";NA;"ITC.BO";"467.250000000000";"0.015210282574";"Value"
"2022-01-03";"JSWSTEEL.BO";"667.099975585938";"0.012848791613";"Growth";NA;"JSWSTEEL.BO";"774.799987792969";"0.001274931833";"Core";NA;"JSWSTEEL.BO";"877.349975585938";"0.001401057882";"Core"
"2022-01-03";"KOTAKBANK.BO";"1823.949951171880";"0.001827535526";"Value";NA;"KOTAKBANK.BO";"1825.849975585940";"0.001827535526";"Value";NA;"KOTAKBANK.BO";"1910.900024414060";"0.001827535526";"Value"
"2022-01-03";"LT.BO";"1922.099975585940";"0.000612075648";"Core";NA;"LT.BO";"2088.800048828120";"0.000472911310";"Core";NA;"LT.BO";"3522.350097656250";"0.003978334331";"Growth"
"2022-01-03";"M.M.BO";"829.700012207031";"0.001417946934";"Core";NA;"M.M.BO";"1262.900024414060";"0.008916870300";"Growth";NA;"M.M.BO";"1703.599975585940";"0.008225573209";"Growth"
"2022-01-03";"MARUTI.BO";"7519.700195312500";"0.000156451794";"Core";NA;"MARUTI.BO";"8406.650390625000";"0.000117504252";"Core";NA;"MARUTI.BO";"10281.750000000000";"0.000119553393";"Core"
"2022-01-03";"NESTLEIND.BO";"1967.099975585940";"0.001694541902";"Value";NA;"NESTLEIND.BO";"1956.395019531250";"0.001694541902";"Value";NA;"NESTLEIND.BO";"2736.534912109380";"0.001694541902";"Value"
"2022-01-03";"NTPC.BO";"126.000000000000";"0.026455026455";"Value";NA;"NTPC.BO";"168.000000000000";"0.026455026455";"Value";NA;"NTPC.BO";"309.500000000000";"0.026455026455";"Value"
"2022-01-03";"POWERGRID.BO";"153.675003051758";"0.007655575499";"Core";NA;"POWERGRID.BO";"161.324996948242";"0.006123150082";"Core";NA;"POWERGRID.BO";"237.750000000000";"0.005170212821";"Core"
"2022-01-03";"RELIANCE.BO";"1202.175048828120";"0.000978618371";"Core";NA;"RELIANCE.BO";"1287.574951171880";"0.000767191974";"Core";NA;"RELIANCE.BO";"1294.925048828120";"0.000949258105";"Core"
"2022-01-03";"SBIN.BO";"470.850006103516";"0.002498610116";"Core";NA;"SBIN.BO";"612.250000000000";"0.018393002400";"Growth";NA;"SBIN.BO";"641.950012207031";"0.001914819028";"Core"
"2022-01-03";"SUNPHARMA.BO";"848.250000000000";"0.001386938507";"Core";NA;"SUNPHARMA.BO";"997.099975585938";"0.011293868213";"Growth";NA;"SUNPHARMA.BO";"1259.900024414060";"0.000975647333";"Core"
"2022-01-03";"TATAMOTORS.BO";"497.450012207031";"0.017230733463";"Growth";NA;"TATAMOTORS.BO";"394.799987792969";"0.002502069906";"Core";NA;"TATAMOTORS.BO";"790.500000000000";"0.017726864413";"Growth"
"2022-01-03";"TATASTEEL.BO";"114.315002441406";"0.074980784572";"Growth";NA;"TATASTEEL.BO";"119.250000000000";"0.008283582125";"Core";NA;"TATASTEEL.BO";"139.899993896484";"0.008786405659";"Core"
"2022-01-03";"TCS.BO";"3818.149902343750";"0.000308125825";"Core";NA;"TCS.BO";"3260.649902343750";"0.000302951006";"Core";NA;"TCS.BO";"3810.600097656250";"0.000322578614";"Core"
"2022-01-03";"TECHM.BO";"1785.099975585940";"0.004801651834";"Growth";NA;"TECHM.BO";"1009.500000000000";"0.000978521217";"Core";NA;"TECHM.BO";"1298.099975585940";"0.000946936385";"Core"
"2022-01-03";"TITAN.BO";"2523.750000000000";"0.000466159718";"Core";NA;"TITAN.BO";"2565.800048828120";"0.004388929576";"Growth";NA;"TITAN.BO";"3675.050048828120";"0.000334476560";"Core"
"2022-01-03";"ULTRACEMCO.BO";"7721.700195312500";"0.000152359009";"Core";NA;"ULTRACEMCO.BO";"7010.250000000000";"0.000140910405";"Core";NA;"ULTRACEMCO.BO";"10461.299804687500";"0.001339516750";"Growth"
