"","Core20-80V20_G60"
"1",NA
"P Annualized Returns",17.359
"B Annualized Returns",13.304
"AR DIFF(P-B)",4.055
"P Volatility",20.03
"B Volatility",17.5
"V DIFF(P-B)",2.53
"P Tracking Error",7.62
"B Tracking Error",NA
"IR",NA
"P Information Ratio",0.53
"B Information Ratio",NA
"AS",NA
"P Alpha Stat",0.32
"B Alpha Stat",NA
"BS",NA
"P Beta Stat",1.06
"B Beta Stat",NA
"RS",NA
"P R-Squared",85.61
"B R-Squared",NA
"MD",NA
"P Max Drawdown",-37.7344
"B Max Drawdown",-38.0701
"MD DIFF(P-B)",0.335699999999996
