"","NA","Var.2","Core20-80V20_G60","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1",NA,"Annualized Returns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"2011-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","23.392","16.42","9.899","20.812","14.981","16.666","15.516","19.234","20.093","19.206","20.872","20.175","20.52","18.716"
"3",NA,"2011-01-04_to_2024-11-04_^BSESN","24.412","14.41","9.92","18.999","14.627","14.693","13.097","14.267","12.993","11.083","12.91","12.816","12.338","10.315"
"4",NA,"Volatility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"2011-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","15.9","14.15","17.11","16.83","21.65","21","20.45","20.18","20.2","19.6","18.87","18.82","18.59","18.84"
"6",NA,"2011-01-04_to_2024-11-04_^BSESN","12.84","11.27","12.38","13.1","18.81","17.64","17.37","16.59","16.52","16.23","15.85","15.62","15.79","16.15"
"7",NA,"Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,"2011-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","6.45","5.7","7.61","7.26","7.77","8.62","8.72","9.92","9.75","9.53","9.35","9.33","9.14","8.98"
"9",NA,"2011-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10",NA,"Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,"2011-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-0.16","0.35","0","0.25","0.05","0.23","0.28","0.5","0.73","0.85","0.85","0.79","0.9","0.94"
"12",NA,"2011-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"13",NA,"Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,"2011-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-0.48","0.06","-0.28","-0.16","0.01","0.11","0.14","0.37","0.48","0.58","0.58","0.52","0.62","0.62"
"15",NA,"2011-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"16",NA,"Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,"2011-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","1.14","1.16","1.27","1.17","1.08","1.09","1.07","1.06","1.07","1.06","1.03","1.05","1.03","1.03"
"18",NA,"2011-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19",NA,"R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,"2011-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","83.16","84.67","83.44","82.79","87.34","83.48","81.91","75.84","76.87","76.39","75.34","75.39","75.71","77.21"
"21",NA,"2011-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"22",NA,"Max Drawdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"2011-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-11.9259","-11.9259","-24.3643","-24.3643","-37.8481","-37.8481","-37.8481","-37.8481","-37.8481","-37.8481","-37.8481","-37.8481","-37.8481","-37.8481"
"24",NA,"2011-01-04_to_2024-11-04_^BSESN","-7.5109","-9.0972","-16.2268","-16.8462","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701"
