"","NA","Var.2","Core20-80V20_G60","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1",NA,"Annualized Returns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"2013-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","24.176","15.501","7.851","19.585","13.957","17.177","15.809","18.575","19.397","18.529","20.115","19.37"
"3",NA,"2013-01-04_to_2024-11-04_^BSESN","24.412","14.41","9.92","18.999","14.627","14.693","13.097","14.267","12.993","11.083","12.91","12.5"
"4",NA,"Volatility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"2013-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","15.29","14.54","17.03","16.67","21.81","21.01","20.8","20.31","20.33","19.65","18.9","18.81"
"6",NA,"2013-01-04_to_2024-11-04_^BSESN","12.84","11.27","12.38","13.1","18.81","17.64","17.37","16.59","16.52","16.23","15.85","15.73"
"7",NA,"Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,"2013-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","6.22","6.23","7.45","7.09","7.53","8.32","9.1","9.76","9.56","9.3","9.08","8.93"
"9",NA,"2013-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-"
"10",NA,"Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,"2013-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-0.04","0.18","-0.28","0.08","-0.09","0.3","0.3","0.44","0.67","0.8","0.79","0.77"
"12",NA,"2013-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-"
"13",NA,"Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,"2013-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-0.46","0.02","-0.45","-0.24","-0.07","0.09","0.14","0.31","0.42","0.52","0.51","0.5"
"15",NA,"2013-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-"
"16",NA,"Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,"2013-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","1.09","1.18","1.26","1.16","1.09","1.1","1.08","1.08","1.09","1.07","1.05","1.05"
"18",NA,"2013-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-"
"19",NA,"R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,"2013-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","82.28","82.77","84.09","83.19","88.52","84.76","81.1","77.02","78.2","77.73","76.88","77.52"
"21",NA,"2013-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-"
"22",NA,"Max Drawdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"2013-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-11.4983","-12.7871","-25.8859","-25.8859","-38.4719","-38.4719","-38.4719","-38.4719","-38.4719","-38.4719","-38.4719","-38.4719"
"24",NA,"2013-01-04_to_2024-11-04_^BSESN","-7.5109","-9.0972","-16.2268","-16.8462","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701"
