"","NA","Var.2","Core20-80V20_G60","NA","NA"
"1",NA,"Annualized Returns",NA,NA,NA
"2",NA,"2022-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","26.463","18.567","12.607"
"3",NA,"2022-01-03_to_2024-11-04_^BSESN","24.412","14.41","11.101"
"4",NA,"Volatility",NA,NA,NA
"5",NA,"2022-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","16.15","14.02","16.52"
"6",NA,"2022-01-03_to_2024-11-04_^BSESN","12.84","11.27","12.72"
"7",NA,"Tracking Error",NA,NA,NA
"8",NA,"2022-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","6.17","5.13","6.48"
"9",NA,"2022-01-03_to_2024-11-04_^BSESN","-","-","-"
"10",NA,"Information Ratio",NA,NA,NA
"11",NA,"2022-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","0.33","0.81","0.23"
"12",NA,"2022-01-03_to_2024-11-04_^BSESN","-","-","-"
"13",NA,"Alpha Stat",NA,NA,NA
"14",NA,"2022-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-0.3","0.23","-0.01"
"15",NA,"2022-01-03_to_2024-11-04_^BSESN","-","-","-"
"16",NA,"Beta Stat",NA,NA,NA
"17",NA,"2022-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","1.18","1.17","1.21"
"18",NA,"2022-01-03_to_2024-11-04_^BSESN","-","-","-"
"19",NA,"R-Squared",NA,NA,NA
"20",NA,"2022-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","85.94","87.97","86.94"
"21",NA,"2022-01-03_to_2024-11-04_^BSESN","-","-","-"
"22",NA,"Max Drawdown",NA,NA,NA
"23",NA,"2022-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-11.912","-11.912","-21.9123"
"24",NA,"2022-01-03_to_2024-11-04_^BSESN","-7.5109","-9.0972","-16.2268"
