"","1 Y 2018-01-02 to 2019-01-07","1 Y 2018-02-02 to 2019-02-07","1 Y 2018-03-05 to 2019-03-07","1 Y 2018-04-02 to 2019-04-07","1 Y 2018-05-02 to 2019-05-07","1 Y 2018-06-04 to 2019-06-07","1 Y 2018-07-02 to 2019-07-07","1 Y 2018-08-02 to 2019-08-07","1 Y 2018-09-03 to 2019-09-07","1 Y 2018-10-03 to 2019-10-07","1 Y 2018-11-02 to 2019-11-07","1 Y 2018-12-03 to 2019-12-07","1 Y 2019-01-02 to 2020-01-07","1 Y 2019-02-04 to 2020-02-07","1 Y 2019-03-05 to 2020-03-07","1 Y 2019-04-02 to 2020-04-07","1 Y 2019-05-02 to 2020-05-07","1 Y 2019-06-03 to 2020-06-07","1 Y 2019-07-02 to 2020-07-07","1 Y 2019-08-02 to 2020-08-07","1 Y 2019-09-03 to 2020-09-07","1 Y 2019-10-03 to 2020-10-07","1 Y 2019-11-04 to 2020-11-07","1 Y 2019-12-02 to 2020-12-07","1 Y 2020-01-02 to 2021-01-07","1 Y 2020-02-03 to 2021-02-07","1 Y 2020-03-02 to 2021-03-07","1 Y 2020-04-03 to 2021-04-07","1 Y 2020-05-04 to 2021-05-07","1 Y 2020-06-02 to 2021-06-07","1 Y 2020-07-02 to 2021-07-07","1 Y 2020-08-03 to 2021-08-07","1 Y 2020-09-02 to 2021-09-07","1 Y 2020-10-05 to 2021-10-07","1 Y 2020-11-02 to 2021-11-07","1 Y 2020-12-02 to 2021-12-07","1 Y 2021-01-04 to 2022-01-07","1 Y 2021-02-02 to 2022-02-07","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-04-05 to 2022-04-07","1 Y 2021-05-03 to 2022-05-07","1 Y 2021-06-02 to 2022-06-07","1 Y 2021-07-02 to 2022-07-07","1 Y 2021-08-02 to 2022-08-07","1 Y 2021-09-02 to 2022-09-07","1 Y 2021-10-04 to 2022-10-07","1 Y 2021-11-02 to 2022-11-07","1 Y 2021-12-02 to 2022-12-07","1 Y 2022-01-03 to 2023-01-07","1 Y 2022-02-02 to 2023-02-07","1 Y 2022-03-02 to 2023-03-07","1 Y 2022-04-04 to 2023-04-07","1 Y 2022-05-02 to 2023-05-07","1 Y 2022-06-02 to 2023-06-07","1 Y 2022-07-04 to 2023-07-07","1 Y 2022-08-02 to 2023-08-07","1 Y 2022-09-02 to 2023-09-07","1 Y 2022-10-03 to 2023-10-07","1 Y 2022-11-02 to 2023-11-07","1 Y 2022-12-02 to 2023-12-07","1 Y 2023-01-02 to 2024-01-07","1 Y 2023-02-02 to 2024-02-07","1 Y 2023-03-02 to 2024-03-07","1 Y 2023-04-03 to 2024-04-07","1 Y 2023-05-02 to 2024-05-07","1 Y 2023-06-02 to 2024-06-07","1 Y 2023-07-03 to 2024-07-07","1 Y 2023-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",4.429,12.612,12.47,14.199,10.411,9.82,10.414,-8.558,-10.22,6.634,14.112,14.043,14.184,18.425,5.796,-29.192,-14.96,-9.116,-3.958,5.817,10.381,3.955,-1.582,17.642,16.925,25.503,41.604,102.994,101.298,91.36,80.915,76.645,75.326,84.882,87.54,38.777,37.849,27.162,16.072,24.35,19.596,7.876,8.042,17.003,16.219,6.694,11.901,15.614,5.603,9.294,13.108,3.653,11.239,23.879,30.602,18.755,17.978,21.76,11.408,17.931,23.859,39.664,36.182,39.805,31.13,27.374,28.124,25.829
"B Annualized Returns",5.091,8.128,9.962,17.159,9.662,12.368,11.959,-1.897,-3.614,5.924,15.655,13.642,13.502,11.713,5.007,-24.608,-17.219,-14.073,-5.783,3.638,6.171,3.679,2.151,9.259,17.873,23.021,32.379,63.86,54.485,53.131,44.876,44.684,51.921,49.565,48.461,24.996,23.722,16.978,7.111,21.156,14.431,6.414,1.683,7.227,1.544,-1.635,1.781,10.36,0.216,5.022,6.202,-0.81,10.922,12.784,22.39,11.808,11.29,12.763,6.719,11.221,18.448,19.302,22.834,24.357,19.7,18.896,22.314,19.164
"AR DIFF(P-B)",-0.662,4.484,2.508,-2.96,0.748999999999999,-2.548,-1.545,-6.661,-6.606,0.71,-1.543,0.401,0.681999999999999,6.712,0.789000000000001,-4.584,2.259,4.957,1.825,2.179,4.21,0.276,-3.733,8.383,-0.948,2.482,9.225,39.134,46.813,38.229,36.039,31.961,23.405,35.317,39.079,13.781,14.127,10.184,8.961,3.194,5.165,1.462,6.359,9.776,14.675,8.329,10.12,5.254,5.387,4.272,6.906,4.463,0.317,11.095,8.212,6.947,6.688,8.997,4.689,6.71,5.411,20.362,13.348,15.448,11.43,8.478,5.81,6.665
"P Volatility",16.68,17.25,15.96,17.94,17.1,17.19,15.5,17.58,16.27,16.17,14.32,17.04,15.44,15.24,14.51,15.83,38.71,38.36,41.49,40.37,39.95,40.2,38.65,41.94,40.5,41.66,24.9,22.94,24.23,23.5,22.18,22.6,19.46,18.23,13.77,14.62,12.04,10.56,12.6,13.33,12.6,13.33,13.93,17.18,17.63,17.68,17.5,17.67,18.45,19.17,17.92,18.21,16.88,15.69,11.97,11.94,11.94,10.67,10.71,12.46,12.1,12.38,11.02,11.35,10.25,10.9,13,12.68
"B Volatility",15.87,14.76,14.34,14.97,14.96,14.94,13.28,14.26,12.64,11.6,11.16,11.16,11.18,11.12,10.19,10.65,31.91,31.9,33.1,34.16,33.97,33.8,34.03,35.97,36.53,36.39,17.66,18.2,17.55,16.86,16.3,16.55,16.93,16.96,14.65,15.46,14.93,12.7,14.2,15.69,15.7,16.37,17.25,16.03,15.89,16,17.18,17.5,18,16.81,15.12,15.21,15.51,14.3,12.75,13.36,13.31,11.13,10.96,11.28,12.75,12.73,11.88,11.39,11.28,11.64,12.68,11.78
"V DIFF(P-B)",0.81,2.49,1.62,2.97,2.14,2.25,2.22,3.32,3.63,4.57,3.16,5.88,4.26,4.12,4.32,5.18,6.8,6.46,8.39,6.21,5.98,6.40000000000001,4.62,5.97,3.97,5.27,7.24,4.74,6.68,6.64,5.88,6.05,2.53,1.27,-0.880000000000001,-0.840000000000002,-2.89,-2.14,-1.6,-2.36,-3.1,-3.04,-3.32,1.15,1.74,1.68,0.32,0.170000000000002,0.449999999999999,2.36,2.8,3,1.37,1.39,-0.779999999999999,-1.42,-1.37,-0.460000000000001,-0.25,1.18,-0.65,-0.35,-0.860000000000001,-0.0400000000000009,-1.03,-0.74,0.32,0.9
"P Tracking Error",5.79,6.31,6.83,6.77,6.41,5.22,5.24,7.31,7.43,7.67,7.23,9.29,8.64,8.87,7.61,7.59,10.39,10.6,11.86,10.68,11.9,10.92,10.84,11.19,10.5,10.83,11.75,12.27,13.6,13.44,11.81,11.21,11.27,10.23,9.07,9.34,9.1,9.28,5.89,6.14,6.14,5.77,5.57,4.98,6.38,6.29,7.25,8.91,8.31,8.45,8.17,8.28,6.66,5.51,4.48,5.87,6.71,4.87,5.28,5.88,7.4,6.8,6.33,5.55,6.59,4.94,5.58,5.97
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
