"","3 Y 2018-01-02 to 2021-01-07","3 Y 2018-02-02 to 2021-02-07","3 Y 2018-03-05 to 2021-03-07","3 Y 2018-04-02 to 2021-04-07","3 Y 2018-05-02 to 2021-05-07","3 Y 2018-06-04 to 2021-06-07","3 Y 2018-07-02 to 2021-07-07","3 Y 2018-08-02 to 2021-08-07","3 Y 2018-09-03 to 2021-09-07","3 Y 2018-10-03 to 2021-10-07","3 Y 2018-11-02 to 2021-11-07","3 Y 2018-12-03 to 2021-12-07","3 Y 2019-01-02 to 2022-01-07","3 Y 2019-02-04 to 2022-02-07","3 Y 2019-03-05 to 2022-03-07","3 Y 2019-04-02 to 2022-04-07","3 Y 2019-05-02 to 2022-05-07","3 Y 2019-06-03 to 2022-06-07","3 Y 2019-07-02 to 2022-07-07","3 Y 2019-08-02 to 2022-08-07","3 Y 2019-09-03 to 2022-09-07","3 Y 2019-10-03 to 2022-10-07","3 Y 2019-11-04 to 2022-11-07","3 Y 2019-12-02 to 2022-12-07","3 Y 2020-01-02 to 2023-01-07","3 Y 2020-02-03 to 2023-02-07","3 Y 2020-03-02 to 2023-03-07","3 Y 2020-04-03 to 2023-04-07","3 Y 2020-05-04 to 2023-05-07","3 Y 2020-06-02 to 2023-06-07","3 Y 2020-07-02 to 2023-07-07","3 Y 2020-08-03 to 2023-08-07","3 Y 2020-09-02 to 2023-09-07","3 Y 2020-10-05 to 2023-10-07","3 Y 2020-11-02 to 2023-11-07","3 Y 2020-12-02 to 2023-12-07","3 Y 2021-01-04 to 2024-01-07","3 Y 2021-02-02 to 2024-02-07","3 Y 2021-03-02 to 2024-03-07","3 Y 2021-04-05 to 2024-04-07","3 Y 2021-05-03 to 2024-05-07","3 Y 2021-06-02 to 2024-06-07","3 Y 2021-07-02 to 2024-07-07","3 Y 2021-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",13.535,14.426,13.79,17.135,16.447,18.583,14.882,16.109,18.88,26.682,25.584,24.161,25.544,24.227,23.125,22.903,21.662,18.534,18.623,27.893,28.741,25.552,23.783,22.951,19.32,20.106,24.756,38.95,37.874,35.857,36.169,31.88,28.396,29.239,28.817,23.709,24.164,23.068,26.116,24.358,22.857,19.597,21.064,20.041
"B Annualized Returns",11.943,13.347,14.641,13.534,11.61,14.264,14.085,13.074,15.074,19.763,19.605,17.115,18.465,17.131,14.791,15.503,13.004,12.082,11.564,16.681,17.302,15.134,14.713,15.343,14.056,13.557,15.59,25.733,24.869,22.668,21.711,20.877,19.715,18.973,16.242,15.328,14.25,12.538,13.685,14.724,14.701,12.785,14.821,12.958
"AR DIFF(P-B)",1.592,1.079,-0.851000000000001,3.601,4.837,4.319,0.796999999999999,3.035,3.806,6.919,5.979,7.046,7.079,7.096,8.334,7.4,8.658,6.452,7.059,11.212,11.439,10.418,9.07,7.608,5.264,6.549,9.166,13.217,13.005,13.189,14.458,11.003,8.681,10.266,12.575,8.381,9.914,10.53,12.431,9.634,8.156,6.812,6.243,7.083
"P Volatility",28.92,25.01,27.47,27.33,28.3,26.83,27.82,24.03,23.72,23.76,23.08,22.76,23.09,21.06,23.67,25.33,25.72,26.8,26.47,27.79,27.01,30.81,29.17,30.68,29.61,28.17,22.2,20.56,18.94,19.42,20.07,17.63,17.33,16.77,15.48,15.06,15.12,14.35,14.92,14.48,14,13.69,13.87,13.86
"B Volatility",22.62,22.4,22.71,22.77,22.77,22.81,22.53,22.51,22.57,22.21,22.13,22.43,22.42,22.38,22.63,22.91,22.97,23.11,23.04,23.26,23.2,23.27,23.57,23.61,23.72,23.71,17.19,16.51,16.51,16.06,15.61,15.72,15.81,15.72,14.73,14.35,14.81,14.14,13.93,13.93,13.82,13.87,14.33,13.54
"V DIFF(P-B)",6.3,2.61,4.76,4.56,5.53,4.02,5.29,1.52,1.15,1.55,0.949999999999999,0.330000000000002,0.669999999999998,-1.32,1.04,2.42,2.75,3.69,3.43,4.53,3.81,7.54,5.6,7.07,5.89,4.46,5.01,4.05,2.43,3.36,4.46,1.91,1.52,1.05,0.75,0.710000000000001,0.309999999999999,0.209999999999999,0.99,0.550000000000001,0.18,-0.18,-0.460000000000001,0.32
"P Tracking Error",9.24,7.53,8.36,8.81,9.29,8.37,9.84,7.51,7.78,7.32,7.7,8.37,8.85,8.85,7.6,8.73,8.37,9.45,9.11,10.93,10.34,12.53,11.55,12.34,11.08,10.56,11.67,11.22,9.56,9.59,10.32,7.33,6.96,6.59,6.65,6.41,6.75,6.34,6.81,6.68,6.53,6.15,6.35,5.81
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
