"","1 Y 2018-01-02 to 2019-01-07","1 Y 2018-02-02 to 2019-02-07","1 Y 2018-03-05 to 2019-03-07","1 Y 2018-04-02 to 2019-04-07","1 Y 2018-05-02 to 2019-05-07","1 Y 2018-06-04 to 2019-06-07","1 Y 2018-07-02 to 2019-07-07","1 Y 2018-08-02 to 2019-08-07","1 Y 2018-09-03 to 2019-09-07","1 Y 2018-10-03 to 2019-10-07","1 Y 2018-11-02 to 2019-11-07","1 Y 2018-12-03 to 2019-12-07","1 Y 2019-01-02 to 2020-01-07","1 Y 2019-02-04 to 2020-02-07","1 Y 2019-03-05 to 2020-03-07","1 Y 2019-04-02 to 2020-04-07","1 Y 2019-05-02 to 2020-05-07","1 Y 2019-06-03 to 2020-06-07","1 Y 2019-07-02 to 2020-07-07","1 Y 2019-08-02 to 2020-08-07","1 Y 2019-09-03 to 2020-09-07","1 Y 2019-10-03 to 2020-10-07","1 Y 2019-11-04 to 2020-11-07","1 Y 2019-12-02 to 2020-12-07","1 Y 2020-01-02 to 2021-01-07","1 Y 2020-02-03 to 2021-02-07","1 Y 2020-03-02 to 2021-03-07","1 Y 2020-04-03 to 2021-04-07","1 Y 2020-05-04 to 2021-05-07","1 Y 2020-06-02 to 2021-06-07","1 Y 2020-07-02 to 2021-07-07","1 Y 2020-08-03 to 2021-08-07","1 Y 2020-09-02 to 2021-09-07","1 Y 2020-10-05 to 2021-10-07","1 Y 2020-11-02 to 2021-11-07","1 Y 2020-12-02 to 2021-12-07","1 Y 2021-01-04 to 2022-01-07","1 Y 2021-02-02 to 2022-02-07","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-04-05 to 2022-04-07","1 Y 2021-05-03 to 2022-05-07","1 Y 2021-06-02 to 2022-06-07","1 Y 2021-07-02 to 2022-07-07","1 Y 2021-08-02 to 2022-08-07","1 Y 2021-09-02 to 2022-09-07","1 Y 2021-10-04 to 2022-10-07","1 Y 2021-11-02 to 2022-11-07","1 Y 2021-12-02 to 2022-12-07","1 Y 2022-01-03 to 2023-01-07","1 Y 2022-02-02 to 2023-02-07","1 Y 2022-03-02 to 2023-03-07","1 Y 2022-04-04 to 2023-04-07","1 Y 2022-05-02 to 2023-05-07","1 Y 2022-06-02 to 2023-06-07","1 Y 2022-07-04 to 2023-07-07","1 Y 2022-08-02 to 2023-08-07","1 Y 2022-09-02 to 2023-09-07","1 Y 2022-10-03 to 2023-10-07","1 Y 2022-11-02 to 2023-11-07","1 Y 2022-12-02 to 2023-12-07","1 Y 2023-01-02 to 2024-01-07","1 Y 2023-02-02 to 2024-02-07","1 Y 2023-03-02 to 2024-03-07","1 Y 2023-04-03 to 2024-04-07","1 Y 2023-05-02 to 2024-05-07","1 Y 2023-06-02 to 2024-06-07","1 Y 2023-07-03 to 2024-07-07","1 Y 2023-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",11.645,17.339,12.058,13.773,10.377,13.606,15.787,-6.694,-4.68,13.706,14.814,8.585,7.849,11.119,4.824,-17.392,-17.878,-6.756,4.911,-1.429,3.055,2.528,0.857,11.862,24.914,31.006,41.159,101.746,118.047,94.048,87.76,81.233,74.137,80.802,80.847,42.204,38.995,29.121,17.274,27.115,19.053,9.129,6.759,14.556,4.54,2.597,5.45,12.836,6.123,6.689,12.297,2.192,10.598,21.355,21.644,12.428,12.69,12.734,7.937,17.334,30.237,40.685,34.774,38.324,39.368,38.308,37.763,33.582
"B Annualized Returns",5.091,8.128,9.962,17.159,9.662,12.368,11.959,-1.897,-3.614,5.924,15.655,13.642,13.502,11.713,5.007,-24.608,-17.219,-14.073,-5.783,3.638,6.171,3.679,2.151,9.259,17.873,23.021,32.379,63.86,54.485,53.131,44.876,44.684,51.921,49.565,48.461,24.996,23.722,16.978,7.111,21.156,14.431,6.414,1.683,7.227,1.544,-1.635,1.781,10.36,0.216,5.022,6.202,-0.81,10.922,12.784,22.39,11.808,11.29,12.763,6.719,11.221,18.448,19.302,22.834,24.357,19.7,18.896,22.314,19.164
"AR DIFF(P-B)",6.554,9.211,2.096,-3.386,0.715,1.238,3.828,-4.797,-1.066,7.782,-0.840999999999999,-5.057,-5.653,-0.593999999999999,-0.183,7.216,-0.658999999999999,7.317,10.694,-5.067,-3.116,-1.151,-1.294,2.603,7.041,7.985,8.78,37.886,63.562,40.917,42.884,36.549,22.216,31.237,32.386,17.208,15.273,12.143,10.163,5.959,4.622,2.715,5.076,7.329,2.996,4.232,3.669,2.476,5.907,1.667,6.095,3.002,-0.324,8.571,-0.746000000000002,0.620000000000001,1.4,-0.0289999999999999,1.218,6.113,11.789,21.383,11.94,13.967,19.668,19.412,15.449,14.418
"P Volatility",17.85,17.74,14.99,14.33,16.52,16.88,15.8,16.57,15.98,14.15,13.72,13.46,12.55,13.87,11.11,9.16,29.84,29.12,28.61,33.94,34.95,34.04,36.13,37.65,39.68,40.14,20.97,21.1,18.01,16.41,18.09,21.67,17.22,17.08,11.99,13.39,12.75,11.86,14.02,13.15,13.57,14.42,15.13,16.57,17.26,17.44,18.6,17.37,18,16.14,16.79,17.05,19.12,16.57,12.5,12.88,12.98,12.79,11.47,12.26,12.43,11.25,9.04,10.22,11.56,11.54,11.73,11.31
"B Volatility",15.87,14.76,14.34,14.97,14.96,14.94,13.28,14.26,12.64,11.6,11.16,11.16,11.18,11.12,10.19,10.65,31.91,31.9,33.1,34.16,33.97,33.8,34.03,35.97,36.53,36.39,17.66,18.2,17.55,16.86,16.3,16.55,16.93,16.96,14.65,15.46,14.93,12.7,14.2,15.69,15.7,16.37,17.25,16.03,15.89,16,17.18,17.5,18,16.81,15.12,15.21,15.51,14.3,12.75,13.36,13.31,11.13,10.96,11.28,12.75,12.73,11.88,11.39,11.28,11.64,12.68,11.78
"V DIFF(P-B)",1.98,2.98,0.65,-0.640000000000001,1.56,1.94,2.52,2.31,3.34,2.55,2.56,2.3,1.37,2.75,0.92,-1.49,-2.07,-2.78,-4.49,-0.219999999999999,0.980000000000004,0.240000000000002,2.1,1.68,3.15,3.75,3.31,2.9,0.460000000000001,-0.449999999999999,1.79,5.12,0.289999999999999,0.119999999999997,-2.66,-2.07,-2.18,-0.84,-0.18,-2.54,-2.13,-1.95,-2.12,0.539999999999999,1.37,1.44,1.42,-0.129999999999999,0,-0.669999999999998,1.67,1.84,3.61,2.27,-0.25,-0.479999999999999,-0.33,1.66,0.51,0.98,-0.32,-1.48,-2.84,-1.17,0.280000000000001,-0.100000000000001,-0.949999999999999,-0.469999999999999
"P Tracking Error",3.73,5.26,5.03,3.74,4.21,4.84,4.82,4.16,5.23,4.94,4.95,4.57,4.85,6.01,4.67,6.18,6.17,8.77,12.33,9.08,8.64,10.67,10.54,9.64,9.58,10.07,10.57,14.19,13.06,11.3,11.44,14.27,12.36,11.35,8.55,10.97,9.07,8.91,6.69,6.71,6.78,5.86,5.34,5.38,7.63,5.67,5.28,5.37,4.9,5.7,5.37,4.09,8.6,6.38,4.93,4.7,6.61,7.7,5.9,7.84,6.28,5.28,5.93,6.13,8.35,7.06,6.47,5.89
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
