"","2 Y 2018-01-02 to 2020-01-07","2 Y 2018-02-02 to 2020-02-07","2 Y 2018-03-05 to 2020-03-07","2 Y 2018-04-02 to 2020-04-07","2 Y 2018-05-02 to 2020-05-07","2 Y 2018-06-04 to 2020-06-07","2 Y 2018-07-02 to 2020-07-07","2 Y 2018-08-02 to 2020-08-07","2 Y 2018-09-03 to 2020-09-07","2 Y 2018-10-03 to 2020-10-07","2 Y 2018-11-02 to 2020-11-07","2 Y 2018-12-03 to 2020-12-07","2 Y 2019-01-02 to 2021-01-07","2 Y 2019-02-04 to 2021-02-07","2 Y 2019-03-05 to 2021-03-07","2 Y 2019-04-02 to 2021-04-07","2 Y 2019-05-02 to 2021-05-07","2 Y 2019-06-03 to 2021-06-07","2 Y 2019-07-02 to 2021-07-07","2 Y 2019-08-02 to 2021-08-07","2 Y 2019-09-03 to 2021-09-07","2 Y 2019-10-03 to 2021-10-07","2 Y 2019-11-04 to 2021-11-07","2 Y 2019-12-02 to 2021-12-07","2 Y 2020-01-02 to 2022-01-07","2 Y 2020-02-03 to 2022-02-07","2 Y 2020-03-02 to 2022-03-07","2 Y 2020-04-03 to 2022-04-07","2 Y 2020-05-04 to 2022-05-07","2 Y 2020-06-02 to 2022-06-07","2 Y 2020-07-02 to 2022-07-07","2 Y 2020-08-03 to 2022-08-07","2 Y 2020-09-02 to 2022-09-07","2 Y 2020-10-05 to 2022-10-07","2 Y 2020-11-02 to 2022-11-07","2 Y 2020-12-02 to 2022-12-07","2 Y 2021-01-04 to 2023-01-07","2 Y 2021-02-02 to 2023-02-07","2 Y 2021-03-02 to 2023-03-07","2 Y 2021-04-05 to 2023-04-07","2 Y 2021-05-03 to 2023-05-07","2 Y 2021-06-02 to 2023-06-07","2 Y 2021-07-02 to 2023-07-07","2 Y 2021-08-02 to 2023-08-07","2 Y 2021-09-02 to 2023-09-07","2 Y 2021-10-04 to 2023-10-07","2 Y 2021-11-02 to 2023-11-07","2 Y 2021-12-02 to 2023-12-07","2 Y 2022-01-03 to 2024-01-07","2 Y 2022-02-02 to 2024-02-07","2 Y 2022-03-02 to 2024-03-07","2 Y 2022-04-04 to 2024-04-07","2 Y 2022-05-02 to 2024-05-07","2 Y 2022-06-02 to 2024-06-07","2 Y 2022-07-04 to 2024-07-07","2 Y 2022-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",10.455,11.612,11.946,-1.856,-0.826,3.239,5.44,4.727,2.618,11.17,12.309,15.031,19.227,20.039,23.118,22.373,25.428,22.141,22.16,30.221,29.312,28.917,25.651,27.788,28.94,25.698,26.751,56.339,48.129,34.668,32.312,33.28,31.285,29.443,28.691,20.46,15.55,10.32,9.651,10.748,12.682,10.929,11.547,9.551,8.2,8.365,7.129,14.421,12.454,15.454,22.563,16.941,19.92,27.994,31.448,24.504
"B Annualized Returns",9.401,9.906,7.456,-5.873,-5.134,-1.33,1.271,0.476,1.086,7.152,8.693,11.139,15.921,17.57,18.12,12.772,13.086,13.871,16.867,21.396,26.05,24.589,21.783,17.911,20.762,20.052,19.443,40.87,33.077,27.915,21.373,24.374,24.17,21.293,22.925,17.44,11.624,9.31,8.223,10.191,13.123,9.557,11.557,10.097,6.306,4.811,3.59,10.79,9.56,11.945,18.406,11.063,15.134,16.719,22.742,16.037
"AR DIFF(P-B)",1.054,1.706,4.49,4.017,4.308,4.569,4.169,4.251,1.532,4.018,3.616,3.892,3.306,2.469,4.998,9.601,12.342,8.27,5.293,8.825,3.262,4.328,3.868,9.877,8.178,5.646,7.308,15.469,15.052,6.753,10.939,8.906,7.115,8.15,5.766,3.02,3.926,1.01,1.428,0.556999999999999,-0.440999999999999,1.372,-0.00999999999999979,-0.545999999999999,1.894,3.554,3.539,3.631,2.894,3.509,4.157,5.878,4.786,11.275,8.706,8.467
"P Volatility",12.95,12.42,12.9,12.11,23.78,24,24.12,24.14,24.37,23.19,23.36,24.24,25.64,25.79,25.03,25.74,25.67,26.75,27.91,26.93,29.53,27.91,29.44,28.1,26.31,28.11,18.76,15.46,16.25,17.66,17.66,17.97,17.38,18.42,16.36,14.95,16.22,15.35,14.88,14.73,13.78,13.82,13.84,12.3,12.97,12.99,13.61,14.46,15.12,15.18,14.19,14.81,13.94,13.04,11.92,12
"B Volatility",13.23,12.59,12.57,12.53,24.18,24.2,24.4,25.02,24.61,24.28,24.22,25.4,25.85,25.9,26.23,26.43,26.42,26.47,25.97,25.9,26.41,26.38,26.38,26.82,26.75,26.54,17.54,16.79,16.82,16.78,16.83,17.32,17.14,17.35,16.41,15.8,15.97,15.11,14.9,15.08,15.21,15.31,15.31,14.29,14.39,14.38,14,14.33,15.28,14.42,13.65,13.49,13.08,12.43,12.44,12.49
"V DIFF(P-B)",-0.280000000000001,-0.17,0.33,-0.42,-0.399999999999999,-0.199999999999999,-0.279999999999998,-0.879999999999999,-0.239999999999998,-1.09,-0.859999999999999,-1.16,-0.210000000000001,-0.109999999999999,-1.2,-0.690000000000001,-0.75,0.280000000000001,1.94,1.03,3.12,1.53,3.06,1.28,-0.440000000000001,1.57,1.22,-1.33,-0.57,0.879999999999999,0.830000000000002,0.649999999999999,0.239999999999998,1.07,-0.0500000000000007,-0.850000000000001,0.249999999999998,0.24,-0.0199999999999996,-0.35,-1.43,-1.49,-1.47,-1.99,-1.42,-1.39,-0.390000000000001,0.130000000000001,-0.16,0.76,0.539999999999999,1.32,0.859999999999999,0.609999999999999,-0.52,-0.49
"P Tracking Error",6.08,6.72,5.73,5.23,6.75,6.81,6.99,6.85,6.35,6.74,7.33,7.17,8.14,7.75,6.82,10.88,10.73,10.48,11.38,11.38,10.94,10.4,10.57,11.26,11.4,10.69,9.22,11.19,11.3,11.02,10.38,9.05,8.29,8.57,8.35,8.25,7.87,8.6,6.2,5.78,5.79,5.8,5.72,6.21,6.78,6.38,5.93,5.34,5.42,6.08,5.33,5.6,5.67,5.96,5.84,5.46
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
