"","3 Y 2018-01-02 to 2021-01-07","3 Y 2018-02-02 to 2021-02-07","3 Y 2018-03-05 to 2021-03-07","3 Y 2018-04-02 to 2021-04-07","3 Y 2018-05-02 to 2021-05-07","3 Y 2018-06-04 to 2021-06-07","3 Y 2018-07-02 to 2021-07-07","3 Y 2018-08-02 to 2021-08-07","3 Y 2018-09-03 to 2021-09-07","3 Y 2018-10-03 to 2021-10-07","3 Y 2018-11-02 to 2021-11-07","3 Y 2018-12-03 to 2021-12-07","3 Y 2019-01-02 to 2022-01-07","3 Y 2019-02-04 to 2022-02-07","3 Y 2019-03-05 to 2022-03-07","3 Y 2019-04-02 to 2022-04-07","3 Y 2019-05-02 to 2022-05-07","3 Y 2019-06-03 to 2022-06-07","3 Y 2019-07-02 to 2022-07-07","3 Y 2019-08-02 to 2022-08-07","3 Y 2019-09-03 to 2022-09-07","3 Y 2019-10-03 to 2022-10-07","3 Y 2019-11-04 to 2022-11-07","3 Y 2019-12-02 to 2022-12-07","3 Y 2020-01-02 to 2023-01-07","3 Y 2020-02-03 to 2023-02-07","3 Y 2020-03-02 to 2023-03-07","3 Y 2020-04-03 to 2023-04-07","3 Y 2020-05-04 to 2023-05-07","3 Y 2020-06-02 to 2023-06-07","3 Y 2020-07-02 to 2023-07-07","3 Y 2020-08-03 to 2023-08-07","3 Y 2020-09-02 to 2023-09-07","3 Y 2020-10-05 to 2023-10-07","3 Y 2020-11-02 to 2023-11-07","3 Y 2020-12-02 to 2023-12-07","3 Y 2021-01-04 to 2024-01-07","3 Y 2021-02-02 to 2024-02-07","3 Y 2021-03-02 to 2024-03-07","3 Y 2021-04-05 to 2024-04-07","3 Y 2021-05-03 to 2024-05-07","3 Y 2021-06-02 to 2024-06-07","3 Y 2021-07-02 to 2024-07-07","3 Y 2021-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",12.577,14.694,15.177,17.888,14.826,16.768,18.129,14.48,15.319,19.335,16.635,18.653,19.883,19.41,16.111,17.819,14.865,12.878,14.299,20.171,20.358,18.424,19.063,19.958,18.094,15.911,17.935,33.328,32.101,28.771,29.369,28.707,27.83,28.329,25.524,24.319,23.752,20.618,21.376,21.076,18.878,19.015,20.947,18.153
"B Annualized Returns",11.943,13.347,14.641,13.534,11.61,14.264,14.085,13.074,15.074,19.763,19.605,17.115,18.465,17.131,14.791,15.503,13.004,12.082,11.564,16.681,17.302,15.134,14.713,15.343,14.056,13.557,15.59,25.733,24.869,22.668,21.711,20.877,19.715,18.973,16.242,15.328,14.25,12.538,13.685,14.724,14.701,12.785,14.821,12.958
"AR DIFF(P-B)",0.634,1.347,0.536,4.354,3.216,2.504,4.044,1.406,0.245000000000001,-0.428000000000001,-2.97,1.538,1.418,2.279,1.32,2.316,1.861,0.795999999999999,2.735,3.49,3.056,3.29,4.35,4.615,4.038,2.354,2.345,7.595,7.232,6.103,7.658,7.83,8.115,9.356,9.282,8.991,9.502,8.08,7.691,6.352,4.177,6.23,6.126,5.195
"P Volatility",20.7,21.11,20.68,19.6,19.6,20.78,20.62,21.54,20.47,22.17,23.92,22.85,23.65,25.4,24.22,22.52,24.3,25.1,23.46,26.14,26.86,25.79,26.39,26.53,27.59,26.92,18.81,18.07,17.86,17.56,16.92,17.04,16.74,17.99,15.23,16.12,15.88,15.13,14.78,15.69,14.1,14.29,15.15,13.99
"B Volatility",22.62,22.4,22.71,22.77,22.77,22.81,22.53,22.51,22.57,22.21,22.13,22.43,22.42,22.38,22.63,22.91,22.97,23.11,23.04,23.26,23.2,23.27,23.57,23.61,23.72,23.71,17.19,16.51,16.51,16.06,15.61,15.72,15.81,15.72,14.73,14.35,14.81,14.14,13.93,13.93,13.82,13.87,14.33,13.54
"V DIFF(P-B)",-1.92,-1.29,-2.03,-3.17,-3.17,-2.03,-1.91,-0.970000000000002,-2.1,-0.0399999999999991,1.79,0.420000000000002,1.23,3.02,1.59,-0.390000000000001,1.33,1.99,0.420000000000002,2.88,3.66,2.52,2.82,2.92,3.87,3.21,1.62,1.56,1.35,1.5,1.31,1.32,0.929999999999998,2.27,0.5,1.77,1.07,0.99,0.85,1.76,0.279999999999999,0.42,0.82,0.450000000000001
"P Tracking Error",7.47,6.71,7.48,10.43,10.21,9.38,9.04,7.93,8.59,9.22,8.17,9.32,8.66,8.77,8.99,9.56,9.14,10.23,10.68,10.91,9.31,9.97,9.34,10.03,10.47,9.48,8.98,8.33,9.24,8.93,8.29,8.2,8.19,8.84,8.19,9.17,7.82,7.94,6.69,7.64,6.48,6.3,6.43,6.49
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.08,0.2,0.07,0.42,0.31,0.27,0.45,0.18,0.03,-0.05,-0.36,0.17,0.16,0.26,0.15,0.24,0.2,0.08,0.26,0.32,0.33,0.33,0.47,0.46,0.39,0.25,0.26,0.91,0.78,0.68,0.92,0.95,0.99,1.06,1.13,0.98,1.22,1.02,1.15,0.83,0.64,0.99,0.95,0.8
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.22,0.15,0.07,0.42,0.33,0.37,0.44,0.17,0.24,0.08,-0.28,0.2,0.23,0.11,0.2,0.32,0.17,0.15,0.3,0.32,0.28,0.33,0.34,0.33,0.32,0.3,0.55,0.56,0.55,0.55,0.72,0.54,0.68,0.69,0.71,0.77,0.75,0.78,0.6,0.5,0.51,0.46,0.43,0.41
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.86,0.9,0.86,0.77,0.77,0.83,0.84,0.9,0.84,0.91,1.02,0.93,0.98,1.07,0.99,0.9,0.98,0.99,0.91,1.02,1.09,1.02,1.05,1.04,1.08,1.06,0.96,0.97,0.93,0.94,0.95,0.95,0.93,1,0.88,0.93,0.94,0.91,0.95,0.98,0.91,0.93,0.96,0.92
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",88.84,90.78,88.95,78.47,79.4,82.59,83.39,87.27,85.12,82.97,88.02,83.29,86.21,88.09,85.8,82.58,85.47,82.89,79.42,82.09,88.23,84.65,87.27,85.39,85.63,87.55,76.65,78.17,72.84,73.64,75.52,76.35,75.84,75.09,71.58,67.12,75.39,72.24,79.17,75.59,79.05,80.5,81.6,78.45
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-29.8828,-30.0998,-30.3864,-28.5038,-27.7794,-30.648,-31.0016,-32.0162,-30.8891,-33.8425,-37.1484,-34.8882,-36.3905,-38.7744,-36.3471,-33.4102,-36.3901,-36.7131,-33.5156,-37.1209,-38.3185,-37.3391,-37.1185,-37.903,-37.6942,-37.9833,-32.9583,-20.5292,-21.4153,-21.3618,-19.8199,-19.5393,-19.6322,-17.6105,-18.6629,-19.4184,-18.3043,-18.4758,-18.9578,-20.324,-19.831,-21.0303,-19.9695,-18.0181
"B Max Drawdown",-38.0701,-38.0701,-38.07,-38.0701,-38.07,-38.0701,-38.0701,-38.07,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.07,-38.0701,-38.0701,-38.0701,-37.4939,-32.7324,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271,-16.627,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271
"MD DIFF(P-B)",8.1873,7.9703,7.6836,9.5663,10.2906,7.4221,7.0685,6.0538,7.181,4.2276,0.921699999999994,3.1819,1.67959999999999,-0.704300000000003,1.723,4.65989999999999,1.68,1.357,4.5545,0.949199999999998,-0.248400000000004,0.730899999999998,0.951599999999999,0.167099999999998,0.375899999999994,-0.489400000000003,-0.225900000000003,-3.9021,-4.7882,-4.7347,-3.1928,-2.9122,-3.0051,-0.9834,-2.0359,-2.7913,-1.6772,-1.8487,-2.3307,-3.6969,-3.2039,-4.4032,-3.3424,-1.391
