"","1 Y 2018-01-02 to 2019-01-07","1 Y 2018-02-02 to 2019-02-07","1 Y 2018-03-05 to 2019-03-07","1 Y 2018-04-02 to 2019-04-07","1 Y 2018-05-02 to 2019-05-07","1 Y 2018-06-04 to 2019-06-07","1 Y 2018-07-02 to 2019-07-07","1 Y 2018-08-02 to 2019-08-07","1 Y 2018-09-03 to 2019-09-07","1 Y 2018-10-03 to 2019-10-07","1 Y 2018-11-02 to 2019-11-07","1 Y 2018-12-03 to 2019-12-07","1 Y 2019-01-02 to 2020-01-07","1 Y 2019-02-04 to 2020-02-07","1 Y 2019-03-05 to 2020-03-07","1 Y 2019-04-02 to 2020-04-07","1 Y 2019-05-02 to 2020-05-07","1 Y 2019-06-03 to 2020-06-07","1 Y 2019-07-02 to 2020-07-07","1 Y 2019-08-02 to 2020-08-07","1 Y 2019-09-03 to 2020-09-07","1 Y 2019-10-03 to 2020-10-07","1 Y 2019-11-04 to 2020-11-07","1 Y 2019-12-02 to 2020-12-07","1 Y 2020-01-02 to 2021-01-07","1 Y 2020-02-03 to 2021-02-07","1 Y 2020-03-02 to 2021-03-07","1 Y 2020-04-03 to 2021-04-07","1 Y 2020-05-04 to 2021-05-07","1 Y 2020-06-02 to 2021-06-07","1 Y 2020-07-02 to 2021-07-07","1 Y 2020-08-03 to 2021-08-07","1 Y 2020-09-02 to 2021-09-07","1 Y 2020-10-05 to 2021-10-07","1 Y 2020-11-02 to 2021-11-07","1 Y 2020-12-02 to 2021-12-07","1 Y 2021-01-04 to 2022-01-07","1 Y 2021-02-02 to 2022-02-07","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-04-05 to 2022-04-07","1 Y 2021-05-03 to 2022-05-07","1 Y 2021-06-02 to 2022-06-07","1 Y 2021-07-02 to 2022-07-07","1 Y 2021-08-02 to 2022-08-07","1 Y 2021-09-02 to 2022-09-07","1 Y 2021-10-04 to 2022-10-07","1 Y 2021-11-02 to 2022-11-07","1 Y 2021-12-02 to 2022-12-07","1 Y 2022-01-03 to 2023-01-07","1 Y 2022-02-02 to 2023-02-07","1 Y 2022-03-02 to 2023-03-07","1 Y 2022-04-04 to 2023-04-07","1 Y 2022-05-02 to 2023-05-07","1 Y 2022-06-02 to 2023-06-07","1 Y 2022-07-04 to 2023-07-07","1 Y 2022-08-02 to 2023-08-07","1 Y 2022-09-02 to 2023-09-07","1 Y 2022-10-03 to 2023-10-07","1 Y 2022-11-02 to 2023-11-07","1 Y 2022-12-02 to 2023-12-07","1 Y 2023-01-02 to 2024-01-07","1 Y 2023-02-02 to 2024-02-07","1 Y 2023-03-02 to 2024-03-07","1 Y 2023-04-03 to 2024-04-07","1 Y 2023-05-02 to 2024-05-07","1 Y 2023-06-02 to 2024-06-07","1 Y 2023-07-03 to 2024-07-07","1 Y 2023-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-4.46,-2.187,9.588,14.007,3.987,4.329,3.977,-2.414,-7.947,-1.476,11.989,19.319,16.591,16.933,2.688,-42.505,-19.754,-22.002,-22.049,5.778,10.719,3.76,1.36,20.419,16.16,17.795,36.512,95.582,69.12,76.743,57.73,63.832,74.041,79.245,75.588,38.951,36.924,26.027,14.801,25.121,16.23,4.915,5.489,10.924,17.631,4.151,9.469,12.121,2.504,1.611,7.266,1.054,9.91,20.614,33.053,18.129,20.012,24.87,16.116,23.156,27.948,28.188,45.235,40.825,21.142,26.164,25.784,28.115
"B Annualized Returns",5.091,8.128,9.962,17.159,9.662,12.368,11.959,-1.897,-3.614,5.924,15.655,13.642,13.502,11.713,5.007,-24.608,-17.219,-14.073,-5.783,3.638,6.171,3.679,2.151,9.259,17.873,23.021,32.379,63.86,54.485,53.131,44.876,44.684,51.921,49.565,48.461,24.996,23.722,16.978,7.111,21.156,14.431,6.414,1.683,7.227,1.544,-1.635,1.781,10.36,0.216,5.022,6.202,-0.81,10.922,12.784,22.39,11.808,11.29,12.763,6.719,11.221,18.448,19.302,22.834,24.357,19.7,18.896,22.314,19.164
"AR DIFF(P-B)",-9.551,-10.315,-0.374000000000001,-3.152,-5.675,-8.039,-7.982,-0.517,-4.333,-7.4,-3.666,5.677,3.089,5.22,-2.319,-17.897,-2.535,-7.929,-16.266,2.14,4.548,0.081,-0.791,11.16,-1.713,-5.226,4.133,31.722,14.635,23.612,12.854,19.148,22.12,29.68,27.127,13.955,13.202,9.049,7.69,3.965,1.799,-1.499,3.806,3.697,16.087,5.786,7.688,1.761,2.288,-3.411,1.064,1.864,-1.012,7.83,10.663,6.321,8.722,12.107,9.397,11.935,9.5,8.886,22.401,16.468,1.442,7.268,3.47,8.951
"P Volatility",15.79,15.48,16.95,17.97,15.48,14.31,13.15,15.46,11.85,13.48,14.39,15.09,16.66,14.32,17.24,21.23,48.12,49.39,52.89,46.87,48.21,48.75,43.42,46.46,46.28,47.13,28.53,22.82,23.8,24.7,22.83,21.59,20.15,20.85,13.74,15.74,10.88,9.09,12.33,14.55,12.96,14.95,15.3,18.25,19,18.21,17.53,19.96,21.17,22.63,18.38,18.43,15.92,17.59,13.48,11.6,11.63,11.26,12.46,13.42,12.96,13.04,13.25,12.04,10.89,11.71,12.62,13.53
"B Volatility",15.87,14.76,14.34,14.97,14.96,14.94,13.28,14.26,12.64,11.6,11.16,11.16,11.18,11.12,10.19,10.65,31.91,31.9,33.1,34.16,33.97,33.8,34.03,35.97,36.53,36.39,17.66,18.2,17.55,16.86,16.3,16.55,16.93,16.96,14.65,15.46,14.93,12.7,14.2,15.69,15.7,16.37,17.25,16.03,15.89,16,17.18,17.5,18,16.81,15.12,15.21,15.51,14.3,12.75,13.36,13.31,11.13,10.96,11.28,12.75,12.73,11.88,11.39,11.28,11.64,12.68,11.78
"V DIFF(P-B)",-0.0800000000000001,0.720000000000001,2.61,3,0.52,-0.629999999999999,-0.129999999999999,1.2,-0.790000000000001,1.88,3.23,3.93,5.48,3.2,7.05,10.58,16.21,17.49,19.79,12.71,14.24,14.95,9.39,10.49,9.75,10.74,10.87,4.62,6.25,7.84,6.53,5.04,3.22,3.89,-0.91,0.279999999999999,-4.05,-3.61,-1.87,-1.14,-2.74,-1.42,-1.95,2.22,3.11,2.21,0.350000000000001,2.46,3.17,5.82,3.26,3.22,0.41,3.29,0.73,-1.76,-1.68,0.129999999999999,1.5,2.14,0.210000000000001,0.309999999999999,1.37,0.649999999999999,-0.389999999999999,0.0700000000000003,-0.0600000000000005,1.75
"P Tracking Error",9.46,10,6.82,8.96,8.1,7.36,7.79,8.33,9.16,8.02,8.37,10.21,11.57,8.73,9.83,12.69,19.19,19.39,21.06,15.08,17.57,17.95,11.42,13.81,16.02,17.96,16.57,11.31,10.78,13.12,11.08,10.51,10.06,9.38,9,10.98,9.63,11.11,7.79,7.06,6.77,7.35,5.23,8.19,8.68,7.89,7.04,9.51,11.07,11.53,8.81,10.14,6.36,9.95,7.83,6.41,9.32,10,8.05,6.43,7.24,6.19,7.1,7.01,5.78,7.01,6.18,6.07
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
