"","2 Y 2018-01-02 to 2020-01-07","2 Y 2018-02-02 to 2020-02-07","2 Y 2018-03-05 to 2020-03-07","2 Y 2018-04-02 to 2020-04-07","2 Y 2018-05-02 to 2020-05-07","2 Y 2018-06-04 to 2020-06-07","2 Y 2018-07-02 to 2020-07-07","2 Y 2018-08-02 to 2020-08-07","2 Y 2018-09-03 to 2020-09-07","2 Y 2018-10-03 to 2020-10-07","2 Y 2018-11-02 to 2020-11-07","2 Y 2018-12-03 to 2020-12-07","2 Y 2019-01-02 to 2021-01-07","2 Y 2019-02-04 to 2021-02-07","2 Y 2019-03-05 to 2021-03-07","2 Y 2019-04-02 to 2021-04-07","2 Y 2019-05-02 to 2021-05-07","2 Y 2019-06-03 to 2021-06-07","2 Y 2019-07-02 to 2021-07-07","2 Y 2019-08-02 to 2021-08-07","2 Y 2019-09-03 to 2021-09-07","2 Y 2019-10-03 to 2021-10-07","2 Y 2019-11-04 to 2021-11-07","2 Y 2019-12-02 to 2021-12-07","2 Y 2020-01-02 to 2022-01-07","2 Y 2020-02-03 to 2022-02-07","2 Y 2020-03-02 to 2022-03-07","2 Y 2020-04-03 to 2022-04-07","2 Y 2020-05-04 to 2022-05-07","2 Y 2020-06-02 to 2022-06-07","2 Y 2020-07-02 to 2022-07-07","2 Y 2020-08-03 to 2022-08-07","2 Y 2020-09-02 to 2022-09-07","2 Y 2020-10-05 to 2022-10-07","2 Y 2020-11-02 to 2022-11-07","2 Y 2020-12-02 to 2022-12-07","2 Y 2021-01-04 to 2023-01-07","2 Y 2021-02-02 to 2023-02-07","2 Y 2021-03-02 to 2023-03-07","2 Y 2021-04-05 to 2023-04-07","2 Y 2021-05-03 to 2023-05-07","2 Y 2021-06-02 to 2023-06-07","2 Y 2021-07-02 to 2023-07-07","2 Y 2021-08-02 to 2023-08-07","2 Y 2021-09-02 to 2023-09-07","2 Y 2021-10-04 to 2023-10-07","2 Y 2021-11-02 to 2023-11-07","2 Y 2021-12-02 to 2023-12-07","2 Y 2022-01-03 to 2024-01-07","2 Y 2022-02-02 to 2024-02-07","2 Y 2022-03-02 to 2024-03-07","2 Y 2022-04-04 to 2024-04-07","2 Y 2022-05-02 to 2024-05-07","2 Y 2022-06-02 to 2024-06-07","2 Y 2022-07-04 to 2024-07-07","2 Y 2022-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",7.695,16.736,3.094,-17.247,-7.94,-3.234,-5.382,0.521,2.035,10.644,10.362,15.839,19.881,23.247,19.151,18.081,23.934,22.89,22.74,39.976,43.348,46.545,38.219,37.057,36.882,25.904,34.97,66.261,55.235,41.592,36.302,37.14,30.971,30.821,34.616,29.378,22.319,17.142,13.514,12.669,14.825,16.615,19.395,16.291,16.035,12.512,10.174,17.136,16.649,11.666,26.6,21.843,19.929,27.787,39.147,28.636
"B Annualized Returns",9.401,9.906,7.456,-5.873,-5.134,-1.33,1.271,0.476,1.086,7.152,8.693,11.139,15.921,17.57,18.12,12.772,13.086,13.871,16.867,21.396,26.05,24.589,21.783,17.911,20.762,20.052,19.443,40.87,33.077,27.915,21.373,24.374,24.17,21.293,22.925,17.44,11.624,9.31,8.223,10.191,13.123,9.557,11.557,10.097,6.306,4.811,3.59,10.79,9.56,11.945,18.406,11.063,15.134,16.719,22.742,16.037
"AR DIFF(P-B)",-1.706,6.83,-4.362,-11.374,-2.806,-1.904,-6.653,0.045,0.949,3.492,1.669,4.7,3.96,5.677,1.031,5.309,10.848,9.019,5.873,18.58,17.298,21.956,16.436,19.146,16.12,5.852,15.527,25.391,22.158,13.677,14.929,12.766,6.801,9.528,11.691,11.938,10.695,7.832,5.291,2.478,1.702,7.058,7.838,6.194,9.729,7.701,6.584,6.346,7.089,-0.279,8.194,10.78,4.795,11.068,16.405,12.599
"P Volatility",16.13,14.86,17.34,17.29,25.8,27.54,26.59,25.1,25.18,26.79,24.37,22.6,26.88,26.76,28.95,35.29,31.62,33.27,37.96,41.33,35.9,36.44,37.73,35.5,33.19,34.1,23.63,20.71,19.84,20.22,20.7,19.65,18.5,18.91,17.39,18.71,16.95,15.04,13.97,16.71,14.36,14.73,15.39,16.07,15.12,14.45,14.86,15.4,15.32,16.01,17.28,16.6,15.9,15.92,12.6,13.47
"B Volatility",13.23,12.59,12.57,12.53,24.18,24.2,24.4,25.02,24.61,24.28,24.22,25.4,25.85,25.9,26.23,26.43,26.42,26.47,25.97,25.9,26.41,26.38,26.38,26.82,26.75,26.54,17.54,16.79,16.82,16.78,16.83,17.32,17.14,17.35,16.41,15.8,15.97,15.11,14.9,15.08,15.21,15.31,15.31,14.29,14.39,14.38,14,14.33,15.28,14.42,13.65,13.49,13.08,12.43,12.44,12.49
"V DIFF(P-B)",2.9,2.27,4.77,4.76,1.62,3.34,2.19,0.0800000000000018,0.57,2.51,0.150000000000002,-2.8,1.03,0.860000000000003,2.72,8.86,5.2,6.8,11.99,15.43,9.49,10.06,11.35,8.68,6.44,7.56,6.09,3.92,3.02,3.44,3.87,2.33,1.36,1.56,0.98,2.91,0.979999999999999,-0.0700000000000003,-0.93,1.63,-0.850000000000001,-0.58,0.0800000000000001,1.78,0.729999999999999,0.0699999999999985,0.859999999999999,1.07,0.0400000000000009,1.59,3.63,3.11,2.82,3.49,0.16,0.98
"P Tracking Error",6.88,7.09,8.86,8.12,7.21,7.92,7.96,8.07,7.76,6.84,8.85,11.4,10.2,9.46,9.12,14.22,12.1,13.02,16.2,18.93,16.12,16.43,17.6,15.32,14.55,15.73,14.55,12.89,12.63,10.14,10.21,9.09,7.81,8.02,7.52,9.36,9.13,9.58,6.56,7.66,6.52,6.34,7.68,7.48,6.83,6.7,7.01,6.21,6.62,6.94,8.86,8.89,8.6,8.74,6.04,7.2
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
