"","3 Y 2018-01-02 to 2021-01-07","3 Y 2018-02-02 to 2021-02-07","3 Y 2018-03-05 to 2021-03-07","3 Y 2018-04-02 to 2021-04-07","3 Y 2018-05-02 to 2021-05-07","3 Y 2018-06-04 to 2021-06-07","3 Y 2018-07-02 to 2021-07-07","3 Y 2018-08-02 to 2021-08-07","3 Y 2018-09-03 to 2021-09-07","3 Y 2018-10-03 to 2021-10-07","3 Y 2018-11-02 to 2021-11-07","3 Y 2018-12-03 to 2021-12-07","3 Y 2019-01-02 to 2022-01-07","3 Y 2019-02-04 to 2022-02-07","3 Y 2019-03-05 to 2022-03-07","3 Y 2019-04-02 to 2022-04-07","3 Y 2019-05-02 to 2022-05-07","3 Y 2019-06-03 to 2022-06-07","3 Y 2019-07-02 to 2022-07-07","3 Y 2019-08-02 to 2022-08-07","3 Y 2019-09-03 to 2022-09-07","3 Y 2019-10-03 to 2022-10-07","3 Y 2019-11-04 to 2022-11-07","3 Y 2019-12-02 to 2022-12-07","3 Y 2020-01-02 to 2023-01-07","3 Y 2020-02-03 to 2023-02-07","3 Y 2020-03-02 to 2023-03-07","3 Y 2020-04-03 to 2023-04-07","3 Y 2020-05-04 to 2023-05-07","3 Y 2020-06-02 to 2023-06-07","3 Y 2020-07-02 to 2023-07-07","3 Y 2020-08-03 to 2023-08-07","3 Y 2020-09-02 to 2023-09-07","3 Y 2020-10-05 to 2023-10-07","3 Y 2020-11-02 to 2023-11-07","3 Y 2020-12-02 to 2023-12-07","3 Y 2021-01-04 to 2024-01-07","3 Y 2021-02-02 to 2024-02-07","3 Y 2021-03-02 to 2024-03-07","3 Y 2021-04-05 to 2024-04-07","3 Y 2021-05-03 to 2024-05-07","3 Y 2021-06-02 to 2024-06-07","3 Y 2021-07-02 to 2024-07-07","3 Y 2021-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",14.409,16.651,17.173,14.415,16.332,18.887,16.812,19.268,21.135,30.864,32.686,27.61,28.24,27.151,22.849,22.941,21.916,20.125,20.043,26.484,28.645,27.446,23.099,24.097,19.994,20.836,25.828,38.795,40.269,37.752,35.942,34.57,31.655,32.546,29.16,23.538,23.45,21.583,22.499,24.254,24.286,22.744,23.582,24.588
"B Annualized Returns",11.943,13.347,14.641,13.534,11.61,14.264,14.085,13.074,15.074,19.763,19.605,17.115,18.465,17.131,14.791,15.503,13.004,12.082,11.564,16.681,17.302,15.134,14.713,15.343,14.056,13.557,15.59,25.733,24.869,22.668,21.711,20.877,19.715,18.973,16.242,15.328,14.25,12.538,13.685,14.724,14.701,12.785,14.821,12.958
"AR DIFF(P-B)",2.466,3.304,2.532,0.880999999999998,4.722,4.623,2.727,6.194,6.061,11.101,13.081,10.495,9.775,10.02,8.058,7.438,8.912,8.043,8.479,9.803,11.343,12.312,8.386,8.754,5.938,7.279,10.238,13.062,15.4,15.084,14.231,13.693,11.94,13.573,12.918,8.21,9.2,9.045,8.814,9.53,9.585,9.959,8.761,11.63
"P Volatility",31.7,30.3,32.77,34.04,34.42,32.23,32.62,30.73,31.56,29.69,26.12,29.14,26.87,25.25,26.41,28.63,26.34,26.49,28.94,27.85,27.49,29.11,27.42,27.1,25.49,26.66,21.47,20.93,22.22,21.45,20.67,20.34,19.13,18.43,17.14,15.15,15.19,14.57,14.45,13.94,14.59,13.99,13.33,14.36
"B Volatility",22.62,22.4,22.71,22.77,22.77,22.81,22.53,22.51,22.57,22.21,22.13,22.43,22.42,22.38,22.63,22.91,22.97,23.11,23.04,23.26,23.2,23.27,23.57,23.61,23.72,23.71,17.19,16.51,16.51,16.06,15.61,15.72,15.81,15.72,14.73,14.35,14.81,14.14,13.93,13.93,13.82,13.87,14.33,13.54
"V DIFF(P-B)",9.08,7.9,10.06,11.27,11.65,9.42,10.09,8.22,8.99,7.48,3.99,6.71,4.45,2.87,3.78,5.72,3.37,3.38,5.9,4.59,4.29,5.84,3.85,3.49,1.77,2.95,4.28,4.42,5.71,5.39,5.06,4.62,3.32,2.71,2.41,0.800000000000001,0.379999999999999,0.43,0.52,0.00999999999999979,0.77,0.120000000000001,-1,0.82
"P Tracking Error",12.01,11,13.24,14.2,14.78,12.29,12.81,12.38,12.54,11.81,9.53,12.01,10.05,9.92,9.4,10.54,9.06,8.79,11.1,10.36,11.07,11.5,10.54,10.43,9.72,10.36,11.13,11.08,11.86,11.54,10.63,10.06,9.02,8.3,7.79,7.63,7.84,7.73,6.76,7.27,7.72,7.15,6.85,7.16
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
