"","2 Y 2018-01-02 to 2020-01-07","2 Y 2018-02-02 to 2020-02-07","2 Y 2018-03-05 to 2020-03-07","2 Y 2018-04-02 to 2020-04-07","2 Y 2018-05-02 to 2020-05-07","2 Y 2018-06-04 to 2020-06-07","2 Y 2018-07-02 to 2020-07-07","2 Y 2018-08-02 to 2020-08-07","2 Y 2018-09-03 to 2020-09-07","2 Y 2018-10-03 to 2020-10-07","2 Y 2018-11-02 to 2020-11-07","2 Y 2018-12-03 to 2020-12-07","2 Y 2019-01-02 to 2021-01-07","2 Y 2019-02-04 to 2021-02-07","2 Y 2019-03-05 to 2021-03-07","2 Y 2019-04-02 to 2021-04-07","2 Y 2019-05-02 to 2021-05-07","2 Y 2019-06-03 to 2021-06-07","2 Y 2019-07-02 to 2021-07-07","2 Y 2019-08-02 to 2021-08-07","2 Y 2019-09-03 to 2021-09-07","2 Y 2019-10-03 to 2021-10-07","2 Y 2019-11-04 to 2021-11-07","2 Y 2019-12-02 to 2021-12-07","2 Y 2020-01-02 to 2022-01-07","2 Y 2020-02-03 to 2022-02-07","2 Y 2020-03-02 to 2022-03-07","2 Y 2020-04-03 to 2022-04-07","2 Y 2020-05-04 to 2022-05-07","2 Y 2020-06-02 to 2022-06-07","2 Y 2020-07-02 to 2022-07-07","2 Y 2020-08-03 to 2022-08-07","2 Y 2020-09-02 to 2022-09-07","2 Y 2020-10-05 to 2022-10-07","2 Y 2020-11-02 to 2022-11-07","2 Y 2020-12-02 to 2022-12-07","2 Y 2021-01-04 to 2023-01-07","2 Y 2021-02-02 to 2023-02-07","2 Y 2021-03-02 to 2023-03-07","2 Y 2021-04-05 to 2023-04-07","2 Y 2021-05-03 to 2023-05-07","2 Y 2021-06-02 to 2023-06-07","2 Y 2021-07-02 to 2023-07-07","2 Y 2021-08-02 to 2023-08-07","2 Y 2021-09-02 to 2023-09-07","2 Y 2021-10-04 to 2023-10-07","2 Y 2021-11-02 to 2023-11-07","2 Y 2021-12-02 to 2023-12-07","2 Y 2022-01-03 to 2024-01-07","2 Y 2022-02-02 to 2024-02-07","2 Y 2022-03-02 to 2024-03-07","2 Y 2022-04-04 to 2024-04-07","2 Y 2022-05-02 to 2024-05-07","2 Y 2022-06-02 to 2024-06-07","2 Y 2022-07-04 to 2024-07-07","2 Y 2022-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",0.981,11.028,-4.542,-13.332,-18.437,-11.576,-14.417,-8.237,-6.614,-2.023,-0.943,5.255,8.709,21.616,23.348,15.115,24.447,23.577,27.13,54.324,53.284,51.91,48.118,40.162,31.379,33.226,51.297,92.963,81.769,67.734,61.449,53.446,40.594,48.964,52.79,30.833,27.532,18.187,17.219,21.023,24.383,19.851,21.679,22.657,24.667,13.002,19.855,26.717,17.554,18.509,30.713,19.838,12.457,15.615,14.396,15.307
"B Annualized Returns",9.401,9.906,7.456,-5.873,-5.134,-1.33,1.271,0.476,1.086,7.152,8.693,11.139,15.921,17.57,18.12,12.772,13.086,13.871,16.867,21.396,26.05,24.589,21.783,17.911,20.762,20.052,19.443,40.87,33.077,27.915,21.373,24.374,24.17,21.293,22.925,17.44,11.624,9.31,8.223,10.191,13.123,9.557,11.557,10.097,6.306,4.811,3.59,10.79,9.56,11.945,18.406,11.063,15.134,16.719,22.742,16.037
"AR DIFF(P-B)",-8.42,1.122,-11.998,-7.459,-13.303,-10.246,-15.688,-8.713,-7.7,-9.175,-9.636,-5.884,-7.212,4.046,5.228,2.343,11.361,9.706,10.263,32.928,27.234,27.321,26.335,22.251,10.617,13.174,31.854,52.093,48.692,39.819,40.076,29.072,16.424,27.671,29.865,13.393,15.908,8.877,8.996,10.832,11.26,10.294,10.122,12.56,18.361,8.191,16.265,15.927,7.994,6.564,12.307,8.775,-2.677,-1.104,-8.346,-0.729999999999999
"P Volatility",15.39,15.26,17.6,16.76,33.9,28.2,27.99,28.06,25.72,27.44,26.59,28.87,34.42,29.9,34.25,32.93,31.86,35.55,38.99,41.71,40.06,47.72,45.97,47.87,43.84,39.55,31.02,27.24,28.31,32.28,34.13,31.59,26.88,29.24,24.32,21.75,21.67,18.6,17.21,16.13,15.78,16.76,16.42,16.44,15.24,12.07,11.14,11.73,10.74,10.35,11.98,12.76,11.05,12.86,11.85,14.39
"B Volatility",13.23,12.59,12.57,12.53,24.18,24.2,24.4,25.02,24.61,24.28,24.22,25.4,25.85,25.9,26.23,26.43,26.42,26.47,25.97,25.9,26.41,26.38,26.38,26.82,26.75,26.54,17.54,16.79,16.82,16.78,16.83,17.32,17.14,17.35,16.41,15.8,15.97,15.11,14.9,15.08,15.21,15.31,15.31,14.29,14.39,14.38,14,14.33,15.28,14.42,13.65,13.49,13.08,12.43,12.44,12.49
"V DIFF(P-B)",2.16,2.67,5.03,4.23,9.72,4,3.59,3.04,1.11,3.16,2.37,3.47,8.57,4,8.02,6.5,5.44,9.08,13.02,15.81,13.65,21.34,19.59,21.05,17.09,13.01,13.48,10.45,11.49,15.5,17.3,14.27,9.74,11.89,7.91,5.95,5.7,3.49,2.31,1.05,0.569999999999999,1.45,1.11,2.15,0.85,-2.31,-2.86,-2.6,-4.54,-4.07,-1.67,-0.73,-2.03,0.43,-0.59,1.9
"P Tracking Error",12.77,10.35,10.69,9.02,15.26,14.32,15.23,15.18,15.05,13.94,15.44,17.56,20.76,17.08,18.28,18.01,16.37,19.87,20.94,24.27,23.53,28.92,27.86,28.56,24.24,21.52,22.54,20.75,21.46,24.13,25.22,21.79,15.72,19.24,17.12,13.4,13.51,12.74,11.42,11.61,11.49,13.29,12.88,11.71,11.13,9.84,9.65,9.5,10.33,8.81,11.35,9.84,8.29,8.6,7.88,8.44
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
