"","3 Y 2018-01-02 to 2021-01-07","3 Y 2018-02-02 to 2021-02-07","3 Y 2018-03-05 to 2021-03-07","3 Y 2018-04-02 to 2021-04-07","3 Y 2018-05-02 to 2021-05-07","3 Y 2018-06-04 to 2021-06-07","3 Y 2018-07-02 to 2021-07-07","3 Y 2018-08-02 to 2021-08-07","3 Y 2018-09-03 to 2021-09-07","3 Y 2018-10-03 to 2021-10-07","3 Y 2018-11-02 to 2021-11-07","3 Y 2018-12-03 to 2021-12-07","3 Y 2019-01-02 to 2022-01-07","3 Y 2019-02-04 to 2022-02-07","3 Y 2019-03-05 to 2022-03-07","3 Y 2019-04-02 to 2022-04-07","3 Y 2019-05-02 to 2022-05-07","3 Y 2019-06-03 to 2022-06-07","3 Y 2019-07-02 to 2022-07-07","3 Y 2019-08-02 to 2022-08-07","3 Y 2019-09-03 to 2022-09-07","3 Y 2019-10-03 to 2022-10-07","3 Y 2019-11-04 to 2022-11-07","3 Y 2019-12-02 to 2022-12-07","3 Y 2020-01-02 to 2023-01-07","3 Y 2020-02-03 to 2023-02-07","3 Y 2020-03-02 to 2023-03-07","3 Y 2020-04-03 to 2023-04-07","3 Y 2020-05-04 to 2023-05-07","3 Y 2020-06-02 to 2023-06-07","3 Y 2020-07-02 to 2023-07-07","3 Y 2020-08-03 to 2023-08-07","3 Y 2020-09-02 to 2023-09-07","3 Y 2020-10-05 to 2023-10-07","3 Y 2020-11-02 to 2023-11-07","3 Y 2020-12-02 to 2023-12-07","3 Y 2021-01-04 to 2024-01-07","3 Y 2021-02-02 to 2024-02-07","3 Y 2021-03-02 to 2024-03-07","3 Y 2021-04-05 to 2024-04-07","3 Y 2021-05-03 to 2024-05-07","3 Y 2021-06-02 to 2024-06-07","3 Y 2021-07-02 to 2024-07-07","3 Y 2021-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",19.309,10.455,11.277,10.672,10.128,12.553,5.293,7.913,6.736,20.088,21.417,23.68,25.875,26.588,17.87,21.009,20.607,21.529,23.468,33.243,31.598,28.76,25.861,29.361,25.151,26.897,31.471,55.14,54.211,52.703,49.703,48.52,42.514,46.499,42.821,30.339,34.11,25.769,26.78,29.774,29.353,27.026,31.002,26.851
"B Annualized Returns",11.943,13.347,14.641,13.534,11.61,14.264,14.085,13.074,15.074,19.763,19.605,17.115,18.465,17.131,14.791,15.503,13.004,12.082,11.564,16.681,17.302,15.134,14.713,15.343,14.056,13.557,15.59,25.733,24.869,22.668,21.711,20.877,19.715,18.973,16.242,15.328,14.25,12.538,13.685,14.724,14.701,12.785,14.821,12.958
"AR DIFF(P-B)",7.366,-2.892,-3.364,-2.862,-1.482,-1.711,-8.792,-5.161,-8.338,0.324999999999999,1.812,6.565,7.41,9.457,3.079,5.506,7.603,9.447,11.904,16.562,14.296,13.626,11.148,14.018,11.095,13.34,15.881,29.407,29.342,30.035,27.992,27.643,22.799,27.526,26.579,15.011,19.86,13.231,13.095,15.05,14.652,14.241,16.181,13.893
"P Volatility",27.31,28.71,28.6,26.58,27.08,27.28,29.32,27.89,27.38,25.68,24.23,28.03,24.92,23.95,27.08,24.63,26.88,27.02,29,32.14,36.86,37,34,33.07,32.58,34.4,27.6,26.26,26.48,29.25,26.19,24.77,22.89,24.42,21.43,18.42,19.49,15.35,15.52,14.95,14.56,14.67,15.35,15.59
"B Volatility",22.62,22.4,22.71,22.77,22.77,22.81,22.53,22.51,22.57,22.21,22.13,22.43,22.42,22.38,22.63,22.91,22.97,23.11,23.04,23.26,23.2,23.27,23.57,23.61,23.72,23.71,17.19,16.51,16.51,16.06,15.61,15.72,15.81,15.72,14.73,14.35,14.81,14.14,13.93,13.93,13.82,13.87,14.33,13.54
"V DIFF(P-B)",4.69,6.31,5.89,3.81,4.31,4.47,6.79,5.38,4.81,3.47,2.1,5.6,2.5,1.57,4.45,1.72,3.91,3.91,5.96,8.88,13.66,13.73,10.43,9.46,8.86,10.69,10.41,9.75,9.97,13.19,10.58,9.05,7.08,8.7,6.7,4.07,4.68,1.21,1.59,1.02,0.74,0.800000000000001,1.02,2.05
"P Tracking Error",19.93,18.54,18.63,13.63,14.05,14.28,15.82,14.56,13.86,12.5,14.53,16.58,15.28,14.61,16.1,14.6,15.43,15.79,16.9,18.31,20.54,20.96,18.27,18.26,17.78,18.13,18.63,18.53,18.71,20.73,19.26,16.72,16.02,15.43,14.4,12.28,11.96,11.59,11.1,10.33,10.25,10.26,10.01,9.68
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.37,-0.16,-0.18,-0.21,-0.11,-0.12,-0.56,-0.35,-0.6,0.03,0.12,0.4,0.48,0.65,0.19,0.38,0.49,0.6,0.7,0.9,0.7,0.65,0.61,0.77,0.62,0.74,0.85,1.59,1.57,1.45,1.45,1.65,1.42,1.78,1.85,1.22,1.66,1.14,1.18,1.46,1.43,1.39,1.62,1.44
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.73,-0.1,-0.16,-0.2,-0.04,-0.17,-0.59,-0.49,-0.53,0.02,0.54,0.43,0.88,0.81,0.52,0.58,0.8,0.85,1,1.27,1.1,0.57,0.62,0.79,0.82,1.38,1.56,1.55,1.59,1.53,1.71,1.36,1.67,1.71,1.55,1.21,1.37,1.3,1.23,1.43,1.36,1.33,1.37,1.25
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.84,0.98,0.96,1,1.02,1.02,1.1,1.06,1.05,1.01,0.88,1.01,0.89,0.86,0.96,0.87,0.96,0.95,1.02,1.14,1.37,1.36,1.24,1.18,1.16,1.26,1.2,1.14,1.14,1.33,1.15,1.18,1.03,1.22,1.08,0.96,1.04,0.75,0.8,0.8,0.78,0.79,0.83,0.91
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",46.94,57.04,56.42,72.91,72.28,71.8,70.63,72.16,73.77,75.58,64.1,63.97,62.34,63.44,63.7,65.21,66.19,65.01,65.07,67.67,73.6,72.15,73.12,70.31,70.74,74.72,54.71,49.42,49.38,51.58,45.05,54.32,49.58,61.02,53.79,54.34,61.31,46.57,50.5,54.33,53.41,53.84,58.81,60.97
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-32.6788,-45.1968,-46.1903,-40.3566,-39.2928,-39.7186,-45.5332,-41.2537,-46.4901,-37.5321,-33.0323,-34.9483,-32.3706,-33.0627,-35.4497,-33.1199,-35.3735,-36.7357,-38.3153,-41.6669,-48.9731,-49.6916,-44.0307,-45.2618,-44.5907,-47.2665,-39.1038,-21.6388,-22.0325,-22.341,-22.6694,-17.9296,-18.3852,-22.8514,-16.2451,-13.2633,-13.6351,-14.0467,-14.1103,-14.3523,-14.3011,-14.1968,-13.6006,-15.8076
"B Max Drawdown",-38.0701,-38.0701,-38.07,-38.0701,-38.07,-38.0701,-38.0701,-38.07,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.0701,-38.07,-38.0701,-38.0701,-38.0701,-37.4939,-32.7324,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271,-16.627,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271,-16.6271
"MD DIFF(P-B)",5.39129999999999,-7.12670000000001,-8.1203,-2.2865,-1.2228,-1.64850000000001,-7.4631,-3.1837,-8.42,0.537999999999997,5.0378,3.12179999999999,5.69949999999999,5.0074,2.6204,4.9502,2.6966,1.3344,-0.245200000000004,-3.5968,-10.903,-11.6216,-5.96060000000001,-7.1917,-6.5206,-9.7726,-6.3714,-5.0117,-5.4054,-5.7139,-6.0423,-1.3025,-1.7581,-6.2243,0.381899999999998,3.3638,2.992,2.5804,2.5168,2.2748,2.326,2.4303,3.0265,0.819499999999998
