"","1 Y 2018-01-02 to 2019-01-07","1 Y 2018-02-02 to 2019-02-07","1 Y 2018-03-05 to 2019-03-07","1 Y 2018-04-02 to 2019-04-07","1 Y 2018-05-02 to 2019-05-07","1 Y 2018-06-04 to 2019-06-07","1 Y 2018-07-02 to 2019-07-07","1 Y 2018-08-02 to 2019-08-07","1 Y 2018-09-03 to 2019-09-07","1 Y 2018-10-03 to 2019-10-07","1 Y 2018-11-02 to 2019-11-07","1 Y 2018-12-03 to 2019-12-07","1 Y 2019-01-02 to 2020-01-07","1 Y 2019-02-04 to 2020-02-07","1 Y 2019-03-05 to 2020-03-07","1 Y 2019-04-02 to 2020-04-07","1 Y 2019-05-02 to 2020-05-07","1 Y 2019-06-03 to 2020-06-07","1 Y 2019-07-02 to 2020-07-07","1 Y 2019-08-02 to 2020-08-07","1 Y 2019-09-03 to 2020-09-07","1 Y 2019-10-03 to 2020-10-07","1 Y 2019-11-04 to 2020-11-07","1 Y 2019-12-02 to 2020-12-07","1 Y 2020-01-02 to 2021-01-07","1 Y 2020-02-03 to 2021-02-07","1 Y 2020-03-02 to 2021-03-07","1 Y 2020-04-03 to 2021-04-07","1 Y 2020-05-04 to 2021-05-07","1 Y 2020-06-02 to 2021-06-07","1 Y 2020-07-02 to 2021-07-07","1 Y 2020-08-03 to 2021-08-07","1 Y 2020-09-02 to 2021-09-07","1 Y 2020-10-05 to 2021-10-07","1 Y 2020-11-02 to 2021-11-07","1 Y 2020-12-02 to 2021-12-07","1 Y 2021-01-04 to 2022-01-07","1 Y 2021-02-02 to 2022-02-07","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-04-05 to 2022-04-07","1 Y 2021-05-03 to 2022-05-07","1 Y 2021-06-02 to 2022-06-07","1 Y 2021-07-02 to 2022-07-07","1 Y 2021-08-02 to 2022-08-07","1 Y 2021-09-02 to 2022-09-07","1 Y 2021-10-04 to 2022-10-07","1 Y 2021-11-02 to 2022-11-07","1 Y 2021-12-02 to 2022-12-07","1 Y 2022-01-03 to 2023-01-07","1 Y 2022-02-02 to 2023-02-07","1 Y 2022-03-02 to 2023-03-07","1 Y 2022-04-04 to 2023-04-07","1 Y 2022-05-02 to 2023-05-07","1 Y 2022-06-02 to 2023-06-07","1 Y 2022-07-04 to 2023-07-07","1 Y 2022-08-02 to 2023-08-07","1 Y 2022-09-02 to 2023-09-07","1 Y 2022-10-03 to 2023-10-07","1 Y 2022-11-02 to 2023-11-07","1 Y 2022-12-02 to 2023-12-07","1 Y 2023-01-02 to 2024-01-07","1 Y 2023-02-02 to 2024-02-07","1 Y 2023-03-02 to 2024-03-07","1 Y 2023-04-03 to 2024-04-07","1 Y 2023-05-02 to 2024-05-07","1 Y 2023-06-02 to 2024-06-07","1 Y 2023-07-03 to 2024-07-07","1 Y 2023-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",10.464,19.553,19.581,19.963,14.054,16.282,13.776,-12.066,-8.863,20.005,25.202,22.981,25.381,31.328,17.353,-27.649,-16.295,-13.144,-2.78,11.263,18.721,5.214,3.249,16.308,19.614,14.489,20.125,57.28,50.934,45.879,48.265,39.057,57.706,49.868,47.857,30.279,31.485,24.407,14.718,24.912,16.032,0.825,-0.534,0.246,-4.298,-2.85,0.575,-2.928,-21.076,-6.906,-8.544,-13.954,-3.044,10.55,19.493,13.251,14.439,22.864,14.747,23.291,25.004,41.021,55.291,56.939,43.693,33.672,43.494,31.996
"B Annualized Returns",5.091,8.128,9.962,17.159,9.662,12.368,11.959,-1.897,-3.614,5.924,15.655,13.642,13.502,11.713,5.007,-24.608,-17.219,-14.073,-5.783,3.638,6.171,3.679,2.151,9.259,17.873,23.021,32.379,63.86,54.485,53.131,44.876,44.684,51.921,49.565,48.461,24.996,23.722,16.978,7.111,21.156,14.431,6.414,1.683,7.227,1.544,-1.635,1.781,10.36,0.216,5.022,6.202,-0.81,10.922,12.784,22.39,11.808,11.29,12.763,6.719,11.221,18.448,19.302,22.834,24.357,19.7,18.896,22.314,19.164
"AR DIFF(P-B)",5.373,11.425,9.619,2.804,4.392,3.914,1.817,-10.169,-5.249,14.081,9.547,9.339,11.879,19.615,12.346,-3.041,0.923999999999999,0.929,3.003,7.625,12.55,1.535,1.098,7.049,1.741,-8.532,-12.254,-6.58,-3.551,-7.252,3.389,-5.627,5.785,0.303000000000004,-0.603999999999999,5.283,7.763,7.429,7.607,3.756,1.601,-5.589,-2.217,-6.981,-5.842,-1.215,-1.206,-13.288,-21.292,-11.928,-14.746,-13.144,-13.966,-2.234,-2.897,1.443,3.149,10.101,8.028,12.07,6.556,21.719,32.457,32.582,23.993,14.776,21.18,12.832
"P Volatility",21.21,21.31,19.7,22.08,22.13,21.99,19.5,22.92,20.54,21.63,21.41,21.5,20.89,20.1,20.16,21.6,41.6,39.92,50,44.52,35.07,35,35.97,38.78,39.46,40.66,26.54,21.01,19.29,16.66,16.07,16.47,19.69,18.98,20.79,18.55,16.49,18,16.39,16.52,16.73,18.62,18.74,23.76,27.69,25.81,23.37,23.67,25.16,29.31,27.19,26.51,20.08,18.18,14.8,15.29,15.66,14.63,15.66,17.07,15.97,14.71,13.92,15.7,14.79,14.14,15.87,15.36
"B Volatility",15.87,14.76,14.34,14.97,14.96,14.94,13.28,14.26,12.64,11.6,11.16,11.16,11.18,11.12,10.19,10.65,31.91,31.9,33.1,34.16,33.97,33.8,34.03,35.97,36.53,36.39,17.66,18.2,17.55,16.86,16.3,16.55,16.93,16.96,14.65,15.46,14.93,12.7,14.2,15.69,15.7,16.37,17.25,16.03,15.89,16,17.18,17.5,18,16.81,15.12,15.21,15.51,14.3,12.75,13.36,13.31,11.13,10.96,11.28,12.75,12.73,11.88,11.39,11.28,11.64,12.68,11.78
"V DIFF(P-B)",5.34,6.55,5.36,7.11,7.17,7.05,6.22,8.66,7.9,10.03,10.25,10.34,9.71,8.98,9.97,10.95,9.69,8.02,16.9,10.36,1.1,1.2,1.94,2.81,2.93,4.27,8.88,2.81,1.74,-0.199999999999999,-0.23,-0.0800000000000018,2.76,2.02,6.14,3.09,1.56,5.3,2.19,0.83,1.03,2.25,1.49,7.73,11.8,9.81,6.19,6.17,7.16,12.5,12.07,11.3,4.57,3.88,2.05,1.93,2.35,3.5,4.7,5.79,3.22,1.98,2.04,4.31,3.51,2.5,3.19,3.58
"P Tracking Error",9.69,10.32,8.49,8.98,8.96,8.47,9.77,13.14,11.54,13.97,13.59,13.92,13.06,12.89,13.01,13.59,14.33,13.87,19.05,16.16,9.84,9.9,11.74,11.93,12.17,12.96,13.39,17.11,13.55,12.99,17.13,17.03,17.16,20.47,16.91,17.91,17.24,15.31,9.02,7.77,7.76,8.71,8.39,12.94,17.87,16.56,14.18,14.79,13.92,16.7,16.14,15.51,10.52,8.44,6.96,10.29,10.53,8.61,11.38,10.53,11.12,10.01,11.83,10.27,10.43,7.67,10.36,10.41
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
