"","3 Y 2018-01-02 to 2021-01-07","3 Y 2018-02-02 to 2021-02-07","3 Y 2018-03-05 to 2021-03-07","3 Y 2018-04-02 to 2021-04-07","3 Y 2018-05-02 to 2021-05-07","3 Y 2018-06-04 to 2021-06-07","3 Y 2018-07-02 to 2021-07-07","3 Y 2018-08-02 to 2021-08-07","3 Y 2018-09-03 to 2021-09-07","3 Y 2018-10-03 to 2021-10-07","3 Y 2018-11-02 to 2021-11-07","3 Y 2018-12-03 to 2021-12-07","3 Y 2019-01-02 to 2022-01-07","3 Y 2019-02-04 to 2022-02-07","3 Y 2019-03-05 to 2022-03-07","3 Y 2019-04-02 to 2022-04-07","3 Y 2019-05-02 to 2022-05-07","3 Y 2019-06-03 to 2022-06-07","3 Y 2019-07-02 to 2022-07-07","3 Y 2019-08-02 to 2022-08-07","3 Y 2019-09-03 to 2022-09-07","3 Y 2019-10-03 to 2022-10-07","3 Y 2019-11-04 to 2022-11-07","3 Y 2019-12-02 to 2022-12-07","3 Y 2020-01-02 to 2023-01-07","3 Y 2020-02-03 to 2023-02-07","3 Y 2020-03-02 to 2023-03-07","3 Y 2020-04-03 to 2023-04-07","3 Y 2020-05-04 to 2023-05-07","3 Y 2020-06-02 to 2023-06-07","3 Y 2020-07-02 to 2023-07-07","3 Y 2020-08-03 to 2023-08-07","3 Y 2020-09-02 to 2023-09-07","3 Y 2020-10-05 to 2023-10-07","3 Y 2020-11-02 to 2023-11-07","3 Y 2020-12-02 to 2023-12-07","3 Y 2021-01-04 to 2024-01-07","3 Y 2021-02-02 to 2024-02-07","3 Y 2021-03-02 to 2024-03-07","3 Y 2021-04-05 to 2024-04-07","3 Y 2021-05-03 to 2024-05-07","3 Y 2021-06-02 to 2024-06-07","3 Y 2021-07-02 to 2024-07-07","3 Y 2021-08-02 to 2024-08-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",16.635,23.803,21.81,17.364,24.865,25.463,20.136,22.874,26.819,35.212,29.881,27.207,32.05,26.07,20.194,24.934,21.55,15.396,13.254,24.621,22.504,23.77,20.277,20.233,16.676,10.761,15,19.014,16.915,16.213,16.046,13.86,17.841,14.13,16.463,25.767,26.413,25.107,26.922,21.016,20.33,26.258,26.703,19.409
"B Annualized Returns",11.943,13.347,14.641,13.534,11.61,14.264,14.085,13.074,15.074,19.763,19.605,17.115,18.465,17.131,14.791,15.503,13.004,12.082,11.564,16.681,17.302,15.134,14.713,15.343,14.056,13.557,15.59,25.733,24.869,22.668,21.711,20.877,19.715,18.973,16.242,15.328,14.25,12.538,13.685,14.724,14.701,12.785,14.821,12.958
"AR DIFF(P-B)",4.692,10.456,7.169,3.83,13.255,11.199,6.051,9.8,11.745,15.449,10.276,10.092,13.585,8.939,5.403,9.431,8.546,3.314,1.69,7.94,5.202,8.636,5.564,4.89,2.62,-2.796,-0.59,-6.719,-7.954,-6.455,-5.665,-7.017,-1.874,-4.843,0.221,10.439,12.163,12.569,13.237,6.292,5.629,13.473,11.882,6.451
"P Volatility",34.68,29.09,36.74,37.71,26.18,29.52,26.82,22.43,24.8,27.77,22.94,19.44,22.2,22.67,22.93,31.34,27.27,28.6,30.4,34.86,25.58,28.78,31.51,32,30.02,29.64,23.79,16.95,15.3,15.94,16.16,16.04,15.74,16.4,16.52,18.82,18.77,18.61,17.91,18.48,17.81,17.44,18.68,20.87
"B Volatility",22.62,22.4,22.71,22.77,22.77,22.81,22.53,22.51,22.57,22.21,22.13,22.43,22.42,22.38,22.63,22.91,22.97,23.11,23.04,23.26,23.2,23.27,23.57,23.61,23.72,23.71,17.19,16.51,16.51,16.06,15.61,15.72,15.81,15.72,14.73,14.35,14.81,14.14,13.93,13.93,13.82,13.87,14.33,13.54
"V DIFF(P-B)",12.06,6.69,14.03,14.94,3.41,6.71,4.29,-0.0800000000000018,2.23,5.56,0.810000000000002,-2.99,-0.220000000000002,0.290000000000003,0.300000000000001,8.43,4.3,5.49,7.36,11.6,2.38,5.51,7.94,8.39,6.3,5.93,6.6,0.439999999999998,-1.21,-0.119999999999999,0.550000000000001,0.319999999999999,-0.0700000000000003,0.679999999999998,1.79,4.47,3.96,4.47,3.98,4.55,3.99,3.57,4.35,7.33
"P Tracking Error",15.96,11.67,17.67,18.49,11.07,15.45,12.99,11.84,11.8,13.49,13.57,16.41,14.35,14.65,12.63,13.76,12.69,12.09,12.45,15.88,11.44,12.43,15.53,15.02,15.6,14.33,15.05,11.82,10.73,11.92,14.28,13.88,12.59,13.69,12.21,11.92,13.67,14.01,11.46,11.22,11.41,11.29,11.07,12.3
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
