"","1 Y 2019-08-06 to 2020-08-07","1 Y 2019-09-06 to 2020-09-07","1 Y 2019-10-07 to 2020-10-07","1 Y 2019-11-06 to 2020-11-07","1 Y 2019-12-06 to 2020-12-07","1 Y 2020-01-06 to 2021-01-07","1 Y 2020-02-06 to 2021-02-07","1 Y 2020-03-06 to 2021-03-07","1 Y 2020-04-07 to 2021-04-07","1 Y 2020-05-06 to 2021-05-07","1 Y 2020-06-08 to 2021-06-07","1 Y 2020-07-06 to 2021-07-07","1 Y 2020-08-06 to 2021-08-07","1 Y 2020-09-07 to 2021-09-07","1 Y 2020-10-06 to 2021-10-07","1 Y 2020-11-06 to 2021-11-07","1 Y 2020-12-07 to 2021-12-07","1 Y 2021-01-06 to 2022-01-07","1 Y 2021-02-08 to 2022-02-07","1 Y 2021-03-08 to 2022-03-07","1 Y 2021-04-06 to 2022-04-07","1 Y 2021-05-06 to 2022-05-07","1 Y 2021-06-07 to 2022-06-07","1 Y 2021-07-06 to 2022-07-07","1 Y 2021-08-06 to 2022-08-07","1 Y 2021-09-06 to 2022-09-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",8.296,13.96,27.196,23.851,37.141,35.011,33.969,100.711,115.64,116.313,99.08,75.492,73.129,85.46,77.65,86.866,56.569,50.672,40.622,22.032,27.351,17.203,3.074,6.097,16.878,10.761
"B Annualized Returns",3.025,4.474,3.341,1.068,10.822,18.192,22.708,46.097,67.804,59.533,56.336,48.697,47.083,54.168,52.232,45.614,27.831,25.734,17.364,10.915,22.25,14.662,4.899,1.17,7.409,2.879
"AR DIFF(P-B)",5.271,9.486,23.855,22.783,26.319,16.819,11.261,54.614,47.836,56.78,42.744,26.795,26.046,31.292,25.418,41.252,28.738,24.938,23.258,11.117,5.101,2.541,-1.825,4.927,9.469,7.882
"P Volatility",42.3,42.24,41.75,41.42,45.03,42.6,40.83,23.31,20.5,20.98,21.05,20.57,19.25,20.93,17.65,15.77,16.18,16.83,13.37,13.74,14.47,12.5,15.59,16.72,18.88,18.88
"B Volatility",34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",7.91,8.07,7.76,7.34,9.03,6,4.63,6.79,3.58,4.62,5.41,5.18,3.59,5.3,2.01,2.34,2.08,2.99,2.08,0.210000000000001,-0.799999999999999,-2.29,-0.440000000000001,-0.400000000000002,1.71,1.73
"P Tracking Error",12.86,14.4,16.19,14.26,14.98,12.19,11.57,12.51,12.44,15.44,12.83,12.83,8.7,12.22,7.87,10.43,11.43,11.77,11.14,5.94,5.5,5.84,6.08,5.01,6.84,6.06
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.41,0.66,1.47,1.6,1.76,1.38,0.97,4.37,3.85,3.68,3.33,2.09,2.99,2.56,3.23,3.96,2.51,2.12,2.09,1.87,0.93,0.44,-0.3,0.98,1.38,1.3
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.42,1.09,2,2.05,1.52,0.88,1.23,1.07,2.11,2.71,1.6,1.65,0.92,1.38,1.25,2.05,2.25,2.11,2.09,0.71,0.77,0.56,0.27,0.3,0.72,0.78
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.19,1.18,1.14,1.15,1.2,1.12,1.08,1.21,0.96,0.88,1.07,1.05,1.1,1.09,1.01,0.89,0.83,0.88,0.71,0.92,0.88,0.78,0.9,0.93,1.02,1.04
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",92.29,89.34,84.77,88.55,90.42,92.12,91.71,70.39,59.22,40.84,59.05,56.87,78.05,62.63,77.93,52.41,47.02,46.81,29.34,79.92,85.61,83.31,84.27,90.53,85.48,88.73
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-40.4069,-39.9842,-40.3543,-38.9431,-40.1197,-39.4355,-37.9012,-21.1116,-8.5539,-8.0119,-8.3592,-8.0131,-8.26,-7.8071,-6.6593,-6.4262,-7.1004,-8.6696,-8.5081,-12.4434,-12.3944,-11.6396,-12.9162,-16.4634,-16.0155,-16.1451
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-27.1726,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-8.294,-10.2422,-10.2422,-12.5,-14.3334,-14.3334,-14.3334,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-2.1014,-1.6787,-2.0488,-0.637599999999999,-1.8142,-1.13,-0.294400000000003,6.061,-1.2068,-1.1101,-1.4574,-1.1113,-1.3582,-0.9053,-0.3218,-0.0886999999999993,1.1936,1.5726,1.7341,0.0565999999999995,1.939,2.6938,1.4172,0.729500000000002,1.1774,1.0478
