"","1 Y 2019-11-06 to 2020-11-07","1 Y 2019-12-06 to 2020-12-07","1 Y 2020-01-06 to 2021-01-07","1 Y 2020-02-06 to 2021-02-07","1 Y 2020-03-06 to 2021-03-07","1 Y 2020-04-07 to 2021-04-07","1 Y 2020-05-06 to 2021-05-07","1 Y 2020-06-08 to 2021-06-07","1 Y 2020-07-06 to 2021-07-07","1 Y 2020-08-06 to 2021-08-07","1 Y 2020-09-07 to 2021-09-07","1 Y 2020-10-06 to 2021-10-07","1 Y 2020-11-06 to 2021-11-07","1 Y 2020-12-07 to 2021-12-07","1 Y 2021-01-06 to 2022-01-07","1 Y 2021-02-08 to 2022-02-07","1 Y 2021-03-08 to 2022-03-07","1 Y 2021-04-06 to 2022-04-07","1 Y 2021-05-06 to 2022-05-07","1 Y 2021-06-07 to 2022-06-07","1 Y 2021-07-06 to 2022-07-07","1 Y 2021-08-06 to 2022-08-07","1 Y 2021-09-06 to 2022-09-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",20.349,38.846,36.804,36.921,97.96,118.761,107.1,88.353,75.082,78.795,83.117,85.256,83.271,50.299,42.802,40.947,23.658,26.74,20.33,4.265,8.426,18.037,10.656
"B Annualized Returns",1.068,10.822,18.192,22.708,46.097,67.804,59.533,56.336,48.697,47.083,54.168,52.232,45.614,27.831,25.734,17.364,10.915,22.25,14.662,4.899,1.17,7.409,2.879
"AR DIFF(P-B)",19.281,28.024,18.612,14.213,51.863,50.957,47.567,32.017,26.385,31.712,28.949,33.024,37.657,22.468,17.068,23.583,12.743,4.49,5.668,-0.634,7.256,10.628,7.777
"P Volatility",41.04,44.22,42.56,41.27,23.8,20.57,19.42,18.95,18.94,20.26,20.88,20.38,16.24,14.87,14.35,13.03,13.95,14.58,13.31,15.06,17.19,18.13,18.71
"B Volatility",34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",6.96,8.22,5.96,5.07,7.28,3.65,3.06,3.31,3.55,4.6,5.25,4.74,2.81,0.77,0.51,1.74,0.42,-0.69,-1.48,-0.970000000000001,0.0700000000000003,0.959999999999997,1.56
"P Tracking Error",15.63,15.52,14.09,11.89,13.36,12.58,12.66,11.52,10.22,10.03,12.52,12.06,10.87,11.11,10.27,10.8,5.17,4.97,4.49,5.93,6.28,6.8,5.75
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.23,1.81,1.32,1.2,3.88,4.05,3.76,2.78,2.58,3.16,2.31,2.74,3.46,2.02,1.66,2.18,2.46,0.9,1.26,-0.11,1.16,1.56,1.35
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
