"","2 Y 2019-05-07 to 2021-05-08","2 Y 2019-06-07 to 2021-06-08","2 Y 2019-07-08 to 2021-07-08","2 Y 2019-08-07 to 2021-08-08","2 Y 2019-09-09 to 2021-09-08","2 Y 2019-10-07 to 2021-10-08","2 Y 2019-11-07 to 2021-11-08","2 Y 2019-12-09 to 2021-12-08","2 Y 2020-01-07 to 2022-01-08","2 Y 2020-02-07 to 2022-02-08","2 Y 2020-03-09 to 2022-03-08","2 Y 2020-04-07 to 2022-04-08","2 Y 2020-05-07 to 2022-05-08","2 Y 2020-06-08 to 2022-06-08","2 Y 2020-07-07 to 2022-07-08","2 Y 2020-08-07 to 2022-08-08","2 Y 2020-09-07 to 2022-09-08"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",54.557,35.942,32.583,50.231,58.587,49.754,47.388,46.206,38.668,35.491,51.254,75.862,61.127,45.512,39.373,40.691,54.097
"B Annualized Returns",13.512,15.499,17.73,23.068,25.798,26.023,22.365,20.874,21.905,20.052,23.699,42.485,35.895,27.451,22.963,25.093,25.799
"AR DIFF(P-B)",41.045,20.443,14.853,27.163,32.789,23.731,25.023,25.332,16.763,15.439,27.555,33.377,25.232,18.061,16.41,15.598,28.298
"P Volatility",34.73,31.59,30.47,34.79,33.37,30.88,29.51,29.46,28.5,28.8,20.76,19.15,18.28,22.16,19.92,19.71,22.97
"B Volatility",26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",8.17,4.95,4.49,8.9,7.2,4.73,3.35,2.96,2.04,2.66,3.94,3.14,2.35,5.94,3.33,2.52,5.89
"P Tracking Error",17.02,12.29,12.07,16.63,16.25,12.81,12.57,11.9,11.34,10.31,11.49,10.77,9.5,12,9.25,8.18,11.25
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",2.41,1.66,1.23,1.63,2.02,1.85,1.99,2.13,1.48,1.5,2.4,3.1,2.66,1.51,1.77,1.91,2.52
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",2.41,1.27,1.12,1.65,1.98,1.22,1.53,1.55,1.19,1.37,1.56,1.65,1.58,0.81,1.03,0.86,1.45
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.15,1.1,1.08,1.2,1.12,1.08,1.02,1.02,0.99,1.03,1.03,0.99,0.98,1.16,1.07,1.04,1.19
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",76.23,84.84,84.03,78.32,76.07,82.43,81.02,82.94,83.43,86.66,67.94,66.89,71.72,70.74,77.73,82.13,76.88
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-38.4531,-38.1148,-38.7475,-40.4144,-38.5077,-38.9318,-36.9932,-37.3837,-37.1071,-37.2105,-21.3426,-10.9726,-11.4492,-14.7234,-19.6871,-18.0996,-18.0309
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-27.1726,-14.3334,-14.3334,-14.3334,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-0.147599999999997,0.1907,-0.442,-2.1089,-0.202199999999998,-0.626300000000001,1.3123,0.921800000000005,1.1984,0.396299999999997,5.83,3.3608,2.8842,-0.390000000000001,-2.4942,-0.906699999999997,-0.837999999999997
