"","2 Y 2019-11-06 to 2021-11-07","2 Y 2019-12-06 to 2021-12-07","2 Y 2020-01-06 to 2022-01-07","2 Y 2020-02-06 to 2022-02-07","2 Y 2020-03-06 to 2022-03-07","2 Y 2020-04-07 to 2022-04-07","2 Y 2020-05-06 to 2022-05-07","2 Y 2020-06-08 to 2022-06-07","2 Y 2020-07-06 to 2022-07-07","2 Y 2020-08-06 to 2022-08-07","2 Y 2020-09-07 to 2022-09-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",48.237,45.973,42.666,43.296,57.086,70.037,60.549,40.235,34.148,45.017,48.77
"B Annualized Returns",22.583,19.977,21.905,20.667,26.472,43.196,35.28,28.043,22.652,25.446,25.904
"AR DIFF(P-B)",25.654,25.996,20.761,22.629,30.614,26.841,25.269,12.192,11.496,19.571,22.866
"P Volatility",33.13,32.76,31.39,30.74,20.86,18.37,17.5,19.21,19.45,20.18,22.24
"B Volatility",26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",6.97,6.26,4.93,4.6,4.04,2.36,1.57,2.99,2.86,2.99,5.16
"P Tracking Error",15.56,14.84,13.72,13.19,11.43,10.29,9.78,9.73,9.03,8.5,10.74
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.65,1.75,1.51,1.72,2.68,2.61,2.58,1.25,1.27,2.3,2.13
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.54,1.49,1.32,1.84,1.85,1.48,1.67,0.79,0.83,1.03,1.27
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.12,1.11,1.07,1.06,1.04,0.95,0.91,1.02,1.04,1.07,1.15
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",77.9,79.29,80.35,81.02,68.62,67.29,67.92,73.16,77.55,81.76,76.98
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-39.0774,-39.6196,-39.4887,-38.7497,-22.1255,-11.5317,-11.7756,-13.9767,-18.4238,-16.3471,-16.419
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-37.6068,-27.1726,-14.3334,-14.3334,-14.3334,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-0.771899999999995,-1.3141,-1.1832,-1.1429,5.0471,2.8017,2.5578,0.3567,-1.2309,0.845800000000001,0.773900000000001
