"","1 Y 2017-02-14 to 2018-02-15","1 Y 2017-03-14 to 2018-03-15","1 Y 2017-04-17 to 2018-04-15","1 Y 2017-05-15 to 2018-05-15","1 Y 2017-06-14 to 2018-06-15","1 Y 2017-07-14 to 2018-07-15","1 Y 2017-08-14 to 2018-08-15","1 Y 2017-09-14 to 2018-09-15","1 Y 2017-10-16 to 2018-10-15","1 Y 2017-11-14 to 2018-11-15","1 Y 2017-12-14 to 2018-12-15","1 Y 2018-01-15 to 2019-01-15","1 Y 2018-02-14 to 2019-02-15","1 Y 2018-03-14 to 2019-03-15","1 Y 2018-04-16 to 2019-04-15","1 Y 2018-05-14 to 2019-05-15","1 Y 2018-06-14 to 2019-06-15","1 Y 2018-07-16 to 2019-07-15","1 Y 2018-08-14 to 2019-08-15","1 Y 2018-09-14 to 2019-09-15","1 Y 2018-10-15 to 2019-10-15","1 Y 2018-11-14 to 2019-11-15","1 Y 2018-12-14 to 2019-12-15","1 Y 2019-01-14 to 2020-01-15","1 Y 2019-02-14 to 2020-02-15","1 Y 2019-03-14 to 2020-03-15","1 Y 2019-04-15 to 2020-04-15","1 Y 2019-05-14 to 2020-05-15","1 Y 2019-06-14 to 2020-06-15","1 Y 2019-07-15 to 2020-07-15","1 Y 2019-08-14 to 2020-08-15","1 Y 2019-09-16 to 2020-09-15","1 Y 2019-10-14 to 2020-10-15","1 Y 2019-11-14 to 2020-11-15","1 Y 2019-12-16 to 2020-12-15","1 Y 2020-01-14 to 2021-01-15","1 Y 2020-02-14 to 2021-02-15","1 Y 2020-03-16 to 2021-03-15","1 Y 2020-04-15 to 2021-04-15","1 Y 2020-05-14 to 2021-05-15","1 Y 2020-06-15 to 2021-06-15","1 Y 2020-07-14 to 2021-07-15","1 Y 2020-08-14 to 2021-08-15","1 Y 2020-09-14 to 2021-09-15","1 Y 2020-10-14 to 2021-10-15","1 Y 2020-11-14 to 2021-11-15","1 Y 2020-12-14 to 2021-12-15","1 Y 2021-01-14 to 2022-01-15","1 Y 2021-02-15 to 2022-02-15","1 Y 2021-03-15 to 2022-03-15","1 Y 2021-04-15 to 2022-04-15","1 Y 2021-05-14 to 2022-05-15","1 Y 2021-06-14 to 2022-06-15","1 Y 2021-07-14 to 2022-07-15","1 Y 2021-08-16 to 2022-08-15","1 Y 2021-09-14 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",28.801,21.451,21.702,19.731,19.533,13.646,14.325,9.138,2.049,1.169,0.742,-0.681,-2.764,7.945,5.808,0.551,10.212,7.199,-2.011,-0.086,8.719,13.638,9.475,17.565,23.514,-8.889,-10.735,-6.327,-2.951,-1.598,18.616,12.087,6.356,7.931,18.874,22.941,34.495,89.184,87.872,120.521,122.525,100.89,81.125,79.118,94.779,65.964,32.848,28.993,15.057,9.255,14.885,1.915,-7.514,-3.12,2.598,-0.879
"B Annualized Returns",20.108,15.018,14.749,13.23,11.894,9.846,13.266,10.014,-1.584,1.963,3.304,-2.022,0.073,7.236,7.85,1.855,8.008,5.044,-5.45,-4.847,6.224,10.191,7.743,12.885,12.552,-16.266,-25.765,-17.557,-15.035,-8.698,2.646,3.809,4.419,6.923,13.141,18.662,26.601,65.75,60.355,63.423,62.214,51.117,46.935,53.015,54.259,41.647,29.133,25.679,10.54,13.177,22.109,6.499,-0.562,0.909,7.389,4.721
"AR DIFF(P-B)",8.693,6.433,6.953,6.501,7.639,3.8,1.059,-0.875999999999999,3.633,-0.794,-2.562,1.341,-2.837,0.709000000000001,-2.042,-1.304,2.204,2.155,3.439,4.761,2.495,3.447,1.732,4.68,10.962,7.377,15.03,11.23,12.084,7.1,15.97,8.278,1.937,1.008,5.733,4.279,7.894,23.434,27.517,57.098,60.311,49.773,34.19,26.103,40.52,24.317,3.715,3.314,4.517,-3.922,-7.224,-4.584,-6.952,-4.029,-4.791,-5.6
"P Volatility",9.13,11.68,10.85,12.21,12.99,11.81,13.46,14.38,17.65,16.41,15.15,16.41,15.7,15.43,15.31,14.65,15.2,14.44,14.15,11.24,12.03,12.09,12.75,11.9,12.35,12.76,28.78,34.92,34.15,34.29,35.92,36.08,37.24,35.7,37.21,37.94,38.6,19.49,15.47,14.74,15.16,18.84,20.12,14.77,19.22,12.65,9.92,10.79,9.59,13.12,13.41,12.79,12.76,14.84,16.96,18.08
"B Volatility",9.88,12.06,12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",-0.75,-0.380000000000001,-1.87,-0.94,0.00999999999999979,-0.0599999999999987,-0.129999999999999,1.05,2.98,0.74,-0.929999999999998,0.949999999999999,1.16,1.26,0.610000000000001,-0.0800000000000001,0.67,1.63,0.140000000000001,-1,0.209999999999999,0.44,1.03,0.31,0.77,1.68,-0.579999999999998,2.45,1.68,0.729999999999997,1.53,1.91,3.25,1.62,1.21,1.34,2.4,2.97,-1.45,-1.62,-0.48,3.45,4.46,-0.860000000000001,3.58,-0.779999999999999,-4.18,-3.05,-1.7,-0.41,-1.86,-2,-3.27,-2.28,-0.210000000000001,0.93
"P Tracking Error",6.4,6.16,6.93,7.38,7.28,7.26,6.99,7.62,7.88,7.67,7.03,5.76,6.06,5.11,5.21,5.42,7.39,6.62,6.04,5.51,5.42,5.06,6.37,5.41,4.94,5.83,5.87,7.34,8.01,9.53,9.86,8.45,8.99,8.54,9.2,8.72,8.29,8.08,9.01,14.72,13.29,13.91,15.29,9.43,13.5,9.29,9.3,9.48,9.58,6.74,6.71,6.97,5.64,4.92,4.92,5.33
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.36,1.04,1,0.88,1.05,0.52,0.15,-0.11,0.46,-0.1,-0.36,0.23,-0.47,0.14,-0.39,-0.24,0.3,0.33,0.57,0.86,0.46,0.68,0.27,0.87,2.22,1.27,2.56,1.53,1.51,0.75,1.62,0.98,0.22,0.12,0.62,0.49,0.95,2.9,3.05,3.88,4.54,3.58,2.24,2.77,3,2.62,0.4,0.35,0.47,-0.58,-1.08,-0.66,-1.23,-0.82,-0.97,-1.05
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
