"","2 Y 2016-08-17 to 2018-08-18","2 Y 2016-09-19 to 2018-09-18","2 Y 2016-10-17 to 2018-10-18","2 Y 2016-11-17 to 2018-11-18","2 Y 2016-12-19 to 2018-12-18","2 Y 2017-01-17 to 2019-01-18","2 Y 2017-02-17 to 2019-02-18","2 Y 2017-03-17 to 2019-03-18","2 Y 2017-04-17 to 2019-04-18","2 Y 2017-05-17 to 2019-05-18","2 Y 2017-06-19 to 2019-06-18","2 Y 2017-07-17 to 2019-07-18","2 Y 2017-08-17 to 2019-08-18","2 Y 2017-09-18 to 2019-09-18","2 Y 2017-10-17 to 2019-10-18","2 Y 2017-11-17 to 2019-11-18","2 Y 2017-12-18 to 2019-12-18","2 Y 2018-01-17 to 2020-01-18","2 Y 2018-02-19 to 2020-02-18","2 Y 2018-03-19 to 2020-03-18","2 Y 2018-04-17 to 2020-04-18","2 Y 2018-05-17 to 2020-05-18","2 Y 2018-06-18 to 2020-06-18","2 Y 2018-07-17 to 2020-07-18","2 Y 2018-08-17 to 2020-08-18","2 Y 2018-09-17 to 2020-09-18","2 Y 2018-10-17 to 2020-10-18","2 Y 2018-11-19 to 2020-11-18","2 Y 2018-12-17 to 2020-12-18","2 Y 2019-01-17 to 2021-01-18","2 Y 2019-02-18 to 2021-02-18","2 Y 2019-03-18 to 2021-03-18","2 Y 2019-04-18 to 2021-04-18","2 Y 2019-05-17 to 2021-05-18","2 Y 2019-06-17 to 2021-06-18","2 Y 2019-07-17 to 2021-07-18","2 Y 2019-08-19 to 2021-08-18","2 Y 2019-09-17 to 2021-09-18","2 Y 2019-10-17 to 2021-10-18","2 Y 2019-11-18 to 2021-11-18","2 Y 2019-12-17 to 2021-12-18","2 Y 2020-01-17 to 2022-01-18","2 Y 2020-02-17 to 2022-02-18","2 Y 2020-03-17 to 2022-03-18","2 Y 2020-04-17 to 2022-04-18","2 Y 2020-05-18 to 2022-05-18","2 Y 2020-06-17 to 2022-06-18","2 Y 2020-07-17 to 2022-07-18","2 Y 2020-08-17 to 2022-08-18","2 Y 2020-09-17 to 2022-09-18"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",18.316,13.454,7.447,18.905,17.315,13.18,10.935,13.54,13.834,10.28,9.506,8.472,6.687,3.624,6.472,3.99,3.901,5.35,8.642,-5.004,-5.317,-4.813,-1.08,5.549,4.313,4.633,10.248,10.979,15.921,36.258,24.862,19.209,19.577,30.151,45.299,34.556,31.191,43.888,36.826,29.769,30.439,32.99,31.368,53.636,51.14,56.865,47.876,41.799,44.173,34.835
"B Annualized Returns",14.725,13.66,10.991,14.543,15.797,13.61,9.102,10.695,11.927,7.133,8.564,7.261,3.569,1.723,4.792,5.454,6.116,5.071,6.262,-6.816,-8.635,-8.192,-5.046,-1.928,-1.963,0.363,5.813,8.3,11.296,14.944,19.454,13.085,12.131,12.826,16.421,17.218,23.007,27.977,25.971,23.556,19.964,22.858,20.573,37.71,38.871,36.388,25.13,21.447,27.003,25.851
"AR DIFF(P-B)",3.591,-0.206,-3.544,4.362,1.518,-0.43,1.833,2.845,1.907,3.147,0.942,1.211,3.118,1.901,1.68,-1.464,-2.215,0.279,2.38,1.812,3.318,3.379,3.966,7.477,6.276,4.27,4.435,2.679,4.625,21.314,5.408,6.124,7.446,17.325,28.878,17.338,8.184,15.911,10.855,6.213,10.475,10.132,10.795,15.926,12.269,20.477,22.746,20.352,17.17,8.984
"P Volatility",12.59,13.6,13.9,13.55,13.28,12.69,13.03,14.56,14.14,13.52,13.61,12.34,14.32,15.2,13.33,14.05,13,14.72,13.79,15.37,21.11,26.94,28.04,26.66,25.9,25.92,25.62,23.92,28.43,27.59,27.22,26.62,27.48,29.76,29.21,25.53,29.74,31.62,29.17,28.46,28.31,28.05,28.54,19.27,14.09,18.78,20.27,18.98,19.87,18.88
"B Volatility",12.54,12.33,13.64,13.68,13.64,13.11,12.99,12.9,13.37,13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",0.0500000000000007,1.27,0.26,-0.129999999999999,-0.360000000000001,-0.42,0.0399999999999991,1.66,0.770000000000001,0.19,0.32,-0.41,0.66,1.57,0.00999999999999979,0.550000000000001,-0.470000000000001,1.52,1.16,2.61,-1.68,2.52,3.64,2,0.759999999999998,1.21,1.21,-0.419999999999998,2.89,1.62,1.24,0.220000000000002,0.91,3.2,2.57,-0.449999999999999,3.85,5.45,3.02,2.3,1.81,1.59,2.4,2.45,-1.92,2.85,4.05,2.39,2.68,1.8
"P Tracking Error",6.62,8.19,6.32,6.68,6.2,5.63,5.73,7.84,6.22,6.26,6.24,5.37,5.71,7.11,6.12,6.09,5.97,6.84,6.32,7.58,6.64,8.27,9.08,9.24,7.79,7.81,6.15,7.23,6.78,11.67,7.24,8.48,8.18,9.53,13.29,10.73,9.63,10.32,9.56,9.49,12.2,11.05,9.92,10.48,8.12,12.07,12.61,9.09,9.35,8.78
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
