"","2 Y 2017-05-16 to 2019-05-17","2 Y 2017-06-16 to 2019-06-17","2 Y 2017-07-17 to 2019-07-17","2 Y 2017-08-16 to 2019-08-17","2 Y 2017-09-18 to 2019-09-17","2 Y 2017-10-16 to 2019-10-17","2 Y 2017-11-16 to 2019-11-17","2 Y 2017-12-18 to 2019-12-17","2 Y 2018-01-16 to 2020-01-17","2 Y 2018-02-16 to 2020-02-17","2 Y 2018-03-16 to 2020-03-17","2 Y 2018-04-16 to 2020-04-17","2 Y 2018-05-16 to 2020-05-17","2 Y 2018-06-18 to 2020-06-17","2 Y 2018-07-16 to 2020-07-17","2 Y 2018-08-16 to 2020-08-17","2 Y 2018-09-17 to 2020-09-17","2 Y 2018-10-16 to 2020-10-17","2 Y 2018-11-16 to 2020-11-17","2 Y 2018-12-17 to 2020-12-17","2 Y 2019-01-16 to 2021-01-17","2 Y 2019-02-18 to 2021-02-17","2 Y 2019-03-18 to 2021-03-17","2 Y 2019-04-16 to 2021-04-17","2 Y 2019-05-16 to 2021-05-17","2 Y 2019-06-17 to 2021-06-17","2 Y 2019-07-16 to 2021-07-17","2 Y 2019-08-16 to 2021-08-17","2 Y 2019-09-16 to 2021-09-17","2 Y 2019-10-16 to 2021-10-17","2 Y 2019-11-18 to 2021-11-17","2 Y 2019-12-16 to 2021-12-17","2 Y 2020-01-16 to 2022-01-17","2 Y 2020-02-17 to 2022-02-17","2 Y 2020-03-16 to 2022-03-17","2 Y 2020-04-16 to 2022-04-17","2 Y 2020-05-18 to 2022-05-17","2 Y 2020-06-16 to 2022-06-17","2 Y 2020-07-16 to 2022-07-17","2 Y 2020-08-17 to 2022-08-17","2 Y 2020-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",9.042,11.08,8.727,4.367,3.379,6.815,5.93,4.875,5.945,8.696,-4.176,-5.041,-4.862,-0.233,0.593,-0.431,3.216,6.124,9.376,13.52,18.48,29.442,19.329,19.421,21.561,23.183,26.648,45.863,48.825,36.992,38.374,30.895,29.708,29.684,61.611,68.287,60.112,49.377,51.583,50.072,38.771
"B Annualized Returns",7.156,9.772,7.18,3.581,2.61,4.214,5.907,5.639,5.492,6.971,-5.756,-8.635,-8.381,-4.961,-1.928,-0.913,0.262,4.036,7.719,11.265,14.98,19.804,13.898,12.131,15.459,16.848,17.293,22.849,27.977,26.696,23.877,19.964,22.079,20.333,36.093,40.504,34.691,24.97,22.898,26.586,25.372
"AR DIFF(P-B)",1.886,1.308,1.547,0.786,0.769,2.601,0.0229999999999997,-0.764,0.453,1.725,1.58,3.594,3.519,4.728,2.521,0.482,2.954,2.088,1.657,2.255,3.5,9.638,5.431,7.29,6.102,6.335,9.355,23.014,20.848,10.296,14.497,10.931,7.629,9.351,25.518,27.783,25.421,24.407,28.685,23.486,13.399
"P Volatility",13.5,13.95,13.68,13.95,14.03,13.25,14.04,13.74,13.67,13.26,13.49,22.98,27.53,26.56,28.29,28.75,27.22,27.68,27.75,29.65,27.64,28.96,27.34,26.61,25.35,25.3,25.84,28.99,29.41,27.26,26.9,27.54,26.26,27.01,20.51,19.58,18.07,20.37,21.24,21.21,18.41
"B Volatility",13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",0.17,0.66,0.93,0.289999999999999,0.399999999999999,-0.0700000000000003,0.539999999999999,0.27,0.470000000000001,0.629999999999999,0.73,0.190000000000001,3.11,2.16,3.63,3.61,2.51,3.27,3.41,4.11,1.67,2.98,0.940000000000001,0.0399999999999991,-1.21,-1.34,-0.140000000000001,3.1,3.24,1.11,0.739999999999998,1.04,-0.199999999999999,0.870000000000001,3.69,3.57,2.14,4.15,4.65,4.02,1.33
"P Tracking Error",6.68,6.43,6.77,5.33,5.84,5.36,5.94,5.87,6.19,5.68,4.82,5.74,7.9,8.29,8.65,8.99,7.84,8.05,7.43,7.84,7.26,7.6,6.53,8.85,9.53,9.18,8.69,12.48,11.54,9.07,9.03,9.04,8.55,8.88,12.82,12.74,11.34,12.13,12.18,11.18,8.67
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.28,0.2,0.23,0.15,0.13,0.49,0,-0.13,0.07,0.3,0.33,0.63,0.45,0.57,0.29,0.05,0.38,0.26,0.22,0.29,0.48,1.27,0.83,0.82,0.64,0.69,1.08,1.84,1.81,1.14,1.61,1.21,0.89,1.05,1.99,2.18,2.24,2.01,2.36,2.1,1.55
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.23,0.17,0.23,-0.06,0.19,0.08,0.14,-0.03,0.12,0.16,0.01,-0.02,0.49,0.49,0.29,0.1,0.41,0.13,0.11,0.13,0.37,0.38,0.28,0.54,0.53,0.54,0.73,1.55,1.4,0.73,0.94,0.93,0.75,0.96,1.81,1.82,1.67,1.54,1.65,1.45,1.09
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.89,0.93,0.94,0.95,0.94,0.91,0.94,0.93,0.93,0.95,0.99,0.98,1.08,1.03,1.1,1.09,1.06,1.09,1.1,1.13,1.03,1.08,1.01,0.95,0.89,0.89,0.94,1.01,1.03,0.98,0.97,0.98,0.94,0.98,0.95,0.93,0.89,1.01,1.05,1.05,0.95
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",75.64,78.15,74.72,85,82.22,83.62,81.54,81.43,79.04,80.99,86.65,93.52,91.94,89.9,90.94,90.4,91.59,91.78,93.35,93.93,92.83,93.29,94.02,88.71,86.56,87.59,88.54,80.6,83.96,88.43,88.29,88.76,89.27,88.72,59.19,55.96,59.7,62.85,65.69,71.07,76.95
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-14.6934,-14.9364,-15.4258,-14.9744,-15.2231,-15.0178,-14.6816,-14.6767,-15.3559,-15.3011,-24.0058,-36.5551,-37.4298,-35.7518,-37.699,-37.7295,-36.5886,-37.882,-38.8351,-38.6517,-36.8151,-38.1693,-36.6213,-34.9808,-33.338,-33.5981,-34.9988,-35.0621,-35.766,-34.9173,-34.8172,-35.5736,-34.3182,-35.5541,-14.5396,-13.1384,-12.3739,-16.2134,-16.7593,-17.9046,-18.3375
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-25.3341,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-14.3334,-14.3334,-16.6901,-17.1929,-17.1929,-17.1929
