"","2 Y 2017-08-16 to 2019-08-17","2 Y 2017-09-18 to 2019-09-17","2 Y 2017-10-16 to 2019-10-17","2 Y 2017-11-16 to 2019-11-17","2 Y 2017-12-18 to 2019-12-17","2 Y 2018-01-16 to 2020-01-17","2 Y 2018-02-16 to 2020-02-17","2 Y 2018-03-16 to 2020-03-17","2 Y 2018-04-16 to 2020-04-17","2 Y 2018-05-16 to 2020-05-17","2 Y 2018-06-18 to 2020-06-17","2 Y 2018-07-16 to 2020-07-17","2 Y 2018-08-16 to 2020-08-17","2 Y 2018-09-17 to 2020-09-17","2 Y 2018-10-16 to 2020-10-17","2 Y 2018-11-16 to 2020-11-17","2 Y 2018-12-17 to 2020-12-17","2 Y 2019-01-16 to 2021-01-17","2 Y 2019-02-18 to 2021-02-17","2 Y 2019-03-18 to 2021-03-17","2 Y 2019-04-16 to 2021-04-17","2 Y 2019-05-16 to 2021-05-17","2 Y 2019-06-17 to 2021-06-17","2 Y 2019-07-16 to 2021-07-17","2 Y 2019-08-16 to 2021-08-17","2 Y 2019-09-16 to 2021-09-17","2 Y 2019-10-16 to 2021-10-17","2 Y 2019-11-18 to 2021-11-17","2 Y 2019-12-16 to 2021-12-17","2 Y 2020-01-16 to 2022-01-17","2 Y 2020-02-17 to 2022-02-17","2 Y 2020-03-16 to 2022-03-17","2 Y 2020-04-16 to 2022-04-17","2 Y 2020-05-18 to 2022-05-17","2 Y 2020-06-16 to 2022-06-17","2 Y 2020-07-16 to 2022-07-17","2 Y 2020-08-17 to 2022-08-17","2 Y 2020-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",6.499,3.595,8.127,7.282,6.157,4.101,7.884,-5.193,-4.623,-7.746,-2.36,1.955,-2.318,-1.436,5.674,8.172,13.471,19.266,23.983,18.298,19.826,32.242,27.496,28.573,26.895,32.171,32.447,31.179,22.888,32.758,25.131,62.987,68.803,60.154,47.281,53.842,37.02,48.189
"B Annualized Returns",3.581,2.61,4.214,5.907,5.639,5.492,6.971,-5.756,-8.635,-8.381,-4.961,-1.928,-0.913,0.262,4.036,7.719,11.265,14.98,19.804,13.898,12.131,15.459,16.848,17.293,22.849,27.977,26.696,23.877,19.964,22.079,20.333,36.093,40.504,34.691,24.97,22.898,26.586,25.372
"AR DIFF(P-B)",2.918,0.985,3.913,1.375,0.518,-1.391,0.913,0.563000000000001,4.012,0.635,2.601,3.883,-1.405,-1.698,1.638,0.453,2.206,4.286,4.179,4.4,7.695,16.783,10.648,11.28,4.046,4.194,5.751,7.302,2.924,10.679,4.798,26.894,28.299,25.463,22.311,30.944,10.434,22.817
"P Volatility",15.28,15.2,14.51,14.23,13.98,13.48,12.95,13.55,22.17,27.6,26.11,27.99,27.16,26.39,27.82,27.58,30.14,28.44,28.61,26.77,27.48,28.1,26.72,25.77,25.18,26.45,26.52,26.48,26.15,27.03,25.51,20.42,19.86,18.11,20.37,20.92,19,20.77
"B Volatility",13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",1.62,1.57,1.19,0.73,0.51,0.280000000000001,0.319999999999999,0.790000000000001,-0.619999999999997,3.18,1.71,3.33,2.02,1.68,3.41,3.24,4.6,2.47,2.63,0.370000000000001,0.91,1.54,0.0799999999999983,-0.210000000000001,-0.710000000000001,0.279999999999998,0.370000000000001,0.32,-0.350000000000001,0.57,-0.629999999999999,3.6,3.85,2.18,4.15,4.33,1.81,3.69
"P Tracking Error",6.01,6.97,6.58,6.1,5.93,5.06,5.42,5.31,5.76,7.46,7.37,8.45,8.31,7.96,7.66,8.18,8.24,7.79,7.59,7.54,8.69,9.7,9.31,10,8.82,8.39,8.32,7.68,8.66,8.59,8.19,13.29,12.75,11.71,12.32,12.32,8.4,10.77
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
