"","2 Y 2018-05-15 to 2020-05-16","2 Y 2018-06-15 to 2020-06-16","2 Y 2018-07-16 to 2020-07-16","2 Y 2018-08-16 to 2020-08-16","2 Y 2018-09-17 to 2020-09-16","2 Y 2018-10-15 to 2020-10-16","2 Y 2018-11-15 to 2020-11-16","2 Y 2018-12-17 to 2020-12-16","2 Y 2019-01-15 to 2021-01-16","2 Y 2019-02-15 to 2021-02-16","2 Y 2019-03-15 to 2021-03-16","2 Y 2019-04-15 to 2021-04-16","2 Y 2019-05-15 to 2021-05-16","2 Y 2019-06-17 to 2021-06-16","2 Y 2019-07-15 to 2021-07-16","2 Y 2019-08-16 to 2021-08-16","2 Y 2019-09-16 to 2021-09-16","2 Y 2019-10-15 to 2021-10-16","2 Y 2019-11-15 to 2021-11-16","2 Y 2019-12-16 to 2021-12-16","2 Y 2020-01-15 to 2022-01-16","2 Y 2020-02-17 to 2022-02-16","2 Y 2020-03-16 to 2022-03-16","2 Y 2020-04-15 to 2022-04-16","2 Y 2020-05-15 to 2022-05-16","2 Y 2020-06-15 to 2022-06-16","2 Y 2020-07-15 to 2022-07-16","2 Y 2020-08-17 to 2022-08-16","2 Y 2020-09-15 to 2022-09-16"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-7.223,-2.736,-0.557,-1.475,2.246,6.522,8.902,12.523,17.293,25.818,17.902,18.907,22.26,23.742,26.284,27.348,31.148,34.693,31.065,24.524,24.51,26.713,45.399,42.257,36.001,24.415,27.044,25.257,28.381
"B Annualized Returns",-8.582,-5.383,-2.027,-0.913,-0.096,4.036,8.372,10.798,14.975,19.829,13.933,11.464,15.91,17.258,17.293,22.369,26.514,26.881,24.23,20.474,22.115,20.455,34.843,41.06,34.641,26.837,23.499,26.092,25.782
"AR DIFF(P-B)",1.359,2.647,1.47,-0.562,2.342,2.486,0.529999999999999,1.725,2.318,5.989,3.969,7.443,6.35,6.484,8.991,4.979,4.634,7.812,6.835,4.05,2.395,6.258,10.556,1.197,1.36,-2.422,3.545,-0.834999999999997,2.599
"P Volatility",26.1,26.48,26.19,26.68,25.82,26.22,26.81,28.25,28.76,28.93,28.2,28.18,27.94,27.84,26.75,27.72,28.39,29.54,28.3,26.52,26.87,25.97,17.51,14.18,14.55,15.89,16.72,17.29,17.14
"B Volatility",24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",1.68,2.08,1.53,1.54,1.11,1.81,2.47,2.71,2.79,2.95,1.8,1.61,1.38,1.2,0.77,1.83,2.22,3.39,2.14,0.0199999999999996,0.41,-0.170000000000002,0.690000000000001,-1.83,-1.38,-0.329999999999998,0.129999999999999,0.0999999999999979,0.0600000000000023
"P Tracking Error",6.51,6.85,7.82,7.03,7.31,8.29,7.12,8.02,7.91,8.18,7.39,9.08,8.4,9.14,8.65,8.56,8.78,9.11,9.08,9.16,9.34,9.58,9.07,7.2,7.16,7.8,7.39,7.41,7.01
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.21,0.39,0.19,-0.08,0.32,0.3,0.07,0.22,0.29,0.73,0.54,0.82,0.76,0.71,1.04,0.58,0.53,0.86,0.75,0.44,0.26,0.65,1.16,0.17,0.19,-0.31,0.48,-0.11,0.37
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.26,0.33,0.2,-0.03,0.28,0.1,0.1,0.06,0.18,0.25,0.09,0.59,0.43,0.54,0.69,0.36,0.22,0.36,0.45,0.43,0.36,0.8,1,0.75,0.48,0.21,0.35,0.24,0.45
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.04,1.05,1.01,1.02,1,1.02,1.06,1.06,1.07,1.07,1.03,1,1,0.99,0.97,1.02,1.03,1.08,1.02,0.94,0.95,0.93,0.9,0.79,0.82,0.86,0.91,0.91,0.92
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",93.61,93.21,90.68,92.78,91.6,89.57,92.98,91.88,92.45,92.06,92.89,89.14,90.54,88.72,89.11,90.06,90.07,90.52,89.28,87.87,87.56,86.31,72.92,78.81,78.9,76.78,80.38,81.57,83.17
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-35.0928,-35.2491,-35.4057,-36.1976,-35.4273,-36.507,-37.8735,-38.0126,-38.578,-38.4882,-37.6738,-36.9382,-36.9503,-36.6486,-36.5551,-37.5591,-38.1367,-38.2422,-37.1088,-35.8259,-36.3419,-34.767,-14.1102,-14.0071,-15.2789,-21.797,-21.5127,-21.7048,-20.2769
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-14.3334,-14.3334,-14.9277,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",3.21270000000001,3.0564,2.8998,2.1079,2.8782,1.7985,0.432000000000002,0.292900000000003,-0.272500000000001,-0.182699999999997,0.631700000000002,1.3673,1.3552,1.6569,1.7504,0.746400000000001,0.168800000000005,0.0633000000000052,1.1967,2.4796,1.9636,2.3948,3.2623,0.3263,-0.945500000000001,-6.8693,-4.3198,-4.5119,-3.084
