"","3 Y 2019-05-14 to 2022-05-15","3 Y 2019-06-14 to 2022-06-15","3 Y 2019-07-15 to 2022-07-15","3 Y 2019-08-14 to 2022-08-15","3 Y 2019-09-16 to 2022-09-15"
"1",NA,NA,NA,NA,NA
"P Annualized Returns",15.115,12.199,14.391,18.886,18.937
"B Annualized Returns",12.542,10.846,11.663,17.502,18.5
"AR DIFF(P-B)",2.573,1.353,2.728,1.384,0.437000000000001
"P Volatility",22.37,23.1,23.3,23.84,25.14
"B Volatility",22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",-0.559999999999999,-0.0799999999999983,0.240000000000002,0.510000000000002,1.88
"P Tracking Error",8.1,8.38,8.62,8.46,8.8
"B Tracking Error",NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA
"P Information Ratio",0.32,0.16,0.32,0.16,0.05
"B Information Ratio",NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA
"P Alpha Stat",0.26,0.2,0.28,0.15,0.07
"B Alpha Stat",NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA
"P Beta Stat",0.91,0.93,0.94,0.96,1.01
"B Beta Stat",NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA
"P R-Squared",87.31,86.94,86.24,87.22,87.39
"B R-Squared",NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA
"P Max Drawdown",-35.5604,-35.2707,-35.5827,-36.0283,-37.3422
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",2.7451,3.0348,2.7228,2.2772,0.963300000000004
