"","3 Y 2018-05-15 to 2021-05-16","3 Y 2018-06-15 to 2021-06-16","3 Y 2018-07-16 to 2021-07-16","3 Y 2018-08-16 to 2021-08-16","3 Y 2018-09-17 to 2021-09-16","3 Y 2018-10-15 to 2021-10-16","3 Y 2018-11-15 to 2021-11-16","3 Y 2018-12-17 to 2021-12-16","3 Y 2019-01-15 to 2022-01-16","3 Y 2019-02-15 to 2022-02-16","3 Y 2019-03-15 to 2022-03-16","3 Y 2019-04-15 to 2022-04-16","3 Y 2019-05-15 to 2022-05-16","3 Y 2019-06-17 to 2022-06-16","3 Y 2019-07-15 to 2022-07-16","3 Y 2019-08-16 to 2022-08-16","3 Y 2019-09-16 to 2022-09-16"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",12.136,17.269,18.578,16.793,20.576,22.741,21.157,17.559,20.274,20.446,14.592,17.577,15.094,12.382,15.736,18.967,19.212
"B Annualized Returns",10.832,13.38,13.34,12.65,15.172,19.884,19.211,16.323,18.431,17.785,13.23,14.883,12.774,10.787,11.663,17.502,18.287
"AR DIFF(P-B)",1.304,3.889,5.238,4.143,5.404,2.857,1.946,1.236,1.843,2.661,1.362,2.694,2.32,1.595,4.073,1.465,0.925000000000001
"P Volatility",23.25,23.67,23.49,23.92,23.06,23.22,23.98,24.18,24.06,24.23,23.88,23.81,23.35,23.59,23.35,24.41,24.94
"B Volatility",22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",0.41,0.790000000000003,0.879999999999999,1.34,0.629999999999999,1.11,1.91,1.86,1.79,1.99,1.28,0.889999999999997,0.420000000000002,0.41,0.290000000000003,1.08,1.68
"P Tracking Error",7.35,7.64,7.87,7.24,7.86,9.45,8.16,9.13,9.2,9.11,8.8,8.98,7.76,8.33,7.86,7.79,7.69
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.18,0.51,0.67,0.57,0.69,0.3,0.24,0.14,0.2,0.29,0.15,0.3,0.3,0.19,0.52,0.19,0.12
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.09,0.3,0.44,0.34,0.45,0.19,0.14,0.13,0.29,0.2,0.13,0.29,0.25,0.25,0.35,0.13,0.15
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.97,0.98,0.98,1.01,0.97,0.96,1.02,1,1,1.01,0.98,0.96,0.96,0.95,0.95,0.99,1.02
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",89.81,89.31,88.49,90.58,88.15,83.08,88.11,85.3,84.96,85.42,86.04,85.48,88.76,87.37,88.54,89.52,90.24
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-35.0928,-35.2491,-35.4057,-36.1976,-35.4273,-36.507,-37.8735,-38.0126,-38.578,-38.4882,-37.6738,-36.9382,-36.9503,-36.6486,-36.5551,-37.5591,-38.1367
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",3.21270000000001,3.0564,2.8998,2.1079,2.8782,1.7985,0.432000000000002,0.292900000000003,-0.272500000000001,-0.182699999999997,0.631700000000002,1.3673,1.3552,1.6569,1.7504,0.746400000000001,0.168800000000005
