"","1 Y 2016-08-17 to 2017-08-18","1 Y 2016-09-19 to 2017-09-18","1 Y 2016-10-17 to 2017-10-18","1 Y 2016-11-17 to 2017-11-18","1 Y 2016-12-19 to 2017-12-18","1 Y 2017-01-17 to 2018-01-18","1 Y 2017-02-17 to 2018-02-18","1 Y 2017-03-17 to 2018-03-18","1 Y 2017-04-17 to 2018-04-18","1 Y 2017-05-17 to 2018-05-18","1 Y 2017-06-19 to 2018-06-18","1 Y 2017-07-17 to 2018-07-18","1 Y 2017-08-17 to 2018-08-18","1 Y 2017-09-18 to 2018-09-18","1 Y 2017-10-17 to 2018-10-18","1 Y 2017-11-17 to 2018-11-18","1 Y 2017-12-18 to 2018-12-18","1 Y 2018-01-17 to 2019-01-18","1 Y 2018-02-19 to 2019-02-18","1 Y 2018-03-19 to 2019-03-18","1 Y 2018-04-17 to 2019-04-18","1 Y 2018-05-17 to 2019-05-18","1 Y 2018-06-18 to 2019-06-18","1 Y 2018-07-17 to 2019-07-18","1 Y 2018-08-17 to 2019-08-18","1 Y 2018-09-17 to 2019-09-18","1 Y 2018-10-17 to 2019-10-18","1 Y 2018-11-19 to 2019-11-18","1 Y 2018-12-17 to 2019-12-18","1 Y 2019-01-17 to 2020-01-18","1 Y 2019-02-18 to 2020-02-18","1 Y 2019-03-18 to 2020-03-18","1 Y 2019-04-18 to 2020-04-18","1 Y 2019-05-17 to 2020-05-18","1 Y 2019-06-17 to 2020-06-18","1 Y 2019-07-17 to 2020-07-18","1 Y 2019-08-19 to 2020-08-18","1 Y 2019-09-17 to 2020-09-18","1 Y 2019-10-17 to 2020-10-18","1 Y 2019-11-18 to 2020-11-18","1 Y 2019-12-17 to 2020-12-18","1 Y 2020-01-17 to 2021-01-18","1 Y 2020-02-17 to 2021-02-18","1 Y 2020-03-17 to 2021-03-18","1 Y 2020-04-17 to 2021-04-18","1 Y 2020-05-18 to 2021-05-18","1 Y 2020-06-17 to 2021-06-18","1 Y 2020-07-17 to 2021-07-18","1 Y 2020-08-17 to 2021-08-18","1 Y 2020-09-17 to 2021-09-18","1 Y 2020-10-19 to 2021-10-18","1 Y 2020-11-17 to 2021-11-18","1 Y 2020-12-17 to 2021-12-18","1 Y 2021-01-18 to 2022-01-18","1 Y 2021-02-17 to 2022-02-18","1 Y 2021-03-17 to 2022-03-18","1 Y 2021-04-19 to 2022-04-18","1 Y 2021-05-17 to 2022-05-18","1 Y 2021-06-17 to 2022-06-18","1 Y 2021-07-19 to 2022-07-18","1 Y 2021-08-17 to 2022-08-18","1 Y 2021-09-17 to 2022-09-18"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",38.692,44.703,53.347,52.954,55.494,52.279,44.108,33.434,25.367,16.057,12.416,20.213,25.694,16.921,2.287,10.179,4.162,4.06,4.75,11.862,9.659,2.832,5.149,-0.011,-7.306,-0.296,22.587,14.155,19.597,26.425,32.64,-21.313,-0.168,6.17,-3.388,36.69,55.262,81,31.694,69.538,57.212,54.324,67.601,101.904,58.447,56.594,68.75,101.895,118.958,124.775,135.507,118.635,80.416,77.12,52.909,50.963,45.421,20.423,-4.068,-7.235,-13.826,-13.846
"B Annualized Returns",16.071,16.626,20.928,28.487,28.93,30.242,19.339,13.83,15.536,11.278,11.584,9.431,13.391,10.368,1.847,1.194,2.925,-0.899,1.609,10.528,8.412,3.132,5.996,5.135,-7.074,-6.223,11.608,8.533,9.396,11.417,12.616,-21.942,-22.484,-22.41,-15.095,-8.516,2.116,6.162,0.378,8.026,12.991,19.975,27.295,63.83,58.047,69.782,59.634,47.076,48.097,54.042,56.254,41.32,26.913,29.075,14.207,15.699,24.224,9.627,-1.982,1.466,8.914,4.431
"AR DIFF(P-B)",22.621,28.077,32.419,24.467,26.564,22.037,24.769,19.604,9.831,4.779,0.832000000000001,10.782,12.303,6.553,0.44,8.985,1.237,4.959,3.141,1.334,1.247,-0.3,-0.847,-5.146,-0.232,5.927,10.979,5.622,10.201,15.008,20.024,0.629000000000001,22.316,28.58,11.707,45.206,53.146,74.838,31.316,61.512,44.221,34.349,40.306,38.074,0.400000000000006,-13.188,9.116,54.819,70.861,70.733,79.253,77.315,53.503,48.045,38.702,35.264,21.197,10.796,-2.086,-8.701,-22.74,-18.277
"P Volatility",19.71,18.69,19.05,15.99,17.15,16.76,14.89,14.44,15.54,16.86,16.82,17.32,14.14,13.06,18.12,23.18,20.49,16.89,16.69,15.91,16.8,18.6,17.78,16.34,16.6,11.15,9.3,11.1,11.77,17.21,11.45,17.3,36.52,41.43,39.85,44.16,32.82,30.69,32.27,43.38,50.5,50.3,41.03,19.43,13.7,11.72,18.38,25.44,26.76,26.38,24.67,30.3,32.34,24.34,20.26,20.96,16.91,16.52,23.26,16.29,20.83,22.77
"B Volatility",12.41,12.04,12.49,11.43,10.87,9.87,9.88,12.06,12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",7.3,6.65,6.56,4.56,6.28,6.89,5.01,2.38,2.82,3.71,3.84,5.45,0.550000000000001,-0.27,3.45,7.51,4.41,1.43,2.15,1.74,2.1,3.87,3.25,3.53,2.59,-1.09,-2.52,-0.550000000000001,0.0499999999999989,5.62,-0.130000000000001,6.22,7.16,8.96,7.38,10.6,-1.57,-3.48,-1.72,9.3,14.5,13.7,4.83,2.91,-3.22,-4.64,2.74,10.05,11.1,10.75,9.03,16.87,18.24,10.5,8.97,7.43,1.64,1.73,7.23,-0.830000000000002,3.66,5.62
"P Tracking Error",12.63,10.61,11.17,10.65,11.85,12.57,12.35,9.16,9.32,9.09,9.66,13.47,11.23,9.09,10.85,16.6,14.87,11.42,9.79,8.05,6.26,8.24,6.05,4.45,6.23,9.58,9.93,6.64,8.83,9.06,5,8.05,12.75,14.77,10.9,14.46,14.3,16.84,18.11,22.47,21.89,20.84,13.96,15.57,15.86,13.7,11.1,20.73,21.74,20.97,22.68,24.13,25.04,19.03,19.06,14.24,9.32,6.56,13.45,7.74,11.37,14.37
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.79,2.65,2.9,2.3,2.24,1.75,2.01,2.14,1.05,0.53,0.09,0.8,1.1,0.72,0.04,0.54,0.08,0.43,0.32,0.17,0.2,-0.04,-0.14,-1.16,-0.04,0.62,1.11,0.85,1.16,1.66,4,0.08,1.75,1.94,1.07,3.13,3.72,4.44,1.73,2.74,2.02,1.65,2.89,2.45,0.03,-0.96,0.82,2.64,3.26,3.37,3.49,3.2,2.14,2.52,2.03,2.48,2.27,1.65,-0.16,-1.12,-2,-1.27
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.37,1.18,1.6,1.67,0.93,1.3,2.22,1.48,0.94,0.59,-0.07,1.35,0.76,0.94,0.31,1.03,0.03,0.57,0.39,0.21,-0.11,-0.27,-0.52,-0.37,-0.35,0.82,0.35,0.66,1.13,0.99,1.38,0.32,1.74,2.69,1.64,3.83,3.28,3.94,2.99,3.73,3.35,2.16,2.66,2.9,2.13,1.52,1.41,3.42,3.53,3.81,4.66,2.57,2.59,3.14,3.61,1.53,1.31,1.14,-0.14,-1.46,-1.85,-0.63
