"","1 Y 2017-02-14 to 2018-02-15","1 Y 2017-03-14 to 2018-03-15","1 Y 2017-04-17 to 2018-04-15","1 Y 2017-05-15 to 2018-05-15","1 Y 2017-06-14 to 2018-06-15","1 Y 2017-07-14 to 2018-07-15","1 Y 2017-08-14 to 2018-08-15","1 Y 2017-09-14 to 2018-09-15","1 Y 2017-10-16 to 2018-10-15","1 Y 2017-11-14 to 2018-11-15","1 Y 2017-12-14 to 2018-12-15","1 Y 2018-01-15 to 2019-01-15","1 Y 2018-02-14 to 2019-02-15","1 Y 2018-03-14 to 2019-03-15","1 Y 2018-04-16 to 2019-04-15","1 Y 2018-05-14 to 2019-05-15","1 Y 2018-06-14 to 2019-06-15","1 Y 2018-07-16 to 2019-07-15","1 Y 2018-08-14 to 2019-08-15","1 Y 2018-09-14 to 2019-09-15","1 Y 2018-10-15 to 2019-10-15","1 Y 2018-11-14 to 2019-11-15","1 Y 2018-12-14 to 2019-12-15","1 Y 2019-01-14 to 2020-01-15","1 Y 2019-02-14 to 2020-02-15","1 Y 2019-03-14 to 2020-03-15","1 Y 2019-04-15 to 2020-04-15","1 Y 2019-05-14 to 2020-05-15","1 Y 2019-06-14 to 2020-06-15","1 Y 2019-07-15 to 2020-07-15","1 Y 2019-08-14 to 2020-08-15","1 Y 2019-09-16 to 2020-09-15","1 Y 2019-10-14 to 2020-10-15","1 Y 2019-11-14 to 2020-11-15","1 Y 2019-12-16 to 2020-12-15","1 Y 2020-01-14 to 2021-01-15","1 Y 2020-02-14 to 2021-02-15","1 Y 2020-03-16 to 2021-03-15","1 Y 2020-04-15 to 2021-04-15","1 Y 2020-05-14 to 2021-05-15","1 Y 2020-06-15 to 2021-06-15","1 Y 2020-07-14 to 2021-07-15","1 Y 2020-08-14 to 2021-08-15","1 Y 2020-09-14 to 2021-09-15","1 Y 2020-10-14 to 2021-10-15","1 Y 2020-11-14 to 2021-11-15","1 Y 2020-12-14 to 2021-12-15","1 Y 2021-01-14 to 2022-01-15","1 Y 2021-02-15 to 2022-02-15","1 Y 2021-03-15 to 2022-03-15","1 Y 2021-04-15 to 2022-04-15","1 Y 2021-05-14 to 2022-05-15","1 Y 2021-06-14 to 2022-06-15","1 Y 2021-07-14 to 2022-07-15","1 Y 2021-08-16 to 2022-08-15","1 Y 2021-09-14 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",37.439,34.406,26.086,8.357,10.543,14.291,29.053,19.768,3.311,15.294,11.319,2.658,5.898,6.448,2.478,2.577,0.284,4.324,-6.072,-5.077,12.278,21.056,18.637,19.546,26.68,1.356,-9.715,-5.391,-12.37,30.235,17.273,75.467,43.575,64.253,63.885,52.738,60.29,99.045,58.114,63.078,58.71,55.859,52.522,98.47,62.302,80.339,103.014,101.428,61.019,49.506,64.615,21.177,10.752,26.884,29.382,13.154
"B Annualized Returns",20.108,15.018,14.749,13.23,11.894,9.846,13.266,10.014,-1.584,1.963,3.304,-2.022,0.073,7.236,7.85,1.855,8.008,5.044,-5.45,-4.847,6.224,10.191,7.743,12.885,12.552,-16.266,-25.765,-17.557,-15.035,-8.698,2.646,3.809,4.419,6.923,13.141,18.662,26.601,65.75,60.355,63.423,62.214,51.117,46.935,53.015,54.259,41.647,29.133,25.679,10.54,13.177,22.109,6.499,-0.562,0.909,7.389,4.721
"AR DIFF(P-B)",17.331,19.388,11.337,-4.873,-1.351,4.445,15.787,9.754,4.895,13.331,8.015,4.68,5.825,-0.787999999999999,-5.372,0.722,-7.724,-0.72,-0.622,-0.23,6.054,10.865,10.894,6.661,14.128,17.622,16.05,12.166,2.665,38.933,14.627,71.658,39.156,57.33,50.744,34.076,33.689,33.295,-2.241,-0.344999999999999,-3.504,4.742,5.587,45.455,8.043,38.692,73.881,75.749,50.479,36.329,42.506,14.678,11.314,25.975,21.993,8.433
"P Volatility",16.39,18.43,19.74,19.39,20.76,18.93,20.59,17.76,17.72,21.31,22.2,19.06,18.95,17.44,16.53,15.48,13.92,13.51,15.06,11.44,10.94,13.71,12.91,13.63,12.71,14.63,33.81,37.46,40.37,42.87,37.97,38.23,36.1,42.14,44.87,43.15,40.14,22.48,15.41,14.64,14.81,13.27,12.71,23.32,17.29,22.99,25.34,28.11,22.78,18.98,19.21,17.55,23.79,24.2,26.66,25.19
"B Volatility",9.88,12.06,12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",6.51,6.37,7.02,6.24,7.78,7.06,7,4.43,3.05,5.64,6.12,3.6,4.41,3.27,1.83,0.75,-0.609999999999999,0.699999999999999,1.05,-0.800000000000001,-0.880000000000001,2.06,1.19,2.04,1.13,3.55,4.45,4.99,7.9,9.31,3.58,4.06,2.11,8.06,8.87,6.55,3.94,5.96,-1.51,-1.72,-0.83,-2.12,-2.95,7.69,1.65,9.56,11.24,14.27,11.49,5.45,3.94,2.76,7.76,7.08,9.49,8.04
"P Tracking Error",13.19,14.08,12.92,13.08,14.64,11.62,12.25,10.28,11.11,14.07,13.97,11.77,10.89,10.32,11.01,8.63,5.29,7.07,5.52,7.51,8.51,10.08,10.33,8.54,9.71,7.43,9.07,10.71,11.41,13.16,10.26,14.28,16.55,16.36,15.95,13.76,13.85,16.87,16.9,13.62,11.95,11.6,13.23,21.07,15.14,20.39,21.3,22.95,21.17,12.81,12.36,11.89,14.53,12.06,14.54,12.64
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.31,1.38,0.88,-0.37,-0.09,0.38,1.29,0.95,0.44,0.95,0.57,0.4,0.53,-0.08,-0.49,0.08,-1.46,-0.1,-0.11,-0.03,0.71,1.08,1.05,0.78,1.45,2.37,1.77,1.14,0.23,2.96,1.43,5.02,2.37,3.5,3.18,2.48,2.43,1.97,-0.13,-0.03,-0.29,0.41,0.42,2.16,0.53,1.9,3.47,3.3,2.38,2.84,3.44,1.23,0.78,2.15,1.51,0.67
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.15,1.61,0.79,0.14,-0.17,0.28,0.55,1.02,0.22,1.13,0.48,0.66,0.55,0,-0.45,0.08,-0.63,0.15,-0.48,0.1,0.58,1.09,1.09,0.53,0.86,1.3,1.26,1.83,0.86,3.66,1.15,3.69,3.76,3.84,3.61,2.13,2.14,1.82,2.3,1.68,1.43,1.75,2.17,3.54,1.7,2.31,4.21,4.18,3.89,2.19,2.42,2.1,1.48,1.47,1.31,1.5
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.98,0.99,1.19,1.09,1.14,1.29,1.24,1.09,0.94,1.02,1.08,0.97,1.07,0.99,0.85,0.88,0.89,0.9,1,0.75,0.67,0.82,0.72,0.92,0.75,1.15,1.12,1.11,1.21,1.24,1.06,1.04,0.95,1.15,1.18,1.12,1.04,0.9,0.42,0.55,0.66,0.59,0.47,0.7,0.64,0.81,0.97,1.19,0.78,1.04,0.96,0.88,1.19,1.25,1.35,1.31
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",28.06,35.15,54.08,49.89,45.65,61.84,63.48,63.27,56.56,51.58,56.34,57.68,63.62,61.06,52.62,66.89,85.33,70.5,85.05,60.13,46.94,42.6,36.15,56.88,40.94,72.78,93.12,91.94,94.34,93.42,92.27,84.62,76.95,84.87,88.25,89.94,86.92,38,12.11,31.48,42.32,40.51,26.56,13.68,26.44,13.98,21.52,26.86,5.41,49.49,54.09,50.1,60.37,75.88,72.49,76.87
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-8.2939,-10.8411,-12.2105,-13.3937,-16.9916,-12.3606,-12.6267,-10.9923,-18.7682,-17.9384,-19.1897,-15.716,-14.027,-16.6774,-16.7925,-16.9096,-16.9699,-15.25,-17.1239,-12.5705,-7.7139,-8.0191,-6.9163,-8.112,-8.6158,-22.52,-38.6835,-35.8549,-39.5891,-38.8177,-36.5808,-36.6312,-34.7809,-39.4765,-39.1091,-38.8696,-35.6008,-10.8848,-7.5257,-7.1971,-8.4661,-7.4291,-6.8623,-11.6957,-9.1022,-10.486,-12.5509,-15.5354,-13.3478,-11.4832,-11.6347,-16.5169,-20.4527,-20.7783,-21.8348,-22.1435
"B Max Drawdown",-6.1439,-8.9935,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-13.0962,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2905,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-22.2918,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-8.2939,-10.2422,-10.2422,-14.3334,-14.3334,-14.3334,-14.816,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-2.15,-1.8476,-2.8422,-4.0254,-7.6233,-2.9923,-3.2584,-1.624,-5.672,-3.9595,-5.2108,-1.7371,-0.0480999999999998,-2.6985,-2.8136,-2.9307,-2.991,-1.2711,-3.145,-1.28,3.5636,3.2584,4.3612,3.1655,2.6617,-0.228200000000001,-0.378,2.4506,-1.2836,-0.5122,1.7247,1.6743,3.5246,-1.171,-0.803599999999996,-0.564099999999996,1.561,6.4877,-0.178599999999999,-0.2953,-1.5643,-0.5273,0.0394999999999994,-4.7939,-2.7647,-4.1485,-4.257,-5.2932,-3.1056,2.8502,2.6987,-2.1835,-5.6367,-3.5854,-4.6419,-4.9506
