"","1 Y 2017-05-16 to 2018-05-17","1 Y 2017-06-16 to 2018-06-17","1 Y 2017-07-17 to 2018-07-17","1 Y 2017-08-16 to 2018-08-17","1 Y 2017-09-18 to 2018-09-17","1 Y 2017-10-16 to 2018-10-17","1 Y 2017-11-16 to 2018-11-17","1 Y 2017-12-18 to 2018-12-17","1 Y 2018-01-16 to 2019-01-17","1 Y 2018-02-16 to 2019-02-17","1 Y 2018-03-16 to 2019-03-17","1 Y 2018-04-16 to 2019-04-17","1 Y 2018-05-16 to 2019-05-17","1 Y 2018-06-18 to 2019-06-17","1 Y 2018-07-16 to 2019-07-17","1 Y 2018-08-16 to 2019-08-17","1 Y 2018-09-17 to 2019-09-17","1 Y 2018-10-16 to 2019-10-17","1 Y 2018-11-16 to 2019-11-17","1 Y 2018-12-17 to 2019-12-17","1 Y 2019-01-16 to 2020-01-17","1 Y 2019-02-18 to 2020-02-17","1 Y 2019-03-18 to 2020-03-17","1 Y 2019-04-16 to 2020-04-17","1 Y 2019-05-16 to 2020-05-17","1 Y 2019-06-17 to 2020-06-17","1 Y 2019-07-16 to 2020-07-17","1 Y 2019-08-16 to 2020-08-17","1 Y 2019-09-16 to 2020-09-17","1 Y 2019-10-16 to 2020-10-17","1 Y 2019-11-18 to 2020-11-17","1 Y 2019-12-16 to 2020-12-17","1 Y 2020-01-16 to 2021-01-17","1 Y 2020-02-17 to 2021-02-17","1 Y 2020-03-16 to 2021-03-17","1 Y 2020-04-16 to 2021-04-17","1 Y 2020-05-18 to 2021-05-17","1 Y 2020-06-16 to 2021-06-17","1 Y 2020-07-16 to 2021-07-17","1 Y 2020-08-17 to 2021-08-17","1 Y 2020-09-16 to 2021-09-17","1 Y 2020-10-16 to 2021-10-17","1 Y 2020-11-17 to 2021-11-17","1 Y 2020-12-16 to 2021-12-17","1 Y 2021-01-18 to 2022-01-17","1 Y 2021-02-16 to 2022-02-17","1 Y 2021-03-16 to 2022-03-17","1 Y 2021-04-16 to 2022-04-17","1 Y 2021-05-17 to 2022-05-17","1 Y 2021-06-16 to 2022-06-17","1 Y 2021-07-16 to 2022-07-17","1 Y 2021-08-16 to 2022-08-17","1 Y 2021-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",6.202,9.18,8.928,15.103,11.805,3.387,7.108,0.099,4.011,6.835,11.886,6.776,3.087,7.486,6.801,0.907,-3.6,19.725,23.619,17.16,24.624,26.351,-2.414,-5.523,-7.781,-5.069,34.681,15.262,22.811,39.369,61.836,58.944,53.325,65.306,90.712,66.31,100.834,57.878,58.772,75.163,99.428,73.179,96.521,63.13,56.616,56.153,58.928,64.277,29.104,11.456,37.034,43.726,16.447
"B Annualized Returns",11.833,11.584,8.552,13.389,9.536,1.945,2.112,1.971,-0.19,1.609,10.528,8.623,2.675,8.351,5.828,-5.45,-4.603,6.533,8.533,8.425,11.497,14.205,-20.196,-22.484,-18.273,-14.759,-8.516,2.646,7.195,1.597,6.864,13.166,18.582,27.429,62.399,61.546,70.632,60.176,50.294,47.791,52.789,56.254,42.108,27.171,29.043,13.632,14.049,24.224,6.852,-2.498,1.466,8.47,2.819
"AR DIFF(P-B)",-5.631,-2.404,0.376000000000001,1.714,2.269,1.442,4.996,-1.872,4.201,5.226,1.358,-1.847,0.412,-0.865000000000001,0.973,6.357,1.003,13.192,15.086,8.735,13.127,12.146,17.782,16.961,10.492,9.69,43.197,12.616,15.616,37.772,54.972,45.778,34.743,37.877,28.313,4.764,30.202,-2.298,8.478,27.372,46.639,16.925,54.413,35.959,27.573,42.521,44.879,40.053,22.252,13.954,35.568,35.256,13.628
"P Volatility",20.46,20.1,18.54,22.05,19.57,21.93,23.6,22.99,20.55,21.38,21.82,16.86,13.51,13.64,12.24,15.91,9.98,11.25,12.71,12.96,13.96,10.99,12.59,30.48,39.51,40.6,40.36,35.73,33.32,37.3,41.7,44.43,44.41,43.55,22.5,15.64,17.24,15.38,14.59,15.63,25.17,17.46,29.92,21.77,21.13,18.6,17.11,18.08,17.05,23.53,25.33,27.1,26.58
"B Volatility",13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",7.31,7.12,6.67,8.46,6.24,7.26,7.93,6.91,5.09,6.84,7.65,2.16,-1.22,-0.889999999999999,-0.57,1.9,-2.26,-0.57,1.06,1.24,2.37,-0.59,1.51,1.12,7.04,8.13,6.8,1.34,-0.850000000000001,3.31,7.62,8.43,7.81,7.34999999999999,5.98,-1.28,0.879999999999999,-0.26,-0.800000000000001,-0.0299999999999994,9.54,1.82,16.49,7.67,7.29,7.31,3.58,2.81,2.26,7.5,8.21,9.93,9.43
"P Tracking Error",13.45,14.05,13.78,13.66,11.19,10.96,15.03,15.12,10.26,12.02,14.45,9,6.78,4.62,4.87,9.32,8.2,7.84,10.65,11.12,9.17,9.41,7.63,6.95,9.67,12.09,11.89,10.65,12.34,16.27,15.93,15.93,17.07,15.06,15.43,14.91,17.96,13.33,13.57,13.16,22.13,16.21,26.9,22.02,22.09,18.34,9.82,9.63,10.69,14.47,15.38,16.91,14.34
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
