"","1 Y 2017-08-16 to 2018-08-17","1 Y 2017-09-18 to 2018-09-17","1 Y 2017-10-16 to 2018-10-17","1 Y 2017-11-16 to 2018-11-17","1 Y 2017-12-18 to 2018-12-17","1 Y 2018-01-16 to 2019-01-17","1 Y 2018-02-16 to 2019-02-17","1 Y 2018-03-16 to 2019-03-17","1 Y 2018-04-16 to 2019-04-17","1 Y 2018-05-16 to 2019-05-17","1 Y 2018-06-18 to 2019-06-17","1 Y 2018-07-16 to 2019-07-17","1 Y 2018-08-16 to 2019-08-17","1 Y 2018-09-17 to 2019-09-17","1 Y 2018-10-16 to 2019-10-17","1 Y 2018-11-16 to 2019-11-17","1 Y 2018-12-17 to 2019-12-17","1 Y 2019-01-16 to 2020-01-17","1 Y 2019-02-18 to 2020-02-17","1 Y 2019-03-18 to 2020-03-17","1 Y 2019-04-16 to 2020-04-17","1 Y 2019-05-16 to 2020-05-17","1 Y 2019-06-17 to 2020-06-17","1 Y 2019-07-16 to 2020-07-17","1 Y 2019-08-16 to 2020-08-17","1 Y 2019-09-16 to 2020-09-17","1 Y 2019-10-16 to 2020-10-17","1 Y 2019-11-18 to 2020-11-17","1 Y 2019-12-16 to 2020-12-17","1 Y 2020-01-16 to 2021-01-17","1 Y 2020-02-17 to 2021-02-17","1 Y 2020-03-16 to 2021-03-17","1 Y 2020-04-16 to 2021-04-17","1 Y 2020-05-18 to 2021-05-17","1 Y 2020-06-16 to 2021-06-17","1 Y 2020-07-16 to 2021-07-17","1 Y 2020-08-17 to 2021-08-17","1 Y 2020-09-16 to 2021-09-17","1 Y 2020-10-16 to 2021-10-17","1 Y 2020-11-17 to 2021-11-17","1 Y 2020-12-16 to 2021-12-17","1 Y 2021-01-18 to 2022-01-17","1 Y 2021-02-16 to 2022-02-17","1 Y 2021-03-16 to 2022-03-17","1 Y 2021-04-16 to 2022-04-17","1 Y 2021-05-17 to 2022-05-17","1 Y 2021-06-16 to 2022-06-17","1 Y 2021-07-16 to 2022-07-17","1 Y 2021-08-16 to 2022-08-17","1 Y 2021-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",11.674,5.26,-13.425,3.067,-5.678,0.216,2.784,15.552,12.647,10.466,15.361,4.215,1.244,2.882,20.207,24.259,17.304,25.352,35.694,-4.928,-0.947,-3.238,-1.58,9.764,26.849,26.446,53.496,68.427,66.416,42.005,70.229,90.706,64.977,101.926,59.34,56.485,106.847,75.353,73.509,96.357,76.811,83.887,41.499,49.388,41.549,24.442,6.749,33.976,40.325,21.545
"B Annualized Returns",13.389,9.536,1.945,2.112,1.971,-0.19,1.609,10.528,8.623,2.675,8.351,5.828,-5.45,-4.603,6.533,8.533,8.425,11.497,14.205,-20.196,-22.484,-18.273,-14.759,-8.516,2.646,7.195,1.597,6.864,13.166,18.582,27.429,62.399,61.546,70.632,60.176,50.294,47.791,52.789,56.254,42.108,27.171,29.043,13.632,14.049,24.224,6.852,-2.498,1.466,8.47,2.819
"AR DIFF(P-B)",-1.715,-4.276,-15.37,0.955,-7.649,0.406,1.175,5.024,4.024,7.791,7.01,-1.613,6.694,7.485,13.674,15.726,8.879,13.855,21.489,15.268,21.537,15.035,13.179,18.28,24.203,19.251,51.899,61.563,53.25,23.423,42.8,28.307,3.431,31.294,-0.835999999999999,6.191,59.056,22.564,17.255,54.249,49.64,54.844,27.867,35.339,17.325,17.59,9.247,32.51,31.855,18.726
"P Volatility",16.88,17.34,20.53,21.59,18.58,20.26,21.18,22.32,20.31,17.54,19.42,15.62,15.57,11.95,10.77,16.9,13.8,13.58,13.15,14.1,29.77,34.89,36.69,38.86,37.73,36.29,40.28,38.35,43.13,40.98,43.27,24.25,15.9,17.67,14.55,13.73,24.08,15.66,19.33,30.48,29.52,27.23,21.89,19.13,20.79,15.19,23.22,26.19,28.79,27.48
"B Volatility",13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",3.29,4.01,5.86,5.92,2.5,4.8,6.64,8.15,5.61,2.81,4.89,2.81,1.56,-0.290000000000001,-1.05,5.25,2.08,1.99,1.57,3.02,0.41,2.42,4.22,5.3,3.34,2.12,6.29,4.27,7.13,4.38,7.07,7.73,-1.02,1.31,-1.09,-1.66,8.42,0.0299999999999994,3.69,17.05,15.42,13.39,10.6,5.6,5.52,0.4,7.19,9.07,11.62,10.33
"P Tracking Error",11.31,11.04,11.92,14.72,11.66,10.64,10.89,12.98,10.47,8.27,8.95,7.16,7.47,8.77,8.71,11.26,11.68,9.09,10.82,8.24,7.69,9.09,10.02,11.24,10.51,13.29,18.81,17.65,16.45,14.97,16.7,16.31,15.71,15.99,10.83,11.86,22.33,12.63,16,26.47,26.78,25.31,21.6,11.93,14.56,9.62,13.34,15.03,17.92,16.27
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.15,-0.39,-1.29,0.06,-0.66,0.04,0.11,0.39,0.38,0.94,0.78,-0.23,0.9,0.85,1.57,1.4,0.76,1.52,1.99,1.85,2.8,1.65,1.32,1.63,2.3,1.45,2.76,3.49,3.24,1.56,2.56,1.74,0.22,1.96,-0.08,0.52,2.64,1.79,1.08,2.05,1.85,2.17,1.29,2.96,1.19,1.83,0.69,2.16,1.78,1.15
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.26,-0.21,-1.17,0.49,-0.64,0.42,0.26,0.33,0.18,0.36,0.28,0.11,0.15,0.85,0.82,1.14,1.15,0.67,1.35,1.36,1.62,2.01,1.75,1.6,1.61,1.5,4.19,3.81,3.73,1.9,2.33,1.07,2.16,3.15,1.42,1.88,4.04,2.43,1.61,2.37,3.47,4.22,2.98,1.64,1.07,1.92,1.01,1.78,1.86,2.33
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
