"","2 Y 2019-05-14 to 2021-05-15","2 Y 2019-06-14 to 2021-06-15","2 Y 2019-07-15 to 2021-07-15","2 Y 2019-08-14 to 2021-08-15","2 Y 2019-09-16 to 2021-09-15","2 Y 2019-10-14 to 2021-10-15","2 Y 2019-11-14 to 2021-11-15","2 Y 2019-12-16 to 2021-12-15","2 Y 2020-01-14 to 2022-01-15","2 Y 2020-02-14 to 2022-02-15","2 Y 2020-03-16 to 2022-03-15","2 Y 2020-04-15 to 2022-04-15","2 Y 2020-05-14 to 2022-05-15","2 Y 2020-06-15 to 2022-06-15","2 Y 2020-07-14 to 2022-07-15","2 Y 2020-08-14 to 2022-08-15","2 Y 2020-09-14 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",55.141,56.568,52.72,60.429,70.087,64.442,60.193,50.083,54.073,43.238,72.104,74.402,62.297,57.969,63.738,64.893,63.567
"B Annualized Returns",15.547,17.05,17.462,22.369,26.067,27.337,23.497,20.884,22.038,18.719,35.681,41.06,31.954,26.962,23.487,26.092,26.585
"AR DIFF(P-B)",39.594,39.518,35.258,38.06,44.02,37.105,36.696,29.199,32.035,24.519,36.423,33.342,30.343,31.007,40.251,38.801,36.982
"P Volatility",35.72,34.62,32.93,32.95,31.63,31.42,29.05,30.9,30.52,30.43,25.04,23.53,22.71,26.26,26.3,27.63,27.79
"B Volatility",26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",9.16,7.98,6.95,7.06,5.46,5.27,2.89,4.4,4.06,4.29,8.22,7.52,6.78,10.04,9.71,10.44,10.71
"P Tracking Error",15.8,14.99,14.47,14.31,14.09,15.36,13.86,15.41,15.41,15.49,18.02,17.51,18.08,19.15,18.94,19.75,19.84
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",2.51,2.64,2.44,2.66,3.12,2.42,2.65,1.89,2.08,1.58,2.02,1.9,1.68,1.62,2.13,1.96,1.86
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",2.3,2.43,2.37,2.24,2.36,2.06,2.16,2.1,1.93,1.82,2.12,2.18,2.59,1.79,2.21,2.11,2.1
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.23,1.19,1.15,1.16,1.09,1.05,0.98,1.01,1,1,1.03,0.98,0.87,1.11,1.1,1.13,1.15
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",82.51,82.51,81.21,81.82,79.73,75.16,76.2,73.97,73.28,72.86,45.78,41.99,34.41,44.82,46.14,47.15,47.48
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-38.8293,-38.2747,-37.2856,-38.3008,-36.2422,-35.2271,-33.4056,-34.9242,-33.4935,-33.4723,-13.4558,-13.9678,-15.8813,-16.3216,-17.6593,-17.3917,-18.8716
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-14.3334,-14.3334,-14.8161,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-0.523800000000001,0.0307999999999993,1.0199,0.0046999999999997,2.06330000000001,3.0784,4.8999,3.3813,4.812,3.6895,3.9167,0.365599999999999,-1.5479,-1.5055,-0.4664,-0.198799999999999,-1.6787
