"","3 Y 2019-05-14 to 2022-05-15","3 Y 2019-06-14 to 2022-06-15","3 Y 2019-07-15 to 2022-07-15","3 Y 2019-08-14 to 2022-08-15","3 Y 2019-09-16 to 2022-09-15"
"1",NA,NA,NA,NA,NA
"P Annualized Returns",41.458,36.614,43.205,53.68,58.641
"B Annualized Returns",12.542,10.846,11.663,17.502,18.5
"AR DIFF(P-B)",28.916,25.768,31.542,36.178,40.141
"P Volatility",31.82,32.36,31.08,32.1,30.41
"B Volatility",22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",8.89,9.18,8.02,8.77,7.15
"P Tracking Error",15.98,16.64,16.33,16.39,15.86
"B Tracking Error",NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA
"P Information Ratio",1.81,1.55,1.93,2.21,2.53
"B Information Ratio",NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA
"P Alpha Stat",2,1.66,1.98,2.08,2.34
"B Alpha Stat",NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA
"P Beta Stat",1.22,1.22,1.16,1.2,1.12
"B Beta Stat",NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA
"P R-Squared",76.61,75.26,72.97,75.32,72.87
"B R-Squared",NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA
"P Max Drawdown",-38.8293,-38.2747,-37.2856,-38.3008,-36.2422
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",-0.523800000000001,0.0307999999999993,1.0199,0.0046999999999997,2.06330000000001
