"","3 Y 2017-05-16 to 2020-05-17","3 Y 2017-06-16 to 2020-06-17","3 Y 2017-07-17 to 2020-07-17","3 Y 2017-08-16 to 2020-08-17","3 Y 2017-09-18 to 2020-09-17","3 Y 2017-10-16 to 2020-10-17","3 Y 2017-11-16 to 2020-11-17","3 Y 2017-12-18 to 2020-12-17","3 Y 2018-01-16 to 2021-01-17","3 Y 2018-02-16 to 2021-02-17","3 Y 2018-03-16 to 2021-03-17","3 Y 2018-04-16 to 2021-04-17","3 Y 2018-05-16 to 2021-05-17","3 Y 2018-06-18 to 2021-06-17","3 Y 2018-07-16 to 2021-07-17","3 Y 2018-08-16 to 2021-08-17","3 Y 2018-09-17 to 2021-09-17","3 Y 2018-10-16 to 2021-10-17","3 Y 2018-11-16 to 2021-11-17","3 Y 2018-12-17 to 2021-12-17","3 Y 2019-01-16 to 2022-01-17","3 Y 2019-02-18 to 2022-02-17","3 Y 2019-03-18 to 2022-03-17","3 Y 2019-04-16 to 2022-04-17","3 Y 2019-05-16 to 2022-05-17","3 Y 2019-06-17 to 2022-06-17","3 Y 2019-07-16 to 2022-07-17","3 Y 2019-08-16 to 2022-08-17","3 Y 2019-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-2.024,-0.328,4.267,6.467,9.137,11.433,16.747,20.34,26.547,31.428,33.742,25.426,22.424,24.498,26.852,40.382,37.274,42.598,44.084,37.536,41.007,25.403,30.997,45.169,43.46,35.666,71.243,38.167,37.188
"B Annualized Returns",-2.08,0.14,1.721,3.65,3.517,3.334,6.246,8.418,9.679,12.908,13.025,10.512,11.014,13.119,13.34,12.978,15.377,19.571,18.555,16.333,18.438,17.708,13.948,15.363,12.58,10.007,11.413,17.847,18.287
"AR DIFF(P-B)",0.056,-0.468,2.546,2.817,5.62,8.099,10.501,11.922,16.868,18.52,20.717,14.914,11.41,11.379,13.512,27.404,21.897,23.027,25.529,21.203,22.569,7.695,17.049,29.806,30.88,25.659,59.83,20.32,18.901
"P Volatility",30.15,29.45,30.41,29.52,30.94,28.38,27.63,30.68,28.92,28.33,31.13,26.57,23.73,26.16,23.34,24.93,22.6,22.02,21.67,20.35,23.01,20.77,25.41,27.86,30.73,31.99,39.48,29.15,28.24
"B Volatility",21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",9.14,8.45,9.12,7.84,9.26,6.96,6.16,8.33,6.25,5.9,8.33,3.73,0.890000000000001,3.28,0.73,2.35,0.170000000000002,-0.0899999999999999,-0.399999999999999,-1.97,0.740000000000002,-1.47,2.81,4.94,7.8,8.81,16.42,5.82,4.98
"P Tracking Error",14.07,13.13,13.15,12.87,13.76,12.3,13.05,14.06,11.25,11.55,14.59,12.45,11.66,10.3,10.15,13.02,11.38,11.17,12.46,12.36,10.9,11.44,13.07,12.24,14.97,16.48,29.42,15.58,16.24
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0,-0.04,0.19,0.22,0.41,0.66,0.8,0.85,1.5,1.6,1.42,1.2,0.98,1.1,1.33,2.1,1.92,2.06,2.05,1.72,2.07,0.67,1.3,2.44,2.06,1.56,2.03,1.3,1.16
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.29,0.06,0.33,0.14,0.53,0.81,0.86,0.76,1.37,1.06,1.28,1.09,0.96,0.75,1.08,1.89,1.79,1.58,1.73,1.92,1.6,0.84,1.29,1.86,2.06,1.74,3.83,1.24,1.4
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.31,1.29,1.33,1.25,1.32,1.21,1.14,1.24,1.19,1.17,1.23,1.03,0.91,1.05,0.93,0.94,0.88,0.87,0.82,0.76,0.91,0.8,0.96,1.1,1.19,1.2,1.15,1.06,0.99
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",82.26,83.85,86.17,83.89,84.7,83.29,78.3,81.63,86.72,84.64,80.22,77.44,75.91,84.23,80.98,72.16,75.36,75.28,69.29,69,77.6,73.29,72.84,80.76,77.54,74.81,43.59,70.78,65.91
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-43.3524,-43.2561,-42.8248,-42.1306,-44.9715,-40.1681,-38.4443,-39.9617,-38.118,-37.2521,-38.8988,-34.1793,-32.1367,-36.6511,-32.3226,-31.2839,-31.0296,-31.2149,-29.9649,-28.6168,-32.3763,-29.9966,-33.4608,-36.4064,-38.4362,-38.5762,-36.2692,-34.8361,-33.0007
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",-5.0469,-4.9506,-4.5193,-3.8251,-6.666,-1.8626,-0.138799999999996,-1.6562,0.1875,1.0534,-0.593299999999999,4.1262,6.1688,1.6544,5.9829,7.0216,7.2759,7.0906,8.3406,9.6887,5.9292,8.3089,4.8447,1.8991,-0.130699999999997,-0.270699999999998,2.0363,3.4694,5.3048
