"","1 Y 2019-05-14 to 2020-05-15","1 Y 2019-06-14 to 2020-06-15","1 Y 2019-07-15 to 2020-07-15","1 Y 2019-08-14 to 2020-08-15","1 Y 2019-09-16 to 2020-09-15","1 Y 2019-10-14 to 2020-10-15","1 Y 2019-11-14 to 2020-11-15","1 Y 2019-12-16 to 2020-12-15","1 Y 2020-01-14 to 2021-01-15","1 Y 2020-02-14 to 2021-02-15","1 Y 2020-03-16 to 2021-03-15","1 Y 2020-04-15 to 2021-04-15","1 Y 2020-05-14 to 2021-05-15","1 Y 2020-06-15 to 2021-06-15","1 Y 2020-07-14 to 2021-07-15","1 Y 2020-08-14 to 2021-08-15","1 Y 2020-09-14 to 2021-09-15","1 Y 2020-10-14 to 2021-10-15","1 Y 2020-11-14 to 2021-11-15","1 Y 2020-12-14 to 2021-12-15","1 Y 2021-01-14 to 2022-01-15","1 Y 2021-02-15 to 2022-02-15","1 Y 2021-03-15 to 2022-03-15","1 Y 2021-04-15 to 2022-04-15","1 Y 2021-05-14 to 2022-05-15","1 Y 2021-06-14 to 2022-06-15","1 Y 2021-07-14 to 2022-07-15","1 Y 2021-08-16 to 2022-08-15","1 Y 2021-09-14 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-13.157,-5.861,-0.448,11.411,23.184,12.911,18.54,28.62,30.749,41.754,109.763,103.852,119.79,119.385,109.024,85.36,102.817,113.625,86.214,62.363,50.464,27.983,19.01,25.828,2.164,-4.829,4.318,11.525,3.504
"B Annualized Returns",-17.557,-15.035,-8.698,2.646,3.809,4.419,6.923,13.141,18.662,26.601,65.75,60.355,63.423,62.214,51.117,46.935,53.015,54.259,41.647,29.133,25.679,10.54,13.177,22.109,6.499,-0.562,0.909,7.389,4.721
"AR DIFF(P-B)",4.4,9.174,8.25,8.765,19.375,8.492,11.617,15.479,12.087,15.153,44.013,43.497,56.367,57.171,57.907,38.425,49.802,59.366,44.567,33.23,24.785,17.443,5.833,3.719,-4.335,-4.267,3.409,4.136,-1.217
"P Volatility",41.72,41.34,40.55,41.61,39.8,39.31,37.65,41.07,41.11,39.58,27.4,21.22,21.67,21.66,23.5,22.13,20.93,17.93,14.9,16.25,16.04,11.43,14.46,14.07,13.95,14.8,15.93,17.91,17.31
"B Volatility",32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",9.25,8.87,6.98999999999999,7.22,5.63,5.32,3.57,5.07,4.51,3.38,10.88,4.3,5.31,6.02,8.11,6.47,5.3,2.29,1.47,2.15,2.2,0.140000000000001,0.930000000000001,-1.2,-0.84,-1.23,-1.19,0.739999999999998,0.16
"P Tracking Error",13.61,13.62,12.33,13.39,13.8,13.01,14.56,15.33,14.7,14.42,15.56,14.85,15.97,15.57,14.68,12.87,11.64,9.28,8.95,9.97,10.59,8.13,7.07,6.02,5.71,4.66,5.48,6.54,5.59
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.32,0.67,0.67,0.65,1.4,0.65,0.8,1.01,0.82,1.05,2.83,2.93,3.53,3.67,3.94,2.99,4.28,6.4,4.98,3.33,2.34,2.15,0.83,0.62,-0.76,-0.92,0.62,0.63,-0.22
