"","1 Y 2016-08-17 to 2017-08-18","1 Y 2016-09-19 to 2017-09-18","1 Y 2016-10-17 to 2017-10-18","1 Y 2016-11-17 to 2017-11-18","1 Y 2016-12-19 to 2017-12-18","1 Y 2017-01-17 to 2018-01-18","1 Y 2017-02-17 to 2018-02-18","1 Y 2017-03-17 to 2018-03-18","1 Y 2017-04-17 to 2018-04-18","1 Y 2017-05-17 to 2018-05-18","1 Y 2017-06-19 to 2018-06-18","1 Y 2017-07-17 to 2018-07-18","1 Y 2017-08-17 to 2018-08-18","1 Y 2017-09-18 to 2018-09-18","1 Y 2017-10-17 to 2018-10-18","1 Y 2017-11-17 to 2018-11-18","1 Y 2017-12-18 to 2018-12-18","1 Y 2018-01-17 to 2019-01-18","1 Y 2018-02-19 to 2019-02-18","1 Y 2018-03-19 to 2019-03-18","1 Y 2018-04-17 to 2019-04-18","1 Y 2018-05-17 to 2019-05-18","1 Y 2018-06-18 to 2019-06-18","1 Y 2018-07-17 to 2019-07-18","1 Y 2018-08-17 to 2019-08-18","1 Y 2018-09-17 to 2019-09-18","1 Y 2018-10-17 to 2019-10-18","1 Y 2018-11-19 to 2019-11-18","1 Y 2018-12-17 to 2019-12-18","1 Y 2019-01-17 to 2020-01-18","1 Y 2019-02-18 to 2020-02-18","1 Y 2019-03-18 to 2020-03-18","1 Y 2019-04-18 to 2020-04-18","1 Y 2019-05-17 to 2020-05-18","1 Y 2019-06-17 to 2020-06-18","1 Y 2019-07-17 to 2020-07-18","1 Y 2019-08-19 to 2020-08-18","1 Y 2019-09-17 to 2020-09-18","1 Y 2019-10-17 to 2020-10-18","1 Y 2019-11-18 to 2020-11-18","1 Y 2019-12-17 to 2020-12-18","1 Y 2020-01-17 to 2021-01-18","1 Y 2020-02-17 to 2021-02-18","1 Y 2020-03-17 to 2021-03-18","1 Y 2020-04-17 to 2021-04-18","1 Y 2020-05-18 to 2021-05-18","1 Y 2020-06-17 to 2021-06-18","1 Y 2020-07-17 to 2021-07-18","1 Y 2020-08-17 to 2021-08-18","1 Y 2020-09-17 to 2021-09-18","1 Y 2020-10-19 to 2021-10-18","1 Y 2020-11-17 to 2021-11-18","1 Y 2020-12-17 to 2021-12-18","1 Y 2021-01-18 to 2022-01-18","1 Y 2021-02-17 to 2022-02-18","1 Y 2021-03-17 to 2022-03-18","1 Y 2021-04-19 to 2022-04-18","1 Y 2021-05-17 to 2022-05-18","1 Y 2021-06-17 to 2022-06-18","1 Y 2021-07-19 to 2022-07-18","1 Y 2021-08-17 to 2022-08-18","1 Y 2021-09-17 to 2022-09-18"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",22.078,32.285,36.896,52.043,57.343,48.847,27.558,17.103,21.356,11.454,18.308,12.344,16.679,13.337,1.463,3.226,0.691,0.565,-4.291,4.207,6.738,2.281,6.699,2.273,-10.739,-0.445,22.449,17.978,11.705,16.614,34.666,-14.269,-4.731,-0.02,-10.205,9.562,28.183,43.248,14.187,42.809,38.958,32.971,44.215,126.326,136.346,134.508,80.148,78.844,76.949,86.798,102.231,84.558,48.778,42.164,31.806,31.648,30.939,13.802,-2.444,12.403,15.272,-5.34
"B Annualized Returns",16.071,16.626,20.928,28.487,28.93,30.242,19.339,13.83,15.536,11.278,11.584,9.431,13.391,10.368,1.847,1.194,2.925,-0.899,1.609,10.528,8.412,3.132,5.996,5.135,-7.074,-6.223,11.608,8.533,9.396,11.417,12.616,-21.942,-22.484,-22.41,-15.095,-8.516,2.116,6.162,0.378,8.026,12.991,19.975,27.295,63.83,58.047,69.782,59.634,47.076,48.097,54.042,56.254,41.32,26.913,29.075,14.207,15.699,24.224,9.627,-1.982,1.466,8.914,4.431
"AR DIFF(P-B)",6.007,15.659,15.968,23.556,28.413,18.605,8.219,3.273,5.82,0.176,6.724,2.913,3.288,2.969,-0.384,2.032,-2.234,1.464,-5.9,-6.321,-1.674,-0.851,0.702999999999999,-2.862,-3.665,5.778,10.841,9.445,2.309,5.197,22.05,7.673,17.753,22.39,4.89,18.078,26.067,37.086,13.809,34.783,25.967,12.996,16.92,62.496,78.299,64.726,20.514,31.768,28.852,32.756,45.977,43.238,21.865,13.089,17.599,15.949,6.715,4.175,-0.462,10.937,6.358,-9.771
"P Volatility",12.49,14.73,15.38,14.38,15.07,12.44,12.58,11.03,12.65,14.29,15.62,15.27,15.31,13.81,19.91,18.66,18.21,14.29,16.58,13.91,17.92,16.9,16.05,15.85,15.89,11.37,12.35,16.29,15.96,15.12,15.79,18.37,32.06,37.26,43.21,45.96,38.09,38.7,40.46,39.33,44.39,43.84,39.17,24.76,25.2,22.14,21,20.91,21.34,21.74,18.66,20.72,20.47,14.48,14.48,14.73,14.86,13.73,17.02,18.94,20.97,16.74
"B Volatility",12.41,12.04,12.49,11.43,10.87,9.87,9.88,12.06,12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",0.0800000000000001,2.69,2.89,2.95,4.2,2.57,2.7,-1.03,-0.0700000000000003,1.14,2.64,3.4,1.72,0.48,5.24,2.99,2.13,-1.17,2.04,-0.26,3.22,2.17,1.52,3.04,1.88,-0.870000000000001,0.529999999999999,4.64,4.24,3.53,4.21,7.29,2.7,4.79,10.74,12.4,3.7,4.53,6.47,5.25,8.39,7.24,2.97,8.24,8.28,5.78,5.36,5.52,5.68,6.11,3.02,7.29,6.37,0.640000000000001,3.19,1.2,-0.41,-1.06,0.989999999999998,1.82,3.8,-0.41
"P Tracking Error",5.27,5.75,6.47,6.64,8.37,7.62,10.28,7.06,9.03,8.91,9.25,11.09,11.18,9.19,10.34,11.42,11.33,7.07,7.82,6.22,7.52,6.16,4.25,4.6,6.07,6.54,6.07,9.1,9.71,5.53,8.85,9.46,9.4,12.1,14.61,16.35,14.11,15.89,16.24,15.74,15.31,13.1,10.08,13.43,18.38,13.63,10.16,14.34,14.53,14.23,12.71,13.33,14.34,11.58,12.03,7.94,5.87,4.22,7.59,8.58,8.28,6.15
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
