"","1 Y 2016-11-16 to 2017-11-17","1 Y 2016-12-16 to 2017-12-17","1 Y 2017-01-16 to 2018-01-17","1 Y 2017-02-16 to 2018-02-17","1 Y 2017-03-16 to 2018-03-17","1 Y 2017-04-17 to 2018-04-17","1 Y 2017-05-16 to 2018-05-17","1 Y 2017-06-16 to 2018-06-17","1 Y 2017-07-17 to 2018-07-17","1 Y 2017-08-16 to 2018-08-17","1 Y 2017-09-18 to 2018-09-17","1 Y 2017-10-16 to 2018-10-17","1 Y 2017-11-16 to 2018-11-17","1 Y 2017-12-18 to 2018-12-17","1 Y 2018-01-16 to 2019-01-17","1 Y 2018-02-16 to 2019-02-17","1 Y 2018-03-16 to 2019-03-17","1 Y 2018-04-16 to 2019-04-17","1 Y 2018-05-16 to 2019-05-17","1 Y 2018-06-18 to 2019-06-17","1 Y 2018-07-16 to 2019-07-17","1 Y 2018-08-16 to 2019-08-17","1 Y 2018-09-17 to 2019-09-17","1 Y 2018-10-16 to 2019-10-17","1 Y 2018-11-16 to 2019-11-17","1 Y 2018-12-17 to 2019-12-17","1 Y 2019-01-16 to 2020-01-17","1 Y 2019-02-18 to 2020-02-17","1 Y 2019-03-18 to 2020-03-17","1 Y 2019-04-16 to 2020-04-17","1 Y 2019-05-16 to 2020-05-17","1 Y 2019-06-17 to 2020-06-17","1 Y 2019-07-16 to 2020-07-17","1 Y 2019-08-16 to 2020-08-17","1 Y 2019-09-16 to 2020-09-17","1 Y 2019-10-16 to 2020-10-17","1 Y 2019-11-18 to 2020-11-17","1 Y 2019-12-16 to 2020-12-17","1 Y 2020-01-16 to 2021-01-17","1 Y 2020-02-17 to 2021-02-17","1 Y 2020-03-16 to 2021-03-17","1 Y 2020-04-16 to 2021-04-17","1 Y 2020-05-18 to 2021-05-17","1 Y 2020-06-16 to 2021-06-17","1 Y 2020-07-16 to 2021-07-17","1 Y 2020-08-17 to 2021-08-17","1 Y 2020-09-16 to 2021-09-17","1 Y 2020-10-16 to 2021-10-17","1 Y 2020-11-17 to 2021-11-17","1 Y 2020-12-16 to 2021-12-17","1 Y 2021-01-18 to 2022-01-17","1 Y 2021-02-16 to 2022-02-17","1 Y 2021-03-16 to 2022-03-17","1 Y 2021-04-16 to 2022-04-17","1 Y 2021-05-17 to 2022-05-17","1 Y 2021-06-16 to 2022-06-17","1 Y 2021-07-16 to 2022-07-17","1 Y 2021-08-16 to 2022-08-17","1 Y 2021-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",50.231,51.723,49.224,27.54,18.207,24.518,10.503,13.139,16.538,18.965,15.651,-5.117,1.054,-3.835,-4.156,-6.546,6.602,2.98,0.825,3.146,4.694,-7.822,-6.855,12.315,12.79,14.477,24.738,35.053,-12.127,-11.964,-9.069,-12.132,11.146,30.546,35.815,15.987,34.759,41.047,29.178,46.788,97.919,82.38,102.375,100.119,101.391,72.758,87.552,101.537,92.373,65.75,60.877,28.151,30.708,38.126,15.261,-0.727,12.757,13.676,3.054
"B Annualized Returns",28.118,28.93,28.998,20.609,13.508,15.332,11.833,11.584,8.552,13.389,9.536,1.945,2.112,1.971,-0.19,1.609,10.528,8.623,2.675,8.351,5.828,-5.45,-4.603,6.533,8.533,8.425,11.497,14.205,-20.196,-22.484,-18.273,-14.759,-8.516,2.646,7.195,1.597,6.864,13.166,18.582,27.429,62.399,61.546,70.632,60.176,50.294,47.791,52.789,56.254,42.108,27.171,29.043,13.632,14.049,24.224,6.852,-2.498,1.466,8.47,2.819
"AR DIFF(P-B)",22.113,22.793,20.226,6.931,4.699,9.186,-1.33,1.555,7.986,5.576,6.115,-7.062,-1.058,-5.806,-3.966,-8.155,-3.926,-5.643,-1.85,-5.205,-1.134,-2.372,-2.252,5.782,4.257,6.052,13.241,20.848,8.069,10.52,9.204,2.627,19.662,27.9,28.62,14.39,27.895,27.881,10.596,19.359,35.52,20.834,31.743,39.943,51.097,24.967,34.763,45.283,50.265,38.579,31.834,14.519,16.659,13.902,8.409,1.771,11.291,5.206,0.235
"P Volatility",14.73,14.7,13.55,14.25,14.09,14.43,13.48,14.22,14.02,14.77,14.95,17.2,20.58,15.62,17.46,16.62,18.42,14.8,15.79,16.37,15.88,16.13,11.92,10.68,15.83,14.59,16.22,16.02,20.27,33.15,43.77,43,43.36,43.98,42.28,40.59,38.08,38.04,40.33,39.22,24.6,21.54,22.68,21.23,21.09,22.39,23,19.28,18.98,18.83,19.78,15.18,14.34,16.98,14.28,15.62,17.7,17.76,18.47
"B Volatility",11.43,10.87,9.87,9.88,12.06,12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",3.3,3.83,3.68,4.37,2.03,1.71,0.33,1.24,2.15,1.18,1.62,2.53,4.91,-0.459999999999999,2,2.08,4.25,0.100000000000001,1.06,1.84,3.07,2.12,-0.32,-1.14,4.18,2.87,4.63,4.44,9.19,3.79,11.3,10.53,9.8,9.59,8.11,6.6,4,2.04,3.73,3.02,8.08,4.62,6.32,5.59,5.7,6.73,7.37,3.64,5.55,4.73,5.94,3.89,0.81,1.71,-0.51,-0.410000000000002,0.579999999999998,0.59,1.32
"P Tracking Error",7.34,7.59,9.27,11.12,10.03,10.05,8.39,8.8,8.62,11.42,10.44,10.65,13.86,10.83,11.6,8.67,9.68,8.36,4.29,4.81,4.39,3.37,6.82,5.68,9.06,8.72,10.28,10.9,11.6,9.15,15.53,13.54,15.89,16.1,16.3,15.21,13.84,13.94,12.66,12.21,13.71,12.3,12.55,12.45,12.35,12.77,14.31,13.36,14.03,13.88,15.01,12.39,6.96,8.24,7.97,5.29,6.89,5.97,7.43
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
