"","2 Y 2017-02-14 to 2019-02-15","2 Y 2017-03-14 to 2019-03-15","2 Y 2017-04-17 to 2019-04-15","2 Y 2017-05-15 to 2019-05-15","2 Y 2017-06-14 to 2019-06-15","2 Y 2017-07-14 to 2019-07-15","2 Y 2017-08-14 to 2019-08-15","2 Y 2017-09-14 to 2019-09-15","2 Y 2017-10-16 to 2019-10-15","2 Y 2017-11-14 to 2019-11-15","2 Y 2017-12-14 to 2019-12-15","2 Y 2018-01-15 to 2020-01-15","2 Y 2018-02-14 to 2020-02-15","2 Y 2018-03-14 to 2020-03-15","2 Y 2018-04-16 to 2020-04-15","2 Y 2018-05-14 to 2020-05-15","2 Y 2018-06-14 to 2020-06-15","2 Y 2018-07-16 to 2020-07-15","2 Y 2018-08-14 to 2020-08-15","2 Y 2018-09-14 to 2020-09-15","2 Y 2018-10-15 to 2020-10-15","2 Y 2018-11-14 to 2020-11-15","2 Y 2018-12-14 to 2020-12-15","2 Y 2019-01-14 to 2021-01-15","2 Y 2019-02-14 to 2021-02-15","2 Y 2019-03-14 to 2021-03-15","2 Y 2019-04-15 to 2021-04-15","2 Y 2019-05-14 to 2021-05-15","2 Y 2019-06-14 to 2021-06-15","2 Y 2019-07-15 to 2021-07-15","2 Y 2019-08-14 to 2021-08-15","2 Y 2019-09-16 to 2021-09-15","2 Y 2019-10-14 to 2021-10-15","2 Y 2019-11-14 to 2021-11-15","2 Y 2019-12-16 to 2021-12-15","2 Y 2020-01-14 to 2022-01-15","2 Y 2020-02-14 to 2022-02-15","2 Y 2020-03-16 to 2022-03-15","2 Y 2020-04-15 to 2022-04-15","2 Y 2020-05-14 to 2022-05-15","2 Y 2020-06-15 to 2022-06-15","2 Y 2020-07-14 to 2022-07-15","2 Y 2020-08-14 to 2022-08-15","2 Y 2020-09-14 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",10.415,13.441,14.704,7.31,8.683,9.142,8.776,6.542,4.618,8.613,8.103,5.434,11.127,-4.487,-7.189,-3.098,-5.391,2.739,1.819,9.038,13.174,13.854,19.701,21.877,30.263,32.061,28.786,49.791,55.18,44.77,40.631,60.307,59.246,56.803,53.087,51.256,41.734,68.934,81.154,47.869,31.008,30.574,35.422,50.492
"B Annualized Returns",9.634,11.059,11.549,7.384,9.936,6.793,3.581,2.78,3.632,5.997,5.96,5.178,6.121,-5.225,-10.084,-8.582,-5.124,-2.049,-0.913,-0.486,5.722,8.545,10.758,14.975,18.469,15.038,10.471,15.547,17.05,17.462,22.369,26.067,27.337,23.497,20.884,22.038,18.719,35.681,41.06,31.954,26.962,23.487,26.092,26.585
"AR DIFF(P-B)",0.780999999999999,2.382,3.155,-0.0740000000000007,-1.253,2.349,5.195,3.762,0.986,2.616,2.143,0.256,5.006,0.738,2.895,5.484,-0.267,4.788,2.732,9.524,7.452,5.309,8.943,6.902,11.794,17.023,18.315,34.244,38.13,27.308,18.262,34.24,31.909,33.306,32.203,29.218,23.015,33.253,40.094,15.915,4.046,7.087,9.33,23.907
"P Volatility",15.43,15.14,16.4,15.34,15.16,15.43,17.21,15.92,13.67,15.11,16.04,14.67,15.34,15.05,23.24,26.56,26.48,26.67,26.7,26.19,26.38,26.34,27.13,32.08,30.54,35,32.54,36.86,38.09,35.84,33.43,36.15,33.93,33.69,34.63,34.26,29.89,23.28,21.75,19.48,20.71,19.25,20.34,23.34
"B Volatility",12.99,12.9,13.37,13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",2.44,2.24,3.03,2.01,1.87,2.68,3.55,2.29,0.35,1.61,2.57,1.47,2.71,2.29,0.449999999999999,2.14,2.08,2.01,1.56,1.48,1.97,2,1.59,6.11,4.56,8.6,5.97,10.3,11.45,9.86,7.54,9.98,7.78,7.53,8.13,7.8,3.75,6.46,5.74,3.55,4.49,2.66,3.15,6.26
"P Tracking Error",8.49,9.7,9.46,8.7,9.03,9.23,9.94,9,7.26,8.87,10.1,8.18,8.38,8.46,8.03,8.63,7.19,7.23,7.3,8.32,7.5,9.88,8.64,10.09,10.67,12.71,13.32,20.29,20.27,18.61,13.9,18.59,15.77,15.78,16.76,15.83,11.18,14.47,14.33,10.55,10.7,8.72,8.5,11.4
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
