"","2 Y 2017-11-14 to 2019-11-15","2 Y 2017-12-14 to 2019-12-15","2 Y 2018-01-15 to 2020-01-15","2 Y 2018-02-14 to 2020-02-15","2 Y 2018-03-14 to 2020-03-15","2 Y 2018-04-16 to 2020-04-15","2 Y 2018-05-14 to 2020-05-15","2 Y 2018-06-14 to 2020-06-15","2 Y 2018-07-16 to 2020-07-15","2 Y 2018-08-14 to 2020-08-15","2 Y 2018-09-14 to 2020-09-15","2 Y 2018-10-15 to 2020-10-15","2 Y 2018-11-14 to 2020-11-15","2 Y 2018-12-14 to 2020-12-15","2 Y 2019-01-14 to 2021-01-15","2 Y 2019-02-14 to 2021-02-15","2 Y 2019-03-14 to 2021-03-15","2 Y 2019-04-15 to 2021-04-15","2 Y 2019-05-14 to 2021-05-15","2 Y 2019-06-14 to 2021-06-15","2 Y 2019-07-15 to 2021-07-15","2 Y 2019-08-14 to 2021-08-15","2 Y 2019-09-16 to 2021-09-15","2 Y 2019-10-14 to 2021-10-15","2 Y 2019-11-14 to 2021-11-15","2 Y 2019-12-16 to 2021-12-15","2 Y 2020-01-14 to 2022-01-15","2 Y 2020-02-14 to 2022-02-15","2 Y 2020-03-16 to 2022-03-15","2 Y 2020-04-15 to 2022-04-15","2 Y 2020-05-14 to 2022-05-15","2 Y 2020-06-15 to 2022-06-15","2 Y 2020-07-14 to 2022-07-15","2 Y 2020-08-14 to 2022-08-15","2 Y 2020-09-14 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",4.901,4.822,3.393,7.997,-2.188,-3.741,-0.816,-0.93,2.326,6.314,9.821,13.16,17.472,19.034,24.506,33.231,31.244,25.541,34.408,36.561,27.301,35.365,48.44,51.011,46.308,41.804,44.228,41.405,65.421,76.503,66.982,52.402,51.375,59.26,50.749
"B Annualized Returns",5.997,5.96,5.178,6.121,-5.225,-10.084,-8.582,-5.124,-2.049,-0.913,-0.486,5.722,8.545,10.758,14.975,18.469,15.038,10.471,15.547,17.05,17.462,22.369,26.067,27.337,23.497,20.884,22.038,18.719,35.681,41.06,31.954,26.962,23.487,26.092,26.585
"AR DIFF(P-B)",-1.096,-1.138,-1.785,1.876,3.037,6.343,7.766,4.194,4.375,7.227,10.307,7.438,8.927,8.276,9.531,14.762,16.206,15.07,18.861,19.511,9.839,12.996,22.373,23.674,22.811,20.92,22.19,22.686,29.74,35.443,35.028,25.44,27.888,33.168,24.164
"P Volatility",15.07,14.72,15.31,15.28,15.73,24.24,28.64,28.39,27.67,27.56,26.62,25.63,25.76,28.08,27.38,27.32,31.13,30.99,32.18,32.15,30.86,29.36,31.05,32.88,33.67,32.88,33.38,31.74,22.08,19.5,21.57,22.79,23.07,24.33,23.34
"B Volatility",13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",1.57,1.25,2.11,2.65,2.97,1.45,4.22,3.99,3.01,2.42,1.91,1.22,1.42,2.54,1.41,1.34,4.73,4.42,5.62,5.51,4.88,3.47,4.88,6.73,7.51,6.38,6.92,5.6,5.26,3.49,5.64,6.57,6.48,7.14,6.26
"P Tracking Error",9.1,8.91,8.17,8.4,9.35,8.49,9.16,8.74,8.08,7.97,9.08,7.66,9.83,8.97,8.28,7.71,9.98,10.87,11.21,11.5,11.16,10.67,11.48,12.44,13.52,13,14.82,13.4,12.39,11.19,13.34,13.06,12.04,12.9,11.65
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
