"","3 Y 2018-05-15 to 2021-05-16","3 Y 2018-06-15 to 2021-06-16","3 Y 2018-07-16 to 2021-07-16","3 Y 2018-08-16 to 2021-08-16","3 Y 2018-09-17 to 2021-09-16","3 Y 2018-10-15 to 2021-10-16","3 Y 2018-11-15 to 2021-11-16","3 Y 2018-12-17 to 2021-12-16","3 Y 2019-01-15 to 2022-01-16","3 Y 2019-02-15 to 2022-02-16","3 Y 2019-03-15 to 2022-03-16","3 Y 2019-04-15 to 2022-04-16","3 Y 2019-05-15 to 2022-05-16","3 Y 2019-06-17 to 2022-06-16","3 Y 2019-07-15 to 2022-07-16","3 Y 2019-08-16 to 2022-08-16","3 Y 2019-09-16 to 2022-09-16"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",31.444,32.159,30.931,28.016,32.584,37.159,35.28,34.186,35.764,35.696,33.031,32.542,31.053,26.556,29.734,40.356,41.937
"B Annualized Returns",10.832,13.38,13.34,12.65,15.172,19.884,19.211,16.323,18.431,17.785,13.23,14.883,12.774,10.787,11.663,17.502,18.287
"AR DIFF(P-B)",20.612,18.779,17.591,15.366,17.412,17.275,16.069,17.863,17.333,17.911,19.801,17.659,18.279,15.769,18.071,22.854,23.65
"P Volatility",27.47,27.6,27.83,26.3,26.11,26.56,24.84,25.3,25.32,25.67,26.06,26.18,26.83,27.59,27.55,28.2,27.75
"B Volatility",22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",4.63,4.72,5.22,3.72,3.68,4.45,2.77,2.98,3.05,3.43,3.46,3.26,3.9,4.41,4.49,4.87,4.49
"P Tracking Error",12.54,12.28,11.52,11.15,10.1,10.02,10.35,10.22,10.45,10.85,11.05,10.85,11.44,11.26,11.53,11.76,11.8
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.64,1.53,1.53,1.38,1.72,1.72,1.55,1.75,1.66,1.65,1.79,1.63,1.6,1.4,1.57,1.94,2
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.4,1.29,1.2,1.15,1.17,0.99,1.04,1.28,1.18,1.19,1.39,1.26,1.42,1.12,1.19,1.38,1.62
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.07,1.08,1.13,1.06,1.08,1.12,1.02,1.04,1.04,1.05,1.05,1.04,1.06,1.09,1.09,1.1,1.08
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",78.91,80.09,83.44,81.72,85.02,86.33,82.16,83.31,82.57,81.75,81.61,82.43,81.54,83.43,82.54,82.85,81.86
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-36.126,-36.4239,-36.8402,-35.2442,-36.1187,-35.7093,-33.7315,-34.0622,-33.2865,-34.135,-34.0727,-34.3756,-35.5918,-36.2137,-36.795,-36.8363,-36.1279
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",2.1795,1.8816,1.4653,3.0613,2.18680000000001,2.5962,4.57400000000001,4.2433,5.01900000000001,4.1705,4.2328,3.9299,2.7137,2.0918,1.5105,1.4692,2.17760000000001
