"","1 Y 2018-05-15 to 2019-05-16","1 Y 2018-06-15 to 2019-06-16","1 Y 2018-07-16 to 2019-07-16","1 Y 2018-08-16 to 2019-08-16","1 Y 2018-09-17 to 2019-09-16","1 Y 2018-10-15 to 2019-10-16","1 Y 2018-11-15 to 2019-11-16","1 Y 2018-12-17 to 2019-12-16","1 Y 2019-01-15 to 2020-01-16","1 Y 2019-02-15 to 2020-02-16","1 Y 2019-03-15 to 2020-03-16","1 Y 2019-04-15 to 2020-04-16","1 Y 2019-05-15 to 2020-05-16","1 Y 2019-06-17 to 2020-06-16","1 Y 2019-07-15 to 2020-07-16","1 Y 2019-08-16 to 2020-08-16","1 Y 2019-09-16 to 2020-09-16","1 Y 2019-10-15 to 2020-10-16","1 Y 2019-11-15 to 2020-11-16","1 Y 2019-12-16 to 2020-12-16","1 Y 2020-01-15 to 2021-01-16","1 Y 2020-02-17 to 2021-02-16","1 Y 2020-03-16 to 2021-03-16","1 Y 2020-04-15 to 2021-04-16","1 Y 2020-05-15 to 2021-05-16","1 Y 2020-06-15 to 2021-06-16","1 Y 2020-07-15 to 2021-07-16","1 Y 2020-08-17 to 2021-08-16","1 Y 2020-09-15 to 2021-09-16","1 Y 2020-10-15 to 2021-10-16","1 Y 2020-11-17 to 2021-11-16","1 Y 2020-12-15 to 2021-12-16","1 Y 2021-01-15 to 2022-01-16","1 Y 2021-02-15 to 2022-02-16","1 Y 2021-03-15 to 2022-03-16","1 Y 2021-04-15 to 2022-04-16","1 Y 2021-05-17 to 2022-05-16","1 Y 2021-06-15 to 2022-06-16","1 Y 2021-07-15 to 2022-07-16","1 Y 2021-08-16 to 2022-08-16","1 Y 2021-09-15 to 2022-09-16"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",4.763,3.929,4.956,-7.852,-4.973,9.164,3.456,5.234,0.18,4.446,-22.135,-32.939,-27.971,-17.032,-11.288,-2.393,6.391,-1.626,-1.503,11.032,12.616,35.924,121.85,138.342,171.16,138.308,110.482,76.827,76.871,127.823,90.05,43.535,31.755,16.656,10.402,24.63,4.709,-3.096,0.862,11.202,0.463
"B Annualized Returns",1.37,8.351,5.105,-5.45,-4.847,7.041,9.844,7.743,11.404,14.205,-17.106,-23.585,-17.557,-15.54,-9.3,2.646,4.61,1.597,6.864,13.216,18.662,27.504,62.659,62.758,70.632,62.645,51.683,46.935,53.005,58.189,42.975,28.197,29.043,13.813,11.841,22.109,6.499,-1.087,0.495,7.389,3.402
"AR DIFF(P-B)",3.393,-4.422,-0.149,-2.402,-0.125999999999999,2.123,-6.388,-2.509,-11.224,-9.759,-5.029,-9.354,-10.414,-1.492,-1.988,-5.039,1.781,-3.223,-8.367,-2.184,-6.046,8.42,59.191,75.584,100.528,75.663,58.799,29.892,23.866,69.634,47.075,15.338,2.712,2.843,-1.439,2.521,-1.79,-2.009,0.367,3.813,-2.939
"P Volatility",13.38,13.79,13.39,12.71,13.2,15.77,16.91,16.47,18.12,20.05,19.13,32.46,44.59,44.3,45.5,48.47,49.01,47.2,46.75,53,52.6,51.64,33.93,32.54,31.7,29.12,25.77,29.73,27.41,26.33,21.97,20.19,20.61,18.97,20.36,21.77,19.58,19.36,22.77,23.88,18.45
"B Volatility",14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",-1.35,-0.74,0.58,-1.3,0.959999999999999,3.95,5.26,4.75,6.53,8.47,8.05,3.1,12.12,11.83,11.94,14.08,14.84,13.21,12.67,17,16,15.44,17.41,15.62,15.34,13.48,10.38,14.07,11.78,10.69,8.54,6.09,6.77,7.68,6.83,6.5,4.79,3.33,5.65,6.71,1.3
"P Tracking Error",13.66,13.05,8.83,7.61,7.44,6.58,10.42,8.06,9.5,11.96,12.68,12.25,18.41,18.25,20.69,20.26,21.69,20.21,20.54,24.42,23.04,21.66,23.6,22.54,23.22,21.21,17.21,18.53,18.77,18.12,17.44,15.39,15.05,16.24,14.98,16.06,14.07,14.62,16.12,15.4,8.66
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
