"","1 Y 2017-01-24 to 2018-01-25","1 Y 2017-02-27 to 2018-02-25","1 Y 2017-03-24 to 2018-03-25","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",39.319,36.124,20.536,12.269,14.71,12.688,5.404,16.004,3.66,-6.423,-2.188,-9.843,-9.311,-1.397,1.297,-1.43,4.204,-0.272,-8.99,-16.736,1.455,17.483,12.343,36.709,51.657,40.521,-5.529,-18.56,-17.475,4.807,31.286,51.318,52.7,39.933,54.787,45.043,44.803,74.331,175.841,140.25,155.683,116.888,116.683,92.419,133.179,126.327,102.217,65.629,77.767,33.994,34.39,31.16
"B Annualized Returns",31.933,16.97,12.142,15.147,12.118,12.507,10.243,15.641,9.27,-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",7.386,19.154,8.394,-2.878,2.592,0.181000000000001,-4.839,0.363000000000001,-5.61,-5.05,-2.361,-11.945,-5.48,-1.279,-10.457,-9.268,-4.524,-7.187,-8.744,-6.83,-3.293,5.778,1.726,24.844,40.732,32.46,26.243,2.078,6.157,17.21,32.007,47.28,58.337,37.64,46.834,32.319,24.331,47.023,88.411,84.158,86.358,63.024,71.225,47.139,67.16,69.621,66.706,41.118,54.408,25.44,15.865,9.07
"P Volatility",14.59,15.02,16.27,16.65,16.26,17.55,18.15,17.65,18.97,23.29,23.55,17.59,20.33,18.86,17.82,18.06,17.86,17.2,14.91,18.26,11.44,14.2,15.84,19.72,19.83,19.27,25.13,37.51,43.01,38.68,41.39,47.12,43.3,45.45,41.39,44.62,45.62,46.37,26.24,28.43,26.93,24.26,26.89,24.86,30.2,28.36,27.08,21.13,27.35,21.68,18.01,16.79
"B Volatility",9.87,9.88,12.06,12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",4.72,5.14,4.21,3.93,3.11,4.57,6.28,4.06,5.64,8.62,7.88,1.51,4.87,4.32,3.65,3.36,3.13,2.67,2.1,4.25,-0.800000000000001,2.38,4.19,8,8.24,7.69,14.05,8.15,10.54,6.21,7.83,12.73,9.13,11.46,7.31,8.62,9.02,10.17,9.72,11.51,10.57,8.62,11.5,9.2,14.57,12.72,13.65,7.03,13.51,10.39,4.48,1.52
"P Tracking Error",10.86,11.25,12.36,12.35,9.84,11.23,13.05,13.61,13.76,14.51,16.49,13.21,13.98,9.53,10.65,9.96,8.04,7.21,6.84,7.14,8.44,8.16,10.63,13.67,15.65,15.1,18.11,12.87,14.52,12,15.57,20.21,18.53,20.86,17.67,18.33,17.38,17.34,16.45,20.19,18.28,17.19,20.1,16.31,22.81,22.81,22.73,18.83,22.78,20.11,10.21,8.48
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
