"","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",9.402,15.669,7.796,-9.114,-3.136,-4.211,-5.597,-2.318,8.03,3.833,4.772,-0.197,-4.939,-17.467,-5.196,12.536,11.209,12.726,25.13,21.058,-17.828,-18.547,-19.426,37.481,7.715,19.99,13.623,44.552,51.981,50.797,51.029,87.97,164.658,144.218,158.039,115.537,136.748,99.194,148.615,135.308,112.101,77.731,62.085,44.162,40.538,36.135
"B Annualized Returns",10.243,15.641,9.27,-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",-0.841000000000001,0.0280000000000005,-1.474,-7.741,-3.309,-6.313,-1.766,-2.2,-3.724,-4.005,-3.956,-7.112,-4.693,-7.561,-9.944,0.831,0.591999999999999,0.861000000000001,14.205,12.997,13.944,2.091,4.206,49.884,8.436,15.952,19.26,42.259,44.028,38.073,30.557,60.662,77.228,88.126,88.714,61.673,91.29,53.914,82.596,78.602,76.59,53.22,38.726,35.608,22.013,14.045
"P Volatility",16.48,18.47,21.72,23.07,20.74,20.62,19.17,18.31,19.1,16.48,15.65,16.77,14.68,17.78,13.05,14.42,17.32,17.74,18.45,14.95,17.93,35.24,43.25,46.02,41.8,43.88,43.6,48.35,45.57,48.13,46.78,49.1,25.67,25,27.81,21.62,24.49,24.16,31.03,31.91,28.65,21.43,23.08,20.99,18.32,18.53
"B Volatility",11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",4.61,4.88,8.39,8.4,5.07,4.54,3.71,3.77,4.93,1.78,0.92,2.24,1.87,3.77,0.81,2.6,5.67,6.02,6.86,3.37,6.85,5.88,10.78,13.55,8.23999999999999,9.49,9.43,14.36,11.49,12.13,10.18,12.9,9.15,8.08,11.45,5.98,9.1,8.5,15.4,16.27,15.22,7.33,9.24,9.7,4.79,3.26
"P Tracking Error",12.16,15.08,15.6,14.94,14.79,14.46,10.71,10.04,12.72,8.67,8.69,9.15,8.81,6.72,7.78,7.55,10.12,10.23,11.14,10.2,10.81,11.68,15.36,20.46,15.15,17.11,16.56,23.8,19.21,20.5,19.9,20.05,16.56,18.28,19.27,16.19,17.65,16.07,22.72,24.55,23.48,17.33,19.13,19.3,11.54,9.91
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.07,0,-0.09,-0.52,-0.22,-0.44,-0.16,-0.22,-0.29,-0.46,-0.46,-0.78,-0.53,-1.13,-1.28,0.11,0.06,0.08,1.28,1.27,1.29,0.18,0.27,2.44,0.56,0.93,1.16,1.78,2.29,1.86,1.54,3.03,4.66,4.82,4.6,3.81,5.17,3.35,3.64,3.2,3.26,3.07,2.02,1.84,1.91,1.42
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.06,-0.16,-0.18,-1.09,-0.12,-0.53,0.01,0.09,0.16,-0.31,-0.04,-0.67,-0.23,-1.01,-0.62,-0.4,0.19,-0.02,0.43,0.93,0.98,0.74,1.51,3.38,1.69,0.8,1.77,3.59,2.62,2.91,2.13,2.92,2.53,4.02,2.81,3.61,4.6,2.46,2.65,2.51,2.6,3.78,2.73,3.32,1.14,0.82
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.94,0.81,1.14,1.22,0.93,0.92,1.03,1.05,1,0.96,0.89,0.97,0.92,1.19,0.87,1.04,1.23,1.26,1.31,0.95,1.33,1.14,1.28,1.31,1.17,1.19,1.2,1.27,1.24,1.23,1.17,1.27,1.2,1.01,1.25,0.92,1.11,1.16,1.41,1.35,1.25,0.9,0.93,0.77,1.05,1.03
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",39.75,28.17,43.52,55.56,43.8,45.79,65.4,66.82,50.66,69.46,66.89,67.04,60.49,86.59,62.27,69.64,64.62,66.49,63.53,48.46,64.35,89.33,90.72,83.22,87.59,85.56,86.61,76.98,83.69,83.19,81.84,85.77,55.64,40.61,49.04,38.05,42.81,52.13,45.26,37.45,26.8,27.8,23.79,7.79,56.05,68.25
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-12.5393,-12.7973,-14.4579,-16.5412,-16.0918,-16.7504,-16.9393,-15.8858,-16.1092,-17.5387,-16.4084,-17.3871,-15.1238,-19.1412,-14.5011,-13.2785,-13.6421,-13.7482,-14.3599,-11.9509,-36.7922,-38.8436,-40.2624,-40.4449,-38.8469,-41.9376,-40.8129,-40.9987,-41.4168,-40.4773,-39.8403,-37.4794,-8.5033,-8.8052,-8.8641,-8.2909,-8.7836,-8.4898,-13.0007,-12.9276,-12.3025,-10.6459,-9.5293,-11.7614,-9.7097,-10.949
"B Max Drawdown",-9.3683,-9.3683,-9.3683,-13.7493,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-12.5,-14.3334,-14.3333
"MD DIFF(P-B)",-3.171,-3.429,-5.0896,-2.7919,-2.1129,-2.7715,-2.9604,-1.9069,-2.1303,-3.5598,-2.4295,-3.4082,-1.1449,-5.1623,-3.2236,-2.001,-2.3646,-2.4707,-3.0824,-0.673400000000001,1.5133,-0.5381,-1.9569,-2.13939999999999,-0.541399999999996,-3.6321,-2.5074,-2.6932,-3.1113,-2.1718,-2.2335,-2.0269,-1.1562,-1.4581,-1.9623,-1.3891,-1.8818,-1.588,-6.6632,-6.5901,-5.965,-0.403699999999999,0.712900000000001,0.7386,4.6237,3.3843
