"","2 Y 2019-07-23 to 2021-07-24","2 Y 2019-08-23 to 2021-08-24","2 Y 2019-09-23 to 2021-09-24","2 Y 2019-10-23 to 2021-10-24","2 Y 2019-11-25 to 2021-11-24","2 Y 2019-12-23 to 2021-12-24","2 Y 2020-01-23 to 2022-01-24","2 Y 2020-02-24 to 2022-02-24","2 Y 2020-03-23 to 2022-03-24","2 Y 2020-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",55.051,58.342,61.164,65.191,62.552,54.84,54.705,50.522,114.851,94.447
"B Annualized Returns",18.891,22.471,24.235,25.403,21.266,18.759,21.249,20.369,50.803,37.754
"AR DIFF(P-B)",36.16,35.871,36.929,39.788,41.286,36.081,33.456,30.153,64.048,56.693
"P Volatility",33.94,35.91,33.68,35.37,34.49,33.79,34.09,33.6,26.72,23.23
"B Volatility",25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",7.96,10.02,7.51,9.22,8.33,7.29,7.63,7.46,9.9,7.22
"P Tracking Error",16.29,18.36,16.54,17.11,16.56,16.35,16.71,16.11,17.4,15.63
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",2.22,1.95,2.23,2.33,2.49,2.21,2,1.87,3.68,3.63
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",2.46,2.07,2.39,1.78,2.08,2.37,2.15,2.57,2.96,2.68
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.16,1.21,1.13,1.2,1.17,1.12,1.13,1.14,1.23,1.08
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",77.36,75.02,75.79,77.79,77.59,76.44,75.91,77.08,57.68,52.87
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-38.183,-39.8667,-37.4153,-39.6946,-38.8348,-38.6608,-38.6609,-35.3231,-13.4357,-14.4458
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.6583,-14.3334,-14.3334
"MD DIFF(P-B)",0.122500000000002,-1.5612,0.8902,-1.3891,-0.529299999999999,-0.3553,-1.0541,0.3352,0.897699999999999,-0.112400000000001
