"","2 Y 2018-01-23 to 2020-01-24","2 Y 2018-02-23 to 2020-02-24","2 Y 2018-03-23 to 2020-03-24","2 Y 2018-04-23 to 2020-04-24","2 Y 2018-05-23 to 2020-05-24","2 Y 2018-06-25 to 2020-06-24","2 Y 2018-07-23 to 2020-07-24","2 Y 2018-08-23 to 2020-08-24","2 Y 2018-09-24 to 2020-09-24","2 Y 2018-10-23 to 2020-10-24","2 Y 2018-11-26 to 2020-11-24","2 Y 2018-12-24 to 2020-12-24","2 Y 2019-01-23 to 2021-01-24","2 Y 2019-02-25 to 2021-02-24","2 Y 2019-03-25 to 2021-03-24","2 Y 2019-04-23 to 2021-04-24","2 Y 2019-05-23 to 2021-05-24","2 Y 2019-06-24 to 2021-06-24","2 Y 2019-07-23 to 2021-07-24","2 Y 2019-08-23 to 2021-08-24","2 Y 2019-09-23 to 2021-09-24","2 Y 2019-10-23 to 2021-10-24","2 Y 2019-11-25 to 2021-11-24","2 Y 2019-12-23 to 2021-12-24","2 Y 2020-01-23 to 2022-01-24","2 Y 2020-02-24 to 2022-02-24","2 Y 2020-03-23 to 2022-03-24","2 Y 2020-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",8.231,8.726,-11.45,-2.448,0.23,3.53,4.119,3.041,4.002,11.699,13.671,18.307,26.099,38.92,38.974,35.759,41.171,45.872,40.261,46.693,58.472,66.417,60.729,65.107,61.738,58.967,104.407,99.065
"B Annualized Returns",3.253,5.693,-14.526,-7.489,-7.332,-2.111,-0.484,-1.85,0.185,7.313,9.236,11.687,15.261,16.143,14.115,11.458,13.695,16.263,18.891,22.471,24.235,25.403,21.266,18.759,21.249,20.369,50.803,37.754
"AR DIFF(P-B)",4.978,3.033,3.076,5.041,7.562,5.641,4.603,4.891,3.817,4.386,4.435,6.62,10.838,22.777,24.859,24.301,27.476,29.609,21.37,24.222,34.237,41.014,39.463,46.348,40.489,38.598,53.604,61.311
"P Volatility",17.32,16.04,17.75,26.03,29.99,29.77,29.08,30.77,30.08,28.45,29.1,32.1,30.27,32.09,36.03,32.78,34.69,34.09,31.08,32.87,34.55,36.83,37.76,39.63,36.31,36.16,23.45,21.27
"B Volatility",13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",4.12,3.41,4.99,3.24,5.57,5.37,4.42,5.63,5.37,4.04,4.76,6.56,4.3,6.11,9.63,6.21,8.13,7.45,5.1,6.98,8.38,10.68,11.6,13.13,9.85,10.02,6.63,5.26
"P Tracking Error",11.41,10.19,11.51,10.74,11.19,10.58,10.98,10.52,11.01,9.83,10.65,12.22,11.15,11.98,14.56,13.13,15.18,14.55,11.92,13.83,15.71,18.44,19.19,22.32,20.64,19.8,15.4,14.97
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.44,0.3,0.27,0.47,0.68,0.53,0.42,0.46,0.35,0.45,0.42,0.54,0.97,1.9,1.71,1.85,1.81,2.03,1.79,1.75,2.18,2.22,2.06,2.08,1.96,1.95,3.48,4.1
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.32,0.24,0.15,0.44,0.93,0.67,0.74,0.22,0.63,0.44,0.26,0.38,0.63,0.99,1.26,1.69,1.75,1.77,1.46,1.46,2.14,1.87,1.92,2.8,2.35,3.02,3.01,2.96
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.99,0.98,1.06,1.04,1.15,1.15,1.1,1.16,1.14,1.1,1.12,1.18,1.09,1.16,1.28,1.14,1.19,1.17,1.11,1.16,1.19,1.24,1.27,1.26,1.14,1.17,1.05,0.94
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",54.53,57.73,56.11,82.31,86.96,88.35,85.78,89.59,87.37,88.23,87,86.87,86.35,87.07,87.27,84.52,82.14,82.76,85.49,83.2,80.53,76.86,76.71,70.01,67.18,70.15,54.95,48.27
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-15.7954,-14.7387,-38.1073,-36.9717,-37.4516,-37.4571,-35.7571,-38.0187,-37.3136,-37.6446,-38.5428,-39.2006,-36.5291,-37.8225,-39.4797,-37.9615,-39.1968,-38.601,-38.1827,-40.5029,-41.1557,-42.6529,-42.3003,-43.0403,-40.8336,-39.1722,-10.9384,-12.7604
"B Max Drawdown",-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.6583,-14.3334,-14.3334
"MD DIFF(P-B)",-1.8165,-0.7598,0.1982,1.3338,0.853900000000003,0.848400000000005,2.5484,0.286799999999999,0.991900000000001,0.660900000000005,-0.237299999999998,-0.895099999999999,1.7764,0.483000000000004,-1.1742,0.344000000000001,-0.891300000000001,-0.295499999999997,0.122800000000005,-2.19739999999999,-2.8502,-4.3474,-3.9948,-4.7348,-3.2268,-3.5139,3.395,1.573
