"","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",3.003,4.217,6.863,14.065,14.528,20.907,24.866,36.888,35.855,39.55,45.147,49.777,53.805,63.87,68.494,60.483,56.79,50.285,47.951,48.447,93.685,97.407
"B Annualized Returns",-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",3.487,5.956,8.574,7.163,4.794,9.22,9.632,19.797,22.771,28.731,31.776,33.682,34.47,40.9,44.259,34.862,35.84,30.853,28.767,30.889,44.637,59.21
"P Volatility",30.14,30.99,29.78,29.46,30.2,30.78,32.7,33.18,34.97,35.07,34.79,35.8,35.14,35.51,37.11,34.58,33.68,34.39,34.94,34.19,23.57,24.55
"B Volatility",24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",5.48,5.85,5.07,5.05,5.86,5.24,6.73,7.2,8.57,8.5,8.23,9.16,9.16,9.62,10.94,8.43,7.52,7.89,8.48,8.05,6.75,8.54
"P Tracking Error",11.87,10.59,10.85,9.86,10.87,11.07,12.17,12.95,14.03,16.53,16.03,16.97,16.94,17.41,17.71,15.58,14.95,15.52,16.25,15.39,15.18,17.25
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.29,0.56,0.79,0.73,0.44,0.83,0.79,1.53,1.62,1.74,1.98,1.98,2.03,2.35,2.5,2.24,2.4,1.99,1.77,2.01,2.94,3.43
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.69,0.37,0.69,0.62,0.38,0.57,0.46,0.73,1.21,1.9,1.92,2.19,2.31,2.33,2.62,1.53,1.78,2.06,1.86,2.12,2.59,2.83
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.13,1.17,1.13,1.15,1.17,1.13,1.18,1.19,1.24,1.18,1.18,1.2,1.2,1.21,1.28,1.2,1.17,1.17,1.18,1.18,1.08,1.1
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",84.93,89.79,87.32,89.82,88.39,87.72,87.69,86.4,86.47,78.61,79.64,78.78,77.98,77.39,80.13,81.04,81.1,80.48,79.37,80.79,56.89,48.71
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-36.9083,-38.1245,-37.3267,-37.7229,-38.6711,-37.3834,-38.5662,-38.3618,-38.0012,-37.6921,-38.4419,-38.8327,-39.5328,-40.4968,-41.591,-41.7951,-39.4025,-42.0744,-41.576,-37.0561,-13.7449,-12.5247
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",1.39720000000001,0.181000000000004,0.9788,0.582599999999999,-0.365600000000001,0.9221,-0.2607,-0.0563000000000002,0.304300000000005,0.613399999999999,-0.136399999999995,-0.527200000000001,-1.2273,-2.1913,-3.2855,-3.4896,-1.097,-3.7689,-3.9692,-1.6036,0.5885,1.8087
