"","3 Y 2016-10-24 to 2019-10-25","3 Y 2016-11-24 to 2019-11-25","3 Y 2016-12-26 to 2019-12-25","3 Y 2017-01-24 to 2020-01-25","3 Y 2017-02-27 to 2020-02-25","3 Y 2017-03-24 to 2020-03-25","3 Y 2017-04-24 to 2020-04-25","3 Y 2017-05-24 to 2020-05-25","3 Y 2017-06-27 to 2020-06-25","3 Y 2017-07-24 to 2020-07-25","3 Y 2017-08-24 to 2020-08-25","3 Y 2017-09-25 to 2020-09-25","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",20.939,28.132,31.926,28.731,21.174,-0.245,-0.841,3.083,3.324,7.058,11.264,9.287,8.183,14.428,21.839,21.103,19.961,23.477,35.581,45.886,29.982,34.146,31.406,52.882,40.279,46.862,45.365,48.317,79.394,78.676,77.025
"B Annualized Returns",9.064,13.68,15.048,12.067,9.104,-5.654,-0.487,-1.474,1.992,2.97,4.007,2.131,4.067,6.514,7.622,8.48,11.426,11.964,9.815,12.639,13.234,12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",11.875,14.452,16.878,16.664,12.07,5.409,-0.354,4.557,1.332,4.088,7.257,7.156,4.116,7.914,14.217,12.623,8.535,11.513,25.766,33.247,16.748,21.738,19.438,35.516,19.488,29.125,28.935,32.182,65.221,63.807,62.44
"P Volatility",17.2,21.04,19.86,18.04,18.3,16,26.08,25.56,25.71,27.23,27.02,28.42,27.64,26.92,27.76,26.88,27.93,30.13,33.41,32.73,27.64,29.47,30.26,33.26,29.57,31.21,30.12,31.08,37.44,38.58,35.18
"B Volatility",13.17,12.84,12.71,12.33,12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",4.03,8.2,7.15,5.71,6.07,3.59,6.13,4.55,4.71,5.94,5.34,6.74,6.22,5.45,5.41,4.21,5.5,7.33,10.57,9.89,4.76,6.86,7.68,10.83,7.46,9.14,7.8,8.81,15.2,15.98,12.26
"P Tracking Error",9.79,13.39,12.33,12.05,12.09,9.15,12.08,12.56,11.76,11.78,11.76,12.58,14.31,11.15,10.51,8.45,9.27,11.91,17.73,17.72,12.83,12.99,15.94,20.85,14.8,16.02,16.4,17.16,27.35,28.25,24.34
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.21,1.08,1.37,1.38,1,0.59,-0.03,0.36,0.11,0.35,0.62,0.57,0.29,0.71,1.35,1.49,0.92,0.97,1.45,1.88,1.31,1.67,1.22,1.7,1.32,1.82,1.76,1.88,2.38,2.26,2.57
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.69,0.92,0.94,1.03,0.84,0.38,0.22,0.49,0.11,0.59,0.44,0.49,0.51,0.63,0.94,1,0.24,0.54,1.64,2.06,1.26,1.5,1.28,2.45,1.05,1.46,1.96,1.88,3.88,4.05,3.34
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.08,1.3,1.25,1.09,1.13,1.06,1.17,1.06,1.09,1.16,1.13,1.19,1.11,1.15,1.16,1.13,1.19,1.24,1.27,1.23,1.07,1.18,1.15,1.17,1.17,1.24,1.14,1.18,1.16,1.18,1.11
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",66.93,61.66,62.88,54.45,55.83,66.51,79.67,75.4,79.05,82.42,81.62,81.98,73.11,83.84,86.95,91.14,91.05,87.22,74.46,72.36,78.17,82.04,72.67,60.81,75.86,75.75,70.6,70.24,45.94,45.84,51.24
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-15.9536,-19.4788,-19.1371,-17.2238,-18.8628,-38.9975,-40.1476,-37.1872,-37.4722,-36.9653,-37.2647,-39.4272,-37.5635,-38.7914,-37.0954,-37.0143,-40.5311,-39.7879,-39.5313,-38.4217,-36.2442,-37.1865,-36.7425,-37.6773,-38.5499,-39.7048,-37.1922,-38.9297,-38.0434,-38.42,-36.9173
