"","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",7.219,14.798,16.047,17.865,25.238,30.217,32.583,33.377,30.075,27.447,27.12,40.463,34.855,40.143,39.5,36.681,36.865,37.408,25.749
"B Annualized Returns",4.067,6.514,7.622,8.48,11.426,11.964,9.815,12.639,13.234,12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",3.152,8.284,8.425,9.385,13.812,18.253,22.768,20.738,16.841,15.039,15.152,23.097,14.064,22.406,23.07,20.546,22.692,22.539,11.164
"P Volatility",24.39,26.24,25.44,28.29,28.43,29.38,30.49,27.5,27.81,26.25,29.03,31.65,26.02,28,28.86,26.31,26.49,28.11,27.27
"B Volatility",21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",2.97,4.77,3.09,5.62,6,6.58,7.65,4.66,4.93,3.64,6.45,9.22,3.91,5.93,6.54,4.04,4.25,5.51,4.35
"P Tracking Error",11.2,11.6,12.26,13.28,10.53,11.34,14.79,12.3,13.25,12.45,12.72,15.63,11.23,14.74,14.86,12.87,12.84,12.69,12.02
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.28,0.71,0.69,0.71,1.31,1.61,1.54,1.69,1.27,1.21,1.19,1.48,1.25,1.52,1.55,1.6,1.77,1.78,0.93
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.41,0.66,0.53,0.75,0.63,1.02,1.48,1.31,1.26,1.15,1.05,1.63,0.79,1.28,1.62,1.44,1.56,1.57,0.81
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.01,1.1,1,1.11,1.19,1.21,1.18,1.08,1.07,1.02,1.17,1.25,1.06,1.08,1.11,1.03,1.04,1.12,1.07
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",78.3,80.56,76.05,78.07,88.26,87.3,77.67,79.83,76.97,76.88,81.98,78.19,81.09,71.9,73.48,75.41,75.92,79.88,80.36
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-34.8858,-36.6607,-34.947,-36.8326,-38.4428,-36.9693,-37.7726,-35.2584,-35.0336,-33.6521,-37.9477,-38.6919,-37.0029,-36.4707,-37.5216,-36.7987,-37.3323,-38.7044,-38.0079
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",3.4197,1.6448,3.3585,1.4729,-0.137299999999996,1.33620000000001,0.532900000000005,3.0471,3.2719,4.6534,0.357800000000005,-0.386399999999995,1.30260000000001,1.8348,0.783900000000003,1.50680000000001,0.973200000000006,-0.398899999999998,0.297600000000003
