"","1 Y 2017-01-24 to 2018-01-25","1 Y 2017-02-27 to 2018-02-25","1 Y 2017-03-24 to 2018-03-25","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",32.89,25.32,18.487,25.785,19.801,20.16,18.621,24.982,20.105,1.244,1.945,12.48,2.434,-5.678,8.853,8.04,10.311,9.398,4.607,-4.918,8.974,20.743,14.164,7.896,21.024,27.929,-15.993,11.616,14.273,39.969,8.588,18.791,9.392,13.576,21.368,31.844,32.674,54.213,151.092,177.577,195.325,142.662,118.08,115.135,111.047,105.665,69.469,53.704,32.789,16.077,25.471,24.236
"B Annualized Returns",31.933,16.97,12.142,15.147,12.118,12.507,10.243,15.641,9.27,-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",0.957000000000001,8.35,6.345,10.638,7.683,7.653,8.378,9.341,10.835,2.617,1.772,10.378,6.265,-5.56,-2.901,0.201999999999999,1.583,2.483,4.853,4.988,4.226,9.038,3.547,-3.969,10.099,19.868,15.779,32.254,37.905,52.372,9.309,14.753,15.029,11.283,13.415,19.12,12.202,26.905,63.662,121.485,126,88.798,72.622,69.855,45.028,48.959,33.958,29.193,9.43,7.523,6.946,2.146
"P Volatility",12.48,11.21,12.41,14.06,15.84,15.21,13.12,17.01,16.37,17.2,16.45,20.59,19.87,18.86,19.18,16.62,17.03,16.84,17.26,15.44,13.6,12.28,14.39,13.12,13.53,13.98,15.06,28.17,35.31,39.16,38.31,33.4,40.93,37.32,38.69,42.29,39.69,35.17,26.55,27.45,27.94,24.72,27.66,29.88,21.14,24.06,14.78,18.89,12.18,11.02,13.28,14.4
"B Volatility",9.87,9.88,12.06,12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",2.61,1.33,0.35,1.34,2.69,2.23,1.25,3.42,3.04,2.53,0.779999999999999,4.51,4.41,4.32,5.01,1.92,2.3,2.31,4.45,1.43,1.36,0.459999999999999,2.74,1.4,1.94,2.4,3.98,-1.19,2.84,6.69,4.75,-0.990000000000002,6.76,3.33,4.61,6.29,3.09,-1.03,10.03,10.53,11.58,9.08,12.27,14.22,5.51,8.42,1.35,4.79,-1.66,-0.27,-0.25,-0.869999999999999
"P Tracking Error",8.16,7.26,7.4,8.01,10.2,9.17,7.72,7.52,8.4,9.31,9.49,10.35,9.01,9.13,9.21,7.88,9.47,9.1,9.16,7.7,6.63,7,7.52,6.45,5.43,8.18,8.84,10.64,14.04,14.16,10.69,10.39,12.91,9.88,9.35,10.51,10.16,8.67,13.68,26.02,27.06,23.46,23.32,25.61,15.1,15.34,13.29,12.61,11.79,13.39,9.91,8.16
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
