"","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",24.43,25.598,29.451,18.259,22.811,15.225,0.36,-0.278,0.07,1.122,1.912,3.867,2.471,12.402,8.775,4.949,-4.766,10.525,23.691,16.004,18.235,21.39,19.431,-21.543,6.079,-4.991,48.001,37.115,55.308,59.732,12.563,19.312,28.801,27.071,47.885,132.281,173.529,203.425,124.09,132.253,107.333,108.516,116.299,79.355,51.776,44.151,16.353,20.709,17.823
"B Annualized Returns",15.147,12.118,12.507,10.243,15.641,9.27,-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",9.283,13.48,16.944,8.016,7.17,5.955,1.733,-0.451,-2.032,4.953,2.03,-7.887,-5.367,3.674,1.86,5.195,5.14,5.777,11.986,5.387,6.37,10.465,11.37,10.229,26.717,18.641,60.404,37.836,51.27,65.369,10.27,11.359,16.077,6.599,20.577,44.851,117.437,134.1,70.226,86.795,62.053,42.497,59.593,43.844,27.265,20.792,7.799,2.184,-4.267
"P Volatility",12.56,14.52,14.73,12.99,15.07,13.92,15.79,16.85,17.36,20.63,20.2,17.09,18.86,20.22,18.36,17.5,16.96,10.72,11.72,14.45,14.34,12.59,13.54,13.39,30.8,34.11,33.31,36.03,38.85,39.15,35.49,34.38,37.17,38.67,36.27,25.11,27.86,25.43,20,30.73,29.09,23.63,30.21,17.88,17.96,20.66,11.06,14.37,13.18
"B Volatility",12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",-0.16,1.37,1.75,1.12,1.48,0.59,1.12,1.18,1.28,5.17,5.66,2.92,4.16,5.49,3.83,4.69,2.95,-1.52,-0.0999999999999996,2.8,2.62,1,1.96,2.31,1.44,1.64,0.840000000000003,2.47,4.46,4.98,1.5,0.300000000000004,1.17,2.07,0.0700000000000003,8.59,10.94,9.07,4.36,15.34,13.43,8,14.57,4.45,3.86,6.82,-0.229999999999999,0.84,-2.09
"P Tracking Error",7.5,8.58,8.58,7.72,8.69,9.43,8.68,9.66,8.84,10.02,9.71,7.27,9.9,11.34,10.32,8.56,7.65,6.62,6.49,9.53,7.87,6.32,6.33,6.74,11.04,9.33,11.57,11.78,14.74,14.68,7.71,10.71,10.97,8.64,8.69,11.35,25.95,25.17,16.24,27.35,25.48,20.72,25.31,13.4,11.73,14.84,12.98,12.49,9
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
