"","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",2.728,0.563,7.844,3.462,-2.975,0.109,-4.024,4.967,8.046,-1.633,-8.081,6.888,21.061,11.006,11.022,27.609,22.774,-19.442,-7.873,-6.256,3.906,13.3,10.915,2.902,6.537,15.414,21.395,28.204,62.334,158.029,163.421,189.367,111.827,125.768,97.929,118.735,85.923,53.036,39.386,51.273,17.589,19.663,16.735
"B Annualized Returns",-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",4.101,0.39,5.742,7.293,-2.857,-11.645,-11.862,-3.761,1.131,-1.387,1.825,2.14,9.356,0.388999999999999,-0.843,16.684,14.713,12.33,12.765,17.376,16.309,14.021,6.877,8.539,4.244,7.461,8.671,7.732,35.026,70.599,107.329,120.042,57.963,80.31,52.649,52.716,29.217,17.525,14.875,27.914,9.035,1.138,-5.355
"P Volatility",18.68,17.58,20.6,20.79,19.71,18.22,17.5,17.81,18.46,15.92,17.76,13.34,13.75,13.41,13.45,12.96,11.56,14.04,31.79,35.56,36.37,34.89,34.44,33.56,34.5,34.45,35.25,34.23,36.09,27.07,28.07,25.46,21.11,32.23,30.06,32.66,24.24,8.78,11.93,17.52,7.89,12,12.03
"B Volatility",14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",4.01,1.91,4.52,5.33,5.17,4.05,2.8,3.08,3.93,3.11,3.75,1.1,1.93,1.76,1.73,1.37,-0.0199999999999996,2.96,2.43,3.09,3.9,1.33,0.0499999999999972,-0.609999999999999,0.509999999999998,0.370000000000005,-0.75,-2.37,-0.109999999999999,10.55,11.15,9.1,5.47,16.84,14.4,17.03,8.6,-4.65,-2.17,3.68,-3.4,-1.53,-3.24
"P Tracking Error",7.56,10.24,11.02,9.57,9.77,9.31,9.49,9.42,8.04,7.62,8.16,6.33,6.13,5.96,6.77,6.84,7.66,9.38,9.84,11.27,9.78,11.4,7.03,7.99,8.74,9.02,9.06,10.32,7.04,14.38,25.14,23.8,16.36,27.93,26.31,26.78,20.85,10.29,11.12,13.73,10.83,9.16,8.6
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.54,0.04,0.52,0.76,-0.29,-1.25,-1.25,-0.4,0.14,-0.18,0.22,0.34,1.53,0.07,-0.12,2.44,1.92,1.31,1.3,1.54,1.67,1.23,0.98,1.07,0.49,0.83,0.96,0.75,4.98,4.91,4.27,5.04,3.54,2.88,2,1.97,1.4,1.7,1.34,2.03,0.83,0.12,-0.62
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.12,0.16,0.36,0.88,-0.07,-0.65,-0.93,-0.51,-0.14,-0.07,-0.14,0.48,0.12,0,-0.03,0.84,1.23,0.76,1.24,1.85,1.88,1.65,0.61,0.8,0.65,0.82,0.67,0.74,1.66,0.4,5.74,6.33,3.82,4.47,3.03,2.73,2.59,2.42,2.2,2.24,2.04,0.22,0.36
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.18,0.92,1.09,1.21,1.19,1.11,1,1.03,1.15,1.1,1.13,0.96,1.04,1.03,0.99,0.95,0.78,0.94,1.03,1.04,1.08,0.98,0.98,0.96,0.98,0.98,0.95,0.9,0.98,1.46,0.77,0.65,0.86,1.05,0.93,1.22,0.81,0.42,0.55,0.81,0.28,0.66,0.65
