"","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",4.185,4.767,7.613,10.797,6.514,6.38,8.794,7.59,-7.68,-2.424,-1.799,4.795,2.497,3.127,7.067,16.038,15.999,21.021,21.693,38.328,25.984,25.185,24.848,28.091,70.895,70.99,76.008,44.529,63.367,38.628,29.225,30.855,107.745,107.248
"B Annualized Returns",4.867,2.533,6.982,4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",-0.682,2.234,0.631,5.834,1.185,0.665,5.52,3.183,5.814,5.065,5.856,7.656,2.981,4.866,8.778,9.136,6.265,9.334,6.459,21.237,12.9,14.366,11.477,11.996,51.56,48.02,51.773,18.908,42.417,19.196,10.041,13.297,58.697,69.051
"P Volatility",13.9,16.89,15.42,15.15,16.06,15.19,15.22,15.55,15.49,24.44,28.83,28.26,29.82,28.8,28.5,28.56,27.34,30.46,28.71,31.6,31.16,27.35,25.17,24.74,33,34.92,36.85,27.6,34.74,28.18,27.52,25.54,31.25,30.74
"B Volatility",12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",1.15,3.23,1.79,1.83,2.56,1.72,2.02,2.92,2.73,1.65,4.41,3.86,5.16,3.66,3.79,4.15,3,4.92,2.74,5.62,4.76,0.780000000000001,-1.39,-1.9,7.02,9.03,10.68,1.45,8.58,1.68,1.06,-0.600000000000001,14.43,14.73
"P Tracking Error",7.64,7.13,7.65,8.21,8.85,8.04,8.1,8.22,6.96,9.08,12.06,10.34,10.05,9.72,8.98,9.85,9,10.17,9.96,10.27,8.61,10.68,10.46,9.84,18.56,21.58,22.35,10.48,22.29,11.05,8.91,11.79,24.16,23.6
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
