"","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",1.815,1.576,3.544,10.829,13.136,16.281,22.434,27.171,21.3,25.529,27.817,30.097,34.793,34.173,31.179,39.868,36.78,29.192,28.579,31.127,71.344,62.725
"B Annualized Returns",-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",2.299,3.315,5.255,3.927,3.402,4.594,7.2,10.08,8.216,14.71,14.446,14.002,15.458,11.203,6.944,14.247,15.83,9.76,9.395,13.569,22.296,24.528
"P Volatility",26.3,25.01,24.55,24.8,24.22,28.06,27.2,26.78,27.04,26.87,26.13,26.13,27.1,28.35,26.87,29.7,29.08,27.73,27.54,26.35,21.68,19.68
"B Volatility",24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",1.64,-0.129999999999999,-0.16,0.390000000000001,-0.120000000000001,2.52,1.23,0.800000000000001,0.640000000000001,0.300000000000001,-0.43,-0.510000000000002,1.12,2.46,0.699999999999999,3.55,2.92,1.23,1.08,0.210000000000001,4.86,3.67
"P Tracking Error",8.25,10.19,9.44,9.53,9.35,9.48,8.73,9.23,9.2,10.55,9.67,9.79,9.11,9.44,9.7,11.92,12.01,11.55,11.32,11.68,11.72,11.23
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.28,0.33,0.56,0.41,0.36,0.48,0.82,1.09,0.89,1.39,1.49,1.43,1.7,1.19,0.72,1.2,1.32,0.85,0.83,1.16,1.9,2.18
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.4,0.16,0.55,0.33,0.38,0.38,0.64,0.51,0.57,0.99,1.11,1.11,1.1,0.8,0.79,0.95,0.84,0.93,0.71,1.19,1.43,1.42
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.01,0.91,0.92,0.94,0.92,1.03,0.99,0.97,0.96,0.93,0.92,0.91,0.98,1.03,0.96,1.04,1.01,0.95,0.95,0.91,1.09,1.01
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",89.71,83.42,85.17,84.9,85.03,88.14,89.21,87.65,88.02,84.31,86.39,86.11,88.19,88.5,86.51,83.27,82.16,82.03,82.55,80.28,69.87,65.91
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-33.9399,-33.522,-34.7511,-34.7036,-34.1049,-35.822,-34.8443,-34.8075,-34.5836,-34.4717,-34.0404,-34.1251,-35.7143,-36.1489,-34.2815,-35.0638,-35.8986,-33.6766,-33.6875,-30.7631,-12.7278,-13.296
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",4.3656,4.7835,3.5544,3.6019,4.2006,2.4835,3.46120000000001,3.498,3.72190000000001,3.8338,4.2651,4.1804,2.5912,2.1566,4.024,3.2417,2.4069,4.6289,3.9193,4.6894,1.6056,1.0374
