"","3 Y 2017-01-24 to 2020-01-25","3 Y 2017-02-27 to 2020-02-25","3 Y 2017-03-24 to 2020-03-25","3 Y 2017-04-24 to 2020-04-25","3 Y 2017-05-24 to 2020-05-25","3 Y 2017-06-27 to 2020-06-25","3 Y 2017-07-24 to 2020-07-25","3 Y 2017-08-24 to 2020-08-25","3 Y 2017-09-25 to 2020-09-25","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",19.765,14.961,4.804,3.145,5.137,6.742,6.937,13.882,12.79,10.155,11.666,20.109,12.997,13.501,16.15,16.362,32.585,35.132,33.406,30.017,31.881,34.4,24.241,21.044,22.268,33.982,33.34,64.004
"B Annualized Returns",12.067,9.104,-5.654,-0.487,-1.474,1.992,2.97,4.007,2.131,4.067,6.514,7.622,8.48,11.426,11.964,9.815,12.639,13.234,12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",7.698,5.857,10.458,3.632,6.611,4.75,3.967,9.875,10.659,6.088,5.152,12.487,4.517,2.075,4.186,6.547,19.946,21.898,20.998,18.049,14.515,13.609,6.504,4.614,6.133,19.809,18.471,49.419
"P Volatility",16.44,14.11,14.6,20.87,22.07,22.19,21,22.44,24.68,22.21,20.4,24.83,25.02,21.25,24.58,24.88,29.18,27.93,28.28,26.51,27,27.91,22.33,24.21,25.42,27.75,25.4,29.22
"B Volatility",12.33,12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",4.11,1.88,2.19,0.920000000000002,1.06,1.19,-0.289999999999999,0.760000000000002,3,0.789999999999999,-1.07,2.48,2.35,-1.18,1.78,2.04,6.34,5.05,5.67,3.93,4.57,5.8,0.259999999999998,1.89,3.15,5.51,2.8,6.3
"P Tracking Error",9.38,7.83,7.29,6.81,9.43,9.06,9.1,9.79,9.51,7.95,8.18,9.07,7.9,8.62,7.96,8.79,13.3,13,13.76,11.71,11.52,13.89,8.83,9.25,9.01,11.22,10.19,20.85
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
