"","3 Y 2017-04-24 to 2020-04-25","3 Y 2017-05-24 to 2020-05-25","3 Y 2017-06-27 to 2020-06-25","3 Y 2017-07-24 to 2020-07-25","3 Y 2017-08-24 to 2020-08-25","3 Y 2017-09-25 to 2020-09-25","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",2.367,6.993,9.998,7.403,10.171,7.326,7.72,9.864,8.001,17.422,17.993,13.802,26.267,30.663,36.891,27.01,27.226,26.892,34.266,31.784,27.554,21.697,21.719,24.607,71.697
"B Annualized Returns",-0.487,-1.474,1.992,2.97,4.007,2.131,4.067,6.514,7.622,8.48,11.426,11.964,9.815,12.639,13.234,12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",2.854,8.467,8.006,4.433,6.164,5.195,3.653,3.35,0.379,8.942,6.567,1.838,16.452,18.024,23.657,14.602,15.258,9.526,13.475,14.047,11.124,5.562,7.546,9.738,57.112
"P Volatility",19.38,22.25,23.41,19.05,20.04,20.12,19.46,22.42,24.86,27.44,23.97,22.48,29.26,27.54,28.62,26.31,27.76,23.62,27.92,27.97,27.34,25.77,23.75,24.03,30.23
"B Volatility",19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",-0.57,1.24,2.41,-2.24,-1.64,-1.56,-1.96,0.950000000000003,2.51,4.77,1.54,-0.32,6.42,4.7,5.74,3.7,5.18,1.19,5.81,5.9,5.02,3.5,1.51,1.43,7.31
"P Tracking Error",7.08,7.45,7.42,8.98,9.69,9.03,8.59,8.1,8.45,9.48,8.14,7.87,13.15,11.87,13.24,11.6,12.13,8.82,13.57,12.68,12.77,11.23,8.36,8.06,19.91
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
