"","3 Y 2018-01-23 to 2021-01-24","3 Y 2018-02-23 to 2021-02-24","3 Y 2018-03-23 to 2021-03-24","3 Y 2018-04-23 to 2021-04-24","3 Y 2018-05-23 to 2021-05-24","3 Y 2018-06-25 to 2021-06-24","3 Y 2018-07-23 to 2021-07-24","3 Y 2018-08-23 to 2021-08-24","3 Y 2018-09-24 to 2021-09-24","3 Y 2018-10-23 to 2021-10-24","3 Y 2018-11-26 to 2021-11-24","3 Y 2018-12-24 to 2021-12-24","3 Y 2019-01-23 to 2022-01-24","3 Y 2019-02-25 to 2022-02-24","3 Y 2019-03-25 to 2022-03-24","3 Y 2019-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",13.408,15.309,16.147,12.438,16.629,17.884,20.358,20.923,25.775,27.116,25.308,21.347,23.512,21.047,23.195,32.354
"B Annualized Returns",8.461,10.819,12.643,9.89,12.256,13.065,12.657,11.952,17.366,21.087,17.94,16.43,17.721,16.125,14.879,15.023
"AR DIFF(P-B)",4.947,4.49,3.504,2.548,4.373,4.819,7.701,8.971,8.409,6.029,7.368,4.917,5.791,4.922,8.316,17.331
"P Volatility",24.14,24.71,23.43,23.98,23.74,23.83,25.31,23.54,22.67,25.29,24.4,24.29,27.47,24.67,22.89,26.13
"B Volatility",22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",1.47,2.28,0.629999999999999,1.14,0.899999999999999,0.949999999999999,2.7,0.960000000000001,0.240000000000002,3.18,2.33,1.97,5.2,2.43,0.289999999999999,3.21
"P Tracking Error",6.47,8.18,8.7,9.04,10.27,10.33,9.56,10.15,9.28,12.15,11.46,12.34,12.07,9.09,8.27,11.52
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.76,0.55,0.4,0.28,0.43,0.47,0.81,0.88,0.91,0.5,0.64,0.4,0.48,0.54,1.01,1.5
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.47,0.24,0.25,0.21,0.32,0.39,0.51,0.72,0.82,0.5,0.53,0.54,0.43,0.53,0.72,1.2
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.03,1.04,0.95,0.97,0.94,0.94,1.04,0.94,0.92,1,0.98,0.94,1.11,1.03,0.95,1.02
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",92.66,88.86,85.99,85.43,81.07,80.97,85.4,81.18,83.29,76.21,77.33,73.73,80.97,86.1,86.84,80.03
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-34.0993,-34.243,-32.2417,-33.8885,-34.356,-34.3286,-36.3431,-33.966,-34.7191,-35.1588,-34.4817,-33.8961,-38.5785,-37.1617,-34.7898,-36.2559
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",4.2062,4.0625,6.0638,4.417,3.9495,3.9769,1.9624,4.3395,3.5864,3.1467,3.82380000000001,4.40940000000001,-0.272999999999996,1.1438,3.5157,2.04960000000001
