"","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",19.877,18.558,23.841,25.555,23.875,21.706,24.174,20.87,20.712,20.55
"B Annualized Returns",12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",7.469,6.59,6.475,4.764,6.138,5.276,8.039,6.697,5.843,5.965
"P Volatility",23.99,23.35,22.44,24.22,23.44,25.08,24.02,23.56,23.56,23.45
"B Volatility",22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",1.38,0.770000000000003,0.0100000000000016,2.11,1.37,2.76,1.75,1.32,0.959999999999997,0.529999999999998
"P Tracking Error",9.18,10.36,9.25,12.63,11.98,12.52,11.91,12.01,12.01,12.01
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.81,0.64,0.7,0.38,0.51,0.42,0.67,0.56,0.49,0.5
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.51,0.64,0.71,0.43,0.47,0.53,0.71,0.53,0.61,0.6
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.98,0.93,0.92,0.94,0.92,0.97,0.94,0.92,0.9,0.89
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",84.96,80.21,83.24,72.33,73.72,74.41,75.01,73.86,74.13,74.23
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-33.9399,-33.522,-34.7511,-34.7036,-34.1049,-35.822,-34.8443,-34.8075,-34.5836,-34.4717
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",4.3656,4.7835,3.5544,3.6019,4.2006,2.4835,3.46120000000001,3.498,3.72190000000001,3.8338
