"","1 Y 2016-10-24 to 2017-10-25","1 Y 2016-11-24 to 2017-11-25","1 Y 2016-12-26 to 2017-12-25","1 Y 2017-01-24 to 2018-01-25","1 Y 2017-02-27 to 2018-02-25","1 Y 2017-03-24 to 2018-03-25","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",37.735,75.681,110.065,91.569,41.815,24.84,26.537,18.681,12.349,17.793,14.286,13.737,-15.14,12.917,9.13,9.877,-8.129,9.897,7.095,15.251,12.064,-4.966,-6.449,8.101,8.582,22.11,28.453,31.505,36.535,-24.34,16.498,32.118,-4.272,72.495,17.705,122.482,86.311,111.935,102.846,91.183,110.706,121.891,61.862,65.848,137.135,156.46,184.649,152.143,243.565,175.157,140.342,167.959,92.338,74.867,62.901
"B Annualized Returns",17.754,31.827,35.663,31.933,16.97,12.142,15.147,12.118,12.507,10.243,15.641,9.27,-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",19.981,43.854,74.402,59.636,24.845,12.698,11.39,6.563,-0.157999999999999,7.55,-1.355,4.467,-13.767,12.744,7.028,13.708,-8.011,-1.857,-0.743,6.523,5.149,-4.72,3.457,3.353,-3.123,11.493,16.588,20.58,28.474,7.432,37.136,55.75,8.131,73.216,13.667,128.119,84.018,103.982,90.122,70.711,83.398,34.461,5.77,-3.477,83.271,111.002,139.369,86.124,186.859,139.646,115.831,144.6,83.784,56.342,40.811
"P Volatility",19.94,18.26,20.68,20.85,14.97,16.82,20.37,18.44,20.66,20.08,18.36,17.14,24.39,30.84,27.59,23.32,21.69,21.78,17.88,19.1,18.51,17.79,21.23,13.8,11.75,16.04,19.18,17.81,12.73,18.18,43.03,50.33,48.58,43.91,25.21,34.4,44.57,55.27,54.87,58.17,52.45,23.61,18.81,20.5,35.2,44.84,41.9,24.89,40.29,34.25,51.63,47.77,35.79,29.47,26.74
"B Volatility",12.49,11.43,10.87,9.87,9.88,12.06,12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",7.45,6.83,9.81,10.98,5.09,4.76,7.65,5.29,7.68,8.21,4.77,3.81,9.72,15.17,11.51,7.86,7.15,7.61,3.18,4.37,3.98,4.98,7.22,1.56,-0.0700000000000003,4.39,7.46,6.22,1.15,7.1,13.67,17.86,16.11,10.35,-9.18,0.229999999999997,10.58,21.19,18.87,21.57,16.25,7.09,1.89,4.14,19.56,29.45,26.24,9.26,24.65,20.82,37.53,33.93,24.5,15.94,11.47
"P Tracking Error",11.66,11.71,15.54,18.26,11.57,10.85,12.55,11.41,14,16.99,12.05,11.28,19.02,23.55,21.35,13.9,15.19,13.73,10.67,9.72,9.38,11.81,16.3,10.87,12.28,13.28,15.68,11.13,8.89,11.14,20.39,23.83,19.11,21.31,17.65,24.2,28.75,31.87,30.61,32.13,23.82,22.03,22.45,20.61,33.06,39.38,33.24,19.53,36.57,31.4,45.26,42.65,35.09,23.57,19.14
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.71,3.75,4.79,3.27,2.15,1.17,0.91,0.58,-0.01,0.44,-0.11,0.4,-0.72,0.54,0.33,0.99,-0.53,-0.14,-0.07,0.67,0.55,-0.4,0.21,0.31,-0.25,0.87,1.06,1.85,3.2,0.67,1.82,2.34,0.43,3.44,0.77,5.29,2.92,3.26,2.94,2.2,3.5,1.56,0.26,-0.17,2.52,2.82,4.19,4.41,5.11,4.45,2.56,3.39,2.39,2.39,2.13
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.15,2.98,2.45,3.47,1.64,1.53,1.63,0.61,-0.55,0.86,-0.4,0.3,-1.16,1.78,0.84,1.54,-0.41,0.32,0.02,0.46,0.05,0.28,-0.07,1.11,-0.33,1.17,1.46,1.3,1.98,1.27,4.07,5.44,1.25,6.22,1.04,6.25,6.43,5.55,5.92,3.96,4.18,3.97,3.93,1.35,6.44,4.77,3.94,4.32,6.62,5.69,4.95,6.17,6.6,2.4,2.24
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
