"","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",29.814,17.753,18.297,-3.064,6.56,3.246,7.908,14.457,25.166,12.404,13.487,10.148,-3.455,-11.309,1.491,18.562,18.636,16.954,35.225,33.921,-0.952,-7.615,-14.829,115.559,12.372,19.786,13.678,93.101,110.453,98.365,91.92,125.812,116.96,66.651,81.445,38.324,132.479,93.927,187.548,153.479,173.568,98.686,95.125,99.249,89.706,79.568
"B Annualized Returns",10.243,15.641,9.27,-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",19.571,2.112,9.027,-1.691,6.387,1.144,11.739,14.575,13.412,4.566,4.759,3.233,-3.209,-1.403,-3.257,6.857,8.019,5.089,24.3,25.86,30.82,13.023,8.803,127.962,13.093,15.748,19.315,90.808,102.5,85.641,71.448,98.504,29.53,10.559,12.12,-15.54,87.021,48.647,121.529,96.773,138.057,74.175,71.766,90.695,71.181,57.478
"P Volatility",20.04,23.95,30.61,31.48,31.08,32.62,28.19,23.56,24.56,20.72,17.79,17.8,15.88,22.84,15.62,15.46,18.1,20.15,18.52,12.14,13.52,37.48,43.7,49.44,41.48,38.36,34.2,46.31,43.96,50.59,52.32,55,25.24,19.26,18.39,16.31,20.91,19.98,40.75,45.55,49.94,39.29,37.01,38.22,32.18,31.12
"B Volatility",11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",8.17,10.36,17.28,16.81,15.41,16.54,12.73,9.02,10.39,6.02,3.06,3.27,3.07,8.83,3.38,3.64,6.45,8.43,6.93,0.56,2.44,8.12,11.23,16.97,7.91999999999999,3.97,0.0300000000000011,12.32,9.88,14.59,15.72,18.8,8.72,2.34,2.03,0.669999999999998,5.52,4.32,25.12,29.91,36.51,25.19,23.17,26.93,18.65,15.85
"P Tracking Error",15.57,19.55,21.89,21.72,23.22,24.92,19.4,15.13,17.16,13.71,8.53,7.86,11.19,15.85,13.97,11.82,13.29,15.01,12.35,10.04,7.63,11.74,14.85,24.88,14.91,13.42,14.97,28.12,21.03,26.08,26.28,28.36,22.14,21.01,19.06,18.3,18.84,17.7,37.69,43.32,46.39,39.67,36.36,36.29,26.51,23.67
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
