"","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-11.513,9.586,-2.468,-8.615,9.415,30.242,25.045,23.234,9.974,-4.154,-11.481,11.587,21.364,19.014,26.801,26.423,40.274,-5.441,5.474,-9.898,1.355,9.682,40.704,160.619,112.338,136.658,107.625,71.996,68.588,116.96,66.368,74.367,111.029,57.014,108.887,117.484,132.165,173.568,132.551,111.625,76.818,88.494,75.951
"B Annualized Returns",-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",-10.14,9.413,-4.57,-4.784,9.533,18.488,17.207,14.506,3.059,-3.908,-1.575,6.839,9.659,8.397,14.936,15.498,32.213,26.331,26.112,13.734,13.758,10.403,36.666,166.256,110.045,128.705,94.901,51.524,41.28,29.53,10.276,5.042,57.165,11.556,63.607,51.465,75.459,138.057,108.04,88.266,68.264,69.969,53.861
"P Volatility",24.88,31.54,24.23,23.76,26.13,23.99,24.52,23.06,21.6,21.42,18.05,16.77,14.49,20.27,19.91,19.26,17.11,17.22,31.39,37.48,38.29,40.83,41.01,52.62,50.03,49.55,51.63,58.13,48.28,25.24,20.72,20.86,30.13,18.59,21.18,18.79,41.79,49.94,49.31,34.95,40.77,33.52,30.63
"B Volatility",14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",10.21,15.87,8.15,8.3,11.59,9.82,9.82,8.33,7.07,8.61,4.04,4.53,2.67,8.62,8.19,7.67,5.53,6.14,2.03,5.01,5.82,7.27,6.62,18.45,16.04,15.47,15.63,21.53,12.08,8.72,3.8,4.5,14.49,3.2,5.52,3.16,26.15,36.51,35.21,21.11,29.48,19.99,15.36
"P Tracking Error",16.88,23.95,19.52,18.98,17.65,14.73,16.45,13.72,13.42,13.27,10.6,12.49,11.25,17.69,16.33,15.12,14.91,10.53,10.01,10.76,13.02,14.62,16.71,31.44,30.53,29.4,27.77,30.71,24.78,22.14,21.47,19.62,32.66,16.6,16.89,13.8,35.8,46.39,45.92,33.82,39.97,27.17,23.53
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
